text,bbox,page_number,avg_font_size,word_count,is_all_caps,char_density,ratio_of_verbs,ratio_capitalized,ends_with_colon,is_bold,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,font_size_diff,same_font,is_bold_A,is_italic_A,is_monospace_A,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,is_linea_hashed,is_lineb_hashed,both_hashed,neither_hashed,title_label,model_labels,confidence_score,predicted_category,style_cluster_id,numbering_info,hierarchy_level
Edit text in a PDF,"[0, 0, 100, 20]",2,24.0,5,0,0.007,0.0,0.4,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,1.0,Title/Heading,0,,Title
Set the default font for adding and editing text,"[0, 0, 100, 20]",3,16.02,9,0,0.02,0.2222222222222222,0.1111111111111111,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.999999999840756,Title/Heading,1,,H1
3. Select an appropriate font in the drop-down lists:,"[0, 0, 100, 20]",3,12.0,9,0,0.0225,0.0,0.1,1,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,0.9948618720110548,Title/Heading,2,"{'type': 'numeric', 'depth': 1}",H1
"Change, replace, or delete text","[0, 0, 100, 20]",4,16.02,5,0,0.0135,0.2,0.2,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9999999999606696,Title/Heading,3,,H2
3. Edit the text by doing one of the following:,"[0, 0, 100, 20]",4,12.0,10,0,0.019,0.1,0.1,1,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,0.9856506676646016,Title/Heading,4,"{'type': 'numeric', 'depth': 1}",H1
Format text,"[0, 0, 100, 20]",5,16.02,2,0,0.005,0.0,0.5,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9999999999863992,Title/Heading,5,,H2
Formatting options on the left pane,"[0, 0, 100, 20]",6,12.0,6,0,0.015,0.1666666666666666,0.1666666666666666,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9704073458192156,Title/Heading,4,,H3
Add new text,"[0, 0, 100, 20]",6,16.02,3,0,0.005,0.0,0.3333333333333333,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9999999999129708,Title/Heading,5,,H2
"Font name, size, and color","[0, 0, 100, 20]",6,12.0,5,0,0.011,0.0,0.2,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.983731637776745,Title/Heading,6,,H3
"Character, paragraph, and line spacing Horizontal scaling","[0, 0, 100, 20]",7,12.0,7,0,0.0255,0.1428571428571428,0.2857142857142857,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9199362390786204,Title/Heading,7,,H3
