text,bbox,page_number,avg_font_size,word_count,is_all_caps,char_density,ratio_of_verbs,ratio_capitalized,ends_with_colon,is_bold,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,font_size_diff,same_font,is_bold_A,is_italic_A,is_monospace_A,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,is_linea_hashed,is_lineb_hashed,both_hashed,neither_hashed,title_label,model_labels,predicted_category,confidence_score,style_cluster_id,numbering_info,hierarchy_level
1. Make the desired changes in the app. Bear in mind the following:,"[0, 0, 100, 20]",1,12.0,13,0,0.0275,0.0769230769230769,0.1538461538461538,1,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.7082786295798245,0,"{'type': 'numeric', 'depth': 1}",Title
the PDF.,"[0, 0, 100, 20]",1,12.0,2,0,0.0035,0.0,0.5,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.9877009653987984,0,,H1
index values in an indexed color space.,"[0, 0, 100, 20]",1,12.0,7,0,0.0165,0.0,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.7855504721956503,0,,H1
"If you're working in Photoshop, flatten the image.","[0, 0, 100, 20]",1,12.0,8,0,0.0215,0.3333333333333333,0.2222222222222222,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.9326630925379216,0,,H1
Image masks aren't supported.,"[0, 0, 100, 20]",1,12.0,4,0,0.013,0.4,0.2,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.99914917340785,0,,H1
information that can be applied only in the original mode.,"[0, 0, 100, 20]",1,12.0,10,0,0.0245,0.2,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.5414550315837918,0,,H1
displayed in the PDF when you bring Acrobat to the foreground.,"[0, 0, 100, 20]",1,12.0,11,0,0.026,0.1818181818181818,0.1818181818181818,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.679928056086322,0,,H1
instead of the PDF.,"[0, 0, 100, 20]",1,12.0,4,0,0.008,0.0,0.25,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.968355828340042,0,,H1
Export PDF images to another format,"[0, 0, 100, 20]",1,16.02,6,0,0.015,0.1666666666666666,0.3333333333333333,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.999999999939281,1,,H1
image in a PDF to a separate image file.,"[0, 0, 100, 20]",1,12.0,9,0,0.016,0.0,0.1111111111111111,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.6832626536648057,0,,H2
"Rotate, move, delete, extract, or renumber pages in a PDF","[0, 0, 100, 20]",3,24.0,10,0,0.024,0.1,0.2,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,1.0,2,,H1
Rotate pages in a PDF,"[0, 0, 100, 20]",3,24.0,5,0,0.0085,0.0,0.4,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,1.0,3,,H1
the Rotate option.,"[0, 0, 100, 20]",3,12.0,3,0,0.008,0.0,0.3333333333333333,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.9833773245692572,0,,H2
"1. Open the PDF in Acrobat, choose All tools    - Organize pages.","[0, 0, 100, 20]",3,12.0,12,0,0.0255,0.1818181818181818,0.4545454545454545,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.7149279256208058,4,"{'type': 'numeric', 'depth': 1}",H2
"3. After specifying the page range, for Direction, select either Rotate page left for","[0, 0, 100, 20]",3,12.0,14,0,0.036,0.2142857142857142,0.2142857142857142,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.9031532264101853,0,"{'type': 'numeric', 'depth': 1}",H2
right pane.,"[0, 0, 100, 20]",3,12.0,2,0,0.005,0.0,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.9869383127469168,0,,H2
Extract pages from a PDF,"[0, 0, 100, 20]",4,24.0,5,0,0.01,0.0,0.4,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,1.0,3,,H1
extraction.,"[0, 0, 100, 20]",4,12.0,1,0,0.0055,0.0,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.995519058668888,0,,H2
enter the page number you want to operate on.,"[0, 0, 100, 20]",4,12.0,9,0,0.0185,0.2222222222222222,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.8771007598658259,0,,H2
3. Select Extract pages under PAGE OPTIONS .,"[0, 0, 100, 20]",4,12.0,8,0,0.0185,0.0,0.5714285714285714,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.9969595126136268,0,"{'type': 'numeric', 'depth': 1}",H2
