text,bbox,page_number,avg_font_size,word_count,is_all_caps,char_density,ratio_of_verbs,ratio_capitalized,ends_with_colon,is_bold,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,font_size_diff,same_font,is_bold_A,is_italic_A,is_monospace_A,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,is_linea_hashed,is_lineb_hashed,both_hashed,neither_hashed,title_label,model_labels,confidence_score,predicted_category,style_cluster_id,numbering_info,hierarchy_level
"Fill and Sign PDF Forms You can easily fill, sign, and share your documents using Acrobat's Fill & Sign tool. Types of PDF forms","[0, 0, 100, 20]",1,16.0,24,0,0.0525,0.0833333333333333,0.4166666666666667,0,0,-20.0,0.0,1,0,12.0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9765438424952404,Title/Heading,0,,Title
Types of PDF forms,"[0, 0, 100, 20]",2,24.0,4,0,0.0075,0.0,0.5,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,1.0,Title/Heading,1,,H1
Note:,"[0, 0, 100, 20]",3,12.0,1,0,0.0025,0.0,1.0,1,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,0.9997055801122092,Title/Heading,2,,H2
To add signature and initials: 1. Create your signature and initials if not already done. To do so:,"[0, 0, 100, 20]",5,14.01,18,0,0.041,0.2222222222222222,0.1666666666666666,1,0,-20.0,0.0,1,0,4.02,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,0.9888609814895364,Title/Heading,3,,H2
"1. From the Quick action toolbar, select Add your signature or initials","[0, 0, 100, 20]",5,12.0,12,0,0.03,0.0,0.25,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.7315922600548251,Title/Heading,4,"{'type': 'numeric', 'depth': 1}",H1
2. To add a signature:,"[0, 0, 100, 20]",6,12.0,5,0,0.009,0.2,0.2,1,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,0.999163233632724,Title/Heading,5,"{'type': 'numeric', 'depth': 1}",H1
Caution:,"[0, 0, 100, 20]",6,12.0,1,0,0.004,0.0,1.0,1,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,0.9993264931480722,Title/Heading,2,,H2
3. To add your initials:,"[0, 0, 100, 20]",7,12.0,5,0,0.01,0.2,0.2,1,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,0.9999510079715088,Title/Heading,5,"{'type': 'numeric', 'depth': 1}",H1
Note:,"[0, 0, 100, 20]",3,12.0,1,0,0.0025,0.0,1.0,1,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,0.999366282671436,Title/Heading,2,,H2
If you want to use an image as your signature or initials:,"[0, 0, 100, 20]",7,12.0,12,0,0.0235,0.1666666666666666,0.0833333333333333,1,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,0.8964456469834288,Title/Heading,4,"{'type': 'roman', 'depth': 1}",H1
Fill in PDF Forms,"[0, 0, 100, 20]",8,24.0,4,0,0.007,0.0,0.75,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,1.0,Title/Heading,1,,H1
Is the form fillable?,"[0, 0, 100, 20]",8,16.02,4,0,0.009,0.25,0.25,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,0.9999999999958252,Title/Heading,5,"{'type': 'roman', 'depth': 1}",H1
