text,bbox,page_number,avg_font_size,word_count,is_all_caps,char_density,ratio_of_verbs,ratio_capitalized,ends_with_colon,is_bold,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,font_size_diff,same_font,is_bold_A,is_italic_A,is_monospace_A,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,is_linea_hashed,is_lineb_hashed,both_hashed,neither_hashed,title_label,model_labels,confidence_score,predicted_category,style_cluster_id,numbering_info,hierarchy_level
A Historical Journey Through the South of France,"[0, 0, 100, 20]",1,12.0,8,0,0.0205,0.0,0.75,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.7093725035192708,Title/Heading,0,,Title
Introduction,"[0, 0, 100, 20]",1,12.0,1,0,0.006,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9990400046345194,Title/Heading,1,"{'type': 'roman', 'depth': 1}",H1
Marseille: The Oldest City in France,"[0, 0, 100, 20]",2,12.0,6,0,0.0155,0.0,0.8333333333333334,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9174702235673244,Title/Heading,2,,H1
Key Historical Sites in Marseille,"[0, 0, 100, 20]",2,12.0,5,0,0.0145,0.0,0.8,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9812925584454298,Title/Heading,2,,H1
Nice: The Jewel of the French Riviera,"[0, 0, 100, 20]",3,12.0,7,0,0.0155,0.0,0.7142857142857143,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.892695314759997,Title/Heading,3,,H1
Key Historical Sites in Nice,"[0, 0, 100, 20]",3,12.0,5,0,0.012,0.0,0.8,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.983068575693432,Title/Heading,2,,H1
Avignon: The City of Popes,"[0, 0, 100, 20]",4,12.0,5,0,0.011,0.0,0.8,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9821366126164116,Title/Heading,2,,H1
Key Historical Sites in Avignon,"[0, 0, 100, 20]",4,12.0,5,0,0.0135,0.0,0.8,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9820239004474852,Title/Heading,2,,H1
Nîmes: The Rome of France,"[0, 0, 100, 20]",5,12.0,5,0,0.0105,0.0,0.8,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9824894982873346,Title/Heading,2,,H1
Key Historical Sites in Nîmes,"[0, 0, 100, 20]",5,12.0,5,0,0.0125,0.0,0.8,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9827271548874772,Title/Heading,2,,H1
Carcassonne: A Medieval Fortress,"[0, 0, 100, 20]",6,12.0,4,0,0.0145,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9939435361465206,Title/Heading,4,,H1
Key Historical Sites in Carcassonne,"[0, 0, 100, 20]",6,12.0,5,0,0.0155,0.0,0.8,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.980532052281878,Title/Heading,2,,H1
Toulouse: The Pink City,"[0, 0, 100, 20]",7,12.0,4,0,0.01,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.99495027635793,Title/Heading,5,,H1
Key Historical Sites in Toulouse,"[0, 0, 100, 20]",7,12.0,5,0,0.014,0.0,0.8,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9816618068113996,Title/Heading,2,,H1
Arles: A Roman Treasure,"[0, 0, 100, 20]",8,12.0,4,0,0.01,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.99495027635793,Title/Heading,5,,H1
Key Historical Sites in Arles,"[0, 0, 100, 20]",8,12.0,5,0,0.0125,0.0,0.8,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9827271548874772,Title/Heading,2,,H1
Aix-en-Provence: A City of Art and Culture,"[0, 0, 100, 20]",9,12.0,7,0,0.018,0.0,0.6666666666666666,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9559004999253232,Title/Heading,3,,H1
Key Historical Sites in Aix-en-Provence,"[0, 0, 100, 20]",9,12.0,5,0,0.0175,0.0,0.7142857142857143,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9789190524663158,Title/Heading,2,,H1
Montpellier: A University City with Medieval Charm,"[0, 0, 100, 20]",10,12.0,7,0,0.022,0.0,0.8571428571428571,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.947896254184848,Title/Heading,6,,H1
Key Historical Sites in Montpellier,"[0, 0, 100, 20]",10,12.0,5,0,0.0155,0.0,0.8,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.980532052281878,Title/Heading,2,,H1
Perpignan: A Blend of French and Catalan Cultures,"[0, 0, 100, 20]",11,12.0,8,0,0.021,0.0,0.75,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.932013496568978,Title/Heading,0,,H1
Key Historical Sites in Perpignan,"[0, 0, 100, 20]",11,12.0,5,0,0.0145,0.0,0.8,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9812925584454298,Title/Heading,2,,H1
Conclusion,"[0, 0, 100, 20]",12,12.0,1,0,0.005,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9990781861071318,Title/Heading,1,,H1
