text,bbox,page_number,avg_font_size,word_count,is_all_caps,char_density,ratio_of_verbs,ratio_capitalized,ends_with_colon,is_bold,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,font_size_diff,same_font,is_bold_A,is_italic_A,is_monospace_A,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,is_linea_hashed,is_lineb_hashed,both_hashed,neither_hashed,title_label,model_labels,confidence_score,predicted_category,style_cluster_id,numbering_info,hierarchy_level
"Planning, and Exploring","[0, 0, 100, 20]",1,12.0,3,0,0.0105,0.3333333333333333,0.6666666666666666,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9985523720039526,Title/Heading,0,,Title
Introduction,"[0, 0, 100, 20]",1,12.0,1,0,0.006,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9990400046345194,Title/Heading,1,"{'type': 'roman', 'depth': 1}",H1
General Packing Tips and Tricks,"[0, 0, 100, 20]",2,12.0,5,0,0.0135,0.0,0.8,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9820239004474852,Title/Heading,2,,H1
Packing for All Seasons,"[0, 0, 100, 20]",3,12.0,4,0,0.01,0.25,0.75,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9953202716889602,Title/Heading,3,,H1
Spring March to May,"[0, 0, 100, 20]",3,12.0,4,0,0.008,0.25,0.75,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9956838722196152,Title/Heading,3,,H1
Summer June to August,"[0, 0, 100, 20]",3,12.0,4,0,0.009,0.0,0.75,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9892964217571824,Title/Heading,2,,H1
Autumn September to November,"[0, 0, 100, 20]",3,12.0,4,0,0.0125,0.0,0.75,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.973847215395457,Title/Heading,2,,H1
Winter December to February,"[0, 0, 100, 20]",3,12.0,4,0,0.012,0.0,0.75,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9879259107876838,Title/Heading,2,,H1
Packing for Adults,"[0, 0, 100, 20]",4,12.0,3,0,0.008,0.3333333333333333,0.6666666666666666,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9986919887486402,Title/Heading,0,,H1
Clothing,"[0, 0, 100, 20]",4,12.0,1,0,0.004,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.999114850350318,Title/Heading,1,,H1
