text,bbox,page_number,avg_font_size,word_count,is_all_caps,char_density,ratio_of_verbs,ratio_capitalized,ends_with_colon,is_bold,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,font_size_diff,same_font,is_bold_A,is_italic_A,is_monospace_A,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,is_linea_hashed,is_lineb_hashed,both_hashed,neither_hashed,title_label,model_labels,confidence_score,predicted_category,style_cluster_id,numbering_info,hierarchy_level
HEPATITIS A VACCINE,"[0, 0, 100, 20]",1,62.79,3,1,0.0085,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,1.0,Title/Heading,0,,Title
W H A T  Y O U  N E E D  T O  K N O W,"[0, 0, 100, 20]",1,24.0,17,1,0.0085,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,1.0,Title/Heading,1,,H1
1 What is hepatitis A?,"[0, 0, 100, 20]",1,14.0,5,0,0.009,0.4,0.4,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,0.999999653367899,Title/Heading,2,"{'type': 'numeric', 'depth': 1}",H1
Who should get hepatitis A vaccine and when?,"[0, 0, 100, 20]",1,14.0,8,0,0.0185,0.25,0.25,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,,1,0.9999991808546552,Title/Heading,3,,H1
WHO?,"[0, 0, 100, 20]",1,11.5,1,1,0.002,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,0.999998752605572,Title/Heading,4,,H2
Some people should be routinely vaccinated with hepatitis A vaccine:,"[0, 0, 100, 20]",1,11.5,10,0,0.0295,0.2,0.2,1,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,,1,0.8179906107792445,Title/Heading,5,,H3
WHEN?,"[0, 0, 100, 20]",1,11.5,1,1,0.0025,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,0.9999987270098858,Title/Heading,4,,H3
Hepatitis A 3/21/06,"[0, 0, 100, 20]",1,12.0,3,0,0.0085,0.3333333333333333,0.4,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9980849818695166,Title/Heading,2,,H2
Some people should not get 3 hepatitis A vaccine or should wait,"[0, 0, 100, 20]",2,14.0,12,0,0.026,0.1666666666666666,0.1666666666666666,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.999933704014886,Title/Heading,5,,H1
What if there is a moderate or severe reaction?,"[0, 0, 100, 20]",2,14.0,9,0,0.0195,0.1111111111111111,0.1111111111111111,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,,1,0.9999875934522388,Title/Heading,3,,H1
What should I look for?,"[0, 0, 100, 20]",2,11.5,5,0,0.0095,0.2,0.4,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,0.976399253922832,Title/Heading,2,,H2
What should I do?,"[0, 0, 100, 20]",2,11.5,4,0,0.007,0.25,0.5,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,0.9902784448835436,Title/Heading,2,,H3
The National Vaccine Injury,"[0, 0, 100, 20]",2,14.0,4,0,0.012,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.999999878020644,Title/Heading,6,,H1
Compensation Program,"[0, 0, 100, 20]",2,14.0,2,0,0.0095,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9999999619866516,Title/Heading,6,,H1
What are the risks from hepatitis A vaccine?,"[0, 0, 100, 20]",2,14.0,8,0,0.0185,0.125,0.25,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,,1,0.9999995037029932,Title/Heading,3,,H1
Mild problems,"[0, 0, 100, 20]",2,11.5,2,0,0.006,0.0,0.5,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9886453772034556,Title/Heading,7,,H2
Severe problems,"[0, 0, 100, 20]",2,11.5,2,0,0.007,0.0,0.5,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.936599689299536,Title/Heading,7,,H3
7 How can I learn more?,"[0, 0, 100, 20]",2,14.0,6,0,0.009,0.1666666666666666,0.3333333333333333,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,0.999993457589984,Title/Heading,2,"{'type': 'numeric', 'depth': 1}",H1
