text,bbox,page_number,avg_font_size,word_count,is_all_caps,char_density,ratio_of_verbs,ratio_capitalized,ends_with_colon,is_bold,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,font_size_diff,same_font,is_bold_A,is_italic_A,is_monospace_A,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,is_linea_hashed,is_lineb_hashed,both_hashed,neither_hashed,title_label,model_labels,confidence_score,predicted_category,style_cluster_id,numbering_info,hierarchy_level
Table of Contents,"[0, 0, 100, 20]",1,15.96,3,0,0.0075,0.0,0.6666666666666666,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9999999999999872,Title/Heading,0,"{'type': 'keyword', 'depth': 1}",Title
Acknowledgements,"[0, 0, 100, 20]",2,15.96,1,0,0.008,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9999999999999992,Title/Heading,1,,H1
1. Introduction to the Foundation Level Extensions,"[0, 0, 100, 20]",3,15.96,7,0,0.022,0.0,0.5714285714285714,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9999999999999838,Title/Heading,2,"{'type': 'numeric', 'depth': 1}",H1
Agile Tester,"[0, 0, 100, 20]",3,9.96,2,0,0.0055,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.8095548808405884,Title/Heading,3,,H2
2. Introduction to Foundation Level Agile Tester Extension,"[0, 0, 100, 20]",4,15.96,8,0,0.0255,0.0,0.75,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9999999999999728,Title/Heading,4,"{'type': 'numeric', 'depth': 1}",H1
2.1 Intended Audience,"[0, 0, 100, 20]",4,14.04,3,0,0.0095,0.3333333333333333,0.5,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.999999999992878,Title/Heading,5,"{'type': 'numeric', 'depth': 2}",H2
2.2 Career Paths for Testers,"[0, 0, 100, 20]",4,14.04,5,0,0.012,0.0,0.5,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9999999997848408,Title/Heading,6,"{'type': 'numeric', 'depth': 2}",H2
2.3 Learning Objectives,"[0, 0, 100, 20]",4,14.04,3,0,0.0105,0.0,0.5,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9999999999555412,Title/Heading,7,"{'type': 'numeric', 'depth': 2}",H2
2.4 Entry Requirements,"[0, 0, 100, 20]",5,14.04,3,0,0.01,0.0,0.5,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9999999999564352,Title/Heading,7,"{'type': 'numeric', 'depth': 2}",H2
2.5 Structure and Course Duration,"[0, 0, 100, 20]",5,14.04,5,0,0.0145,0.0,0.5,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9999999997618414,Title/Heading,6,"{'type': 'numeric', 'depth': 2}",H2
2.6 Keeping It Current,"[0, 0, 100, 20]",6,14.04,4,0,0.0095,0.25,0.6,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9999999828735516,Title/Heading,8,"{'type': 'numeric', 'depth': 2}",H2
3.1 Business Outcomes,"[0, 0, 100, 20]",7,14.04,3,0,0.0095,0.0,0.5,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.999999999957311,Title/Heading,7,"{'type': 'numeric', 'depth': 2}",H2
3.2 Content,"[0, 0, 100, 20]",7,14.04,2,0,0.005,0.0,0.3333333333333333,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9999999999322896,Title/Heading,9,"{'type': 'numeric', 'depth': 2}",H2
4. References,"[0, 0, 100, 20]",9,15.96,2,0,0.006,0.0,0.5,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9999999999999264,Title/Heading,10,"{'type': 'numeric', 'depth': 1}",H1
