text,bbox,page_number,avg_font_size,word_count,is_all_caps,char_density,ratio_of_verbs,ratio_capitalized,ends_with_colon,is_bold,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,font_size_diff,same_font,is_bold_A,is_italic_A,is_monospace_A,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,is_linea_hashed,is_lineb_hashed,both_hashed,neither_hashed,title_label,model_labels,confidence_score,predicted_category,style_cluster_id,numbering_info,hierarchy_level
B.S. Research Paper Example Empirical Research Paper,"[0, 0, 100, 20]",1,13.98,7,0,0.023,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.999999970543511,Title/Heading,0,"{'type': 'alpha', 'depth': 2}",Title
The Effects of Interleaving Versus Blocking for Article title,"[0, 0, 100, 20]",1,12.0,9,0,0.0265,0.0,0.6666666666666666,0,0,-20.0,0.0,1,0,0.0099999999999997,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.7805555254103854,Title/Heading,1,,H1
Learning to Conjugate Verbs in the Spanish Language,"[0, 0, 100, 20]",1,11.99,8,0,0.022,0.125,0.625,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.8542013703920671,Title/Heading,2,,H2
"College, faculty advisor","[0, 0, 100, 20]",1,12.0,3,0,0.011,0.0,0.3333333333333333,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9866812793128032,Title/Heading,3,,H1
Faculty advisor signature Date,"[0, 0, 100, 20]",1,11.99,4,0,0.0135,0.0,0.5,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9888301317230258,Title/Heading,3,,H2
The Effects of Interleaving Versus Blocking for,"[0, 0, 100, 20]",1,11.99,7,0,0.0205,0.0,0.7142857142857143,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.8964023115568764,Title/Heading,4,,H2
Learning to Conjugate Verbs in the Spanish Language,"[0, 0, 100, 20]",1,11.99,8,0,0.022,0.125,0.625,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.7312561325510318,Title/Heading,2,,H2
Jon Student,"[0, 0, 100, 20]",2,11.99,2,0,0.005,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9968555846595653,Title/Heading,5,,H2
Department of Psychology,"[0, 0, 100, 20]",2,11.99,3,0,0.011,0.0,0.6666666666666666,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9807995906466652,Title/Heading,3,,H2
"University of California, San Diego","[0, 0, 100, 20]",2,11.99,5,0,0.0155,0.0,0.8,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9580118126615146,Title/Heading,6,,H2
Author Note,"[0, 0, 100, 20]",2,11.99,2,0,0.005,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9968555846595653,Title/Heading,5,,H2
Article title,"[0, 0, 100, 20]",1,12.0,2,0,0.006,0.0,0.5,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9967069483236668,Title/Heading,7,,H1
Name and affiliation,"[0, 0, 100, 20]",2,12.0,3,0,0.009,0.0,0.3333333333333333,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,,1,0.983118996499004,Title/Heading,8,,H1
Author note,"[0, 0, 100, 20]",2,12.0,2,0,0.005,0.0,0.5,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9969152797841568,Title/Heading,7,,H1
INTERLEAVING AND LANGUAGE LEARNING 2,"[0, 0, 100, 20]",3,11.99,5,1,0.016,0.0,0.8,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9999651945369448,Title/Heading,9,"{'type': 'roman', 'depth': 1}",H1
Abstract,"[0, 0, 100, 20]",3,11.99,1,0,0.004,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9990925367949828,Title/Heading,5,,H2
INTERLEAVING AND LANGUAGE LEARNING 3,"[0, 0, 100, 20]",4,11.99,5,1,0.016,0.0,0.8,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9999651945369448,Title/Heading,9,"{'type': 'roman', 'depth': 1}",H1
The Effects of Interleaving Versus Blocking for,"[0, 0, 100, 20]",1,11.99,7,0,0.0205,0.0,0.7142857142857143,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.949059336200789,Title/Heading,4,,H2
Learning to Conjugate Verbs in the Spanish Language Article title,"[0, 0, 100, 20]",1,12.0,10,0,0.028,0.1,0.6,0,0,-20.0,0.0,1,0,0.0099999999999997,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.6486105062361492,Title/Heading,10,,H1
Method,"[0, 0, 100, 20]",5,11.99,1,0,0.003,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.999128630751462,Title/Heading,5,,H2
Participants,"[0, 0, 100, 20]",5,11.99,1,0,0.006,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9990158061675322,Title/Heading,5,,H2
Design,"[0, 0, 100, 20]",5,11.99,1,0,0.003,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.999128630751462,Title/Heading,5,,H2
INTERLEAVING AND LANGUAGE LEARNING 5,"[0, 0, 100, 20]",6,11.99,5,1,0.016,0.0,0.8,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9999651945369448,Title/Heading,9,"{'type': 'roman', 'depth': 1}",H1
Materials,"[0, 0, 100, 20]",6,11.99,1,0,0.0045,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9990739334865772,Title/Heading,5,,H2
Procedure,"[0, 0, 100, 20]",6,11.99,1,0,0.0045,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9990739334865772,Title/Heading,5,,H2
Results,"[0, 0, 100, 20]",7,11.99,1,0,0.0035,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9991107667230263,Title/Heading,5,,H2
Discussion,"[0, 0, 100, 20]",8,11.99,1,0,0.005,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9990549491646844,Title/Heading,5,,H2
Why Interleaving Improved Language Learning,"[0, 0, 100, 20]",9,11.99,5,0,0.0195,0.4,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9987844231956042,Title/Heading,11,,H2
INTERLEAVING AND LANGUAGE LEARNING 10,"[0, 0, 100, 20]",11,11.99,5,1,0.0165,0.0,0.8,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9999644803769432,Title/Heading,9,"{'type': 'roman', 'depth': 1}",H1
Study Implications,"[0, 0, 100, 20]",11,11.99,2,0,0.0085,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9983140384261732,Title/Heading,5,,H2
INTERLEAVING AND LANGUAGE LEARNING 11,"[0, 0, 100, 20]",12,11.99,5,1,0.0165,0.0,0.8,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9999644803769432,Title/Heading,9,"{'type': 'roman', 'depth': 1}",H1
References,"[0, 0, 100, 20]",12,11.99,1,0,0.005,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9990549491646844,Title/Heading,5,,H2
