text,bbox,page_number,avg_font_size,word_count,is_all_caps,char_density,ratio_of_verbs,ratio_capitalized,ends_with_colon,is_bold,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,font_size_diff,same_font,is_bold_A,is_italic_A,is_monospace_A,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,is_linea_hashed,is_lineb_hashed,both_hashed,neither_hashed,title_label,model_labels,predicted_category,confidence_score,style_cluster_id,numbering_info,hierarchy_level
Numerical Thermal Analysis of Six-Phase PMSMs With Single- and Double-Layer Fractional-Slot Concentrated Windings in Healthy and Faulty Cases,"[0, 0, 100, 20]",1,23.91,18,0,0.062,0.0,0.8095238095238095,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,1.0,0,,Title
"shehab.ahmed@kaust.edu.sa, jdoval@uvigo.es","[0, 0, 100, 20]",1,9.96,2,0,0.0205,0.25,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.9898169538805232,1,,H1
I. I NTRODUCTION,"[0, 0, 100, 20]",1,9.96,3,1,0.007,0.3333333333333333,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.9999998266905809,2,"{'type': 'roman', 'depth': 1}",H1
II. FSCW 6PMSM D ESIGN,"[0, 0, 100, 20]",2,9.96,5,1,0.009,0.0,0.8,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.996266754349848,3,"{'type': 'roman', 'depth': 1}",H1
III. E LECTROMAGNETIC FEA,"[0, 0, 100, 20]",3,9.96,4,1,0.011,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.999865975856276,3,"{'type': 'roman', 'depth': 1}",H1
A. Healthy Case,"[0, 0, 100, 20]",3,9.96,3,0,0.0065,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.9069240178889588,4,"{'type': 'alpha', 'depth': 2}",H2
B. OPF Case,"[0, 0, 100, 20]",3,9.96,3,0,0.0045,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.9653053702731542,4,"{'type': 'alpha', 'depth': 2}",H2
C. ITF Case,"[0, 0, 100, 20]",3,9.96,3,0,0.0045,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.9653053702731542,4,"{'type': 'alpha', 'depth': 2}",H2
IV. CFD-B ASED T HERMAL A NALYSIS,"[0, 0, 100, 20]",4,9.96,7,1,0.0135,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.99944918300904,3,"{'type': 'roman', 'depth': 1}",H1
A. Healthy Case,"[0, 0, 100, 20]",3,9.96,3,0,0.0065,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.9069240178889588,4,"{'type': 'alpha', 'depth': 2}",H2
