text,bbox,page_number,avg_font_size,word_count,is_all_caps,char_density,ratio_of_verbs,ratio_capitalized,ends_with_colon,is_bold,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,font_size_diff,same_font,is_bold_A,is_italic_A,is_monospace_A,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,is_linea_hashed,is_lineb_hashed,both_hashed,neither_hashed,title_label,model_labels,confidence_score,predicted_category,style_cluster_id,numbering_info,hierarchy_level
Lesson,"[0, 0, 100, 20]",2,11.34,1,0,0.003,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9999905874240044,Title/Heading,0,,Title
Particle は and です : to be,"[0, 0, 100, 20]",2,12.05,7,0,0.0095,0.1666666666666666,0.1666666666666666,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9999982024682558,Title/Heading,1,,H1
ではありません : It ’ s not 〜,"[0, 0, 100, 20]",2,12.05,7,0,0.008,0.3333333333333333,0.25,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9999989482215216,Title/Heading,2,,H2
これは鉛筆ではありません。,"[0, 0, 100, 20]",2,11.34,1,0,0.0065,0.0,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.999975910398318,Title/Heading,3,,H3
それは本ではありません。,"[0, 0, 100, 20]",2,11.34,1,0,0.006,0.0,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9999763947509432,Title/Heading,3,,H3
れんしゅうもんだい 練 習問題,"[0, 0, 100, 20]",3,14.88,3,0,0.0065,0.0,0.0,0,0,-20.0,0.0,1,0,9.92,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9999999968643424,Title/Heading,4,,H1
2. これ   本,"[0, 0, 100, 20]",3,12.76,3,0,0.0025,0.0,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9995174024300312,Title/Heading,5,"{'type': 'numeric', 'depth': 1}",H1
ざっし 誌       です 。 4. それ 雑  は,"[0, 0, 100, 20]",2,10.87,8,0,0.0065,0.125,0.0,0,0,-20.0,0.0,1,0,5.67,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.5939524732373824,Title/Heading,6,,H2
8. それ   本,"[0, 0, 100, 20]",3,12.76,3,0,0.0025,0.0,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9995174024300312,Title/Heading,5,"{'type': 'numeric', 'depth': 1}",H1
Lesson,"[0, 0, 100, 20]",2,11.34,1,0,0.003,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9999905874240044,Title/Heading,0,,H2
でした : It was 〜,"[0, 0, 100, 20]",4,12.05,5,0,0.005,0.25,0.3333333333333333,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9999524086484404,Title/Heading,7,,H2
本でした。,"[0, 0, 100, 20]",4,11.34,1,0,0.0025,0.0,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9997145187759744,Title/Heading,8,,H3
ではありませんでした : It was not 〜,"[0, 0, 100, 20]",4,12.05,6,0,0.01,0.2,0.25,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9999482499046752,Title/Heading,1,,H2
アメリカ人ではありませんでした。,"[0, 0, 100, 20]",4,11.34,1,0,0.008,0.0,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9998341989251422,Title/Heading,3,,H3
Particle か,"[0, 0, 100, 20]",4,12.05,2,0,0.0045,0.0,0.5,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.999995667523738,Title/Heading,9,,H2
本ですか。,"[0, 0, 100, 20]",4,11.34,1,0,0.0025,0.0,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9997145187759744,Title/Heading,8,,H3
れんしゅうもんだい 練 習問題,"[0, 0, 100, 20]",3,14.88,3,0,0.0065,0.0,0.0,0,0,-20.0,0.0,1,0,9.92,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9999999968643424,Title/Heading,4,,H1
本人  でした 3. 日,"[0, 0, 100, 20]",5,12.76,4,0,0.004,0.0,0.0,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9999871843150032,Title/Heading,10,,H2
6. これ  は 本,"[0, 0, 100, 20]",5,12.76,4,0,0.003,0.0,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.999999908693492,Title/Heading,5,"{'type': 'numeric', 'depth': 1}",H1
10. あなた  は アメリカ人,"[0, 0, 100, 20]",5,12.76,4,0,0.006,0.0,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9999998968595116,Title/Heading,11,"{'type': 'numeric', 'depth': 1}",H1
1.Is Ken Japanese?,"[0, 0, 100, 20]",5,11.34,3,0,0.008,0.0,0.75,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,0.9994123839185314,Title/Heading,12,"{'type': 'numeric', 'depth': 1}",H1
2.Is this a dictionary?,"[0, 0, 100, 20]",5,11.34,4,0,0.01,0.0,0.2,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,0.997666729548455,Title/Heading,13,"{'type': 'numeric', 'depth': 1}",H1
Lesson,"[0, 0, 100, 20]",2,11.34,1,0,0.003,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9999905874240044,Title/Heading,0,,H2
"これ, それ, あれ and どれ","[0, 0, 100, 20]",6,12.05,5,0,0.0065,0.2,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9999933508465432,Title/Heading,14,,H2
"この, その, あの and どの","[0, 0, 100, 20]",6,12.05,5,0,0.0065,0.2,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9999933508465432,Title/Heading,14,,H2
この本ですか。,"[0, 0, 100, 20]",6,11.34,1,0,0.0035,0.0,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9998618953854546,Title/Heading,8,,H3
どのペンですか。 Which pen?,"[0, 0, 100, 20]",6,10.28,3,0,0.0085,0.3333333333333333,0.3333333333333333,0,0,-20.0,0.0,1,0,2.129999999999999,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9893400655778356,Title/Heading,15,,H4
れんしゅうもんだい 練 習問題,"[0, 0, 100, 20]",3,14.88,3,0,0.0065,0.0,0.0,0,0,-20.0,0.0,1,0,9.92,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9999999968643424,Title/Heading,4,,H1
1. これ  は 雑 ざっし 誌 です。,"[0, 0, 100, 20]",7,10.87,7,0,0.0065,0.0,0.0,0,0,-20.0,0.0,1,0,0.0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.5692396651966775,Title/Heading,16,"{'type': 'numeric', 'depth': 1}",H1
2. それ は 新 しんぶん 聞 です。,"[0, 0, 100, 20]",7,10.87,7,0,0.007,0.0,0.0,0,0,-20.0,0.0,1,0,0.0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.5692396651966775,Title/Heading,16,"{'type': 'numeric', 'depth': 1}",H1
3. あれ  は 車,"[0, 0, 100, 20]",7,12.76,4,0,0.003,0.0,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9999997723628536,Title/Heading,5,"{'type': 'numeric', 'depth': 1}",H1
