text,bbox,page_number,avg_font_size,word_count,is_all_caps,char_density,ratio_of_verbs,ratio_capitalized,ends_with_colon,is_bold,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,font_size_diff,same_font,is_bold_A,is_italic_A,is_monospace_A,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,is_linea_hashed,is_lineb_hashed,both_hashed,neither_hashed,title_label,model_labels,confidence_score,predicted_category,style_cluster_id,numbering_info,hierarchy_level
Computer Systems Security: Planning for Success,"[0, 0, 100, 20]",1,27.0,6,0,0.021,0.0,0.8333333333333334,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,1.0,Title/Heading,0,,Title
Table of Contents,"[0, 0, 100, 20]",1,22.0,3,0,0.0075,0.0,0.6666666666666666,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.999999999999884,Title/Heading,1,"{'type': 'keyword', 'depth': 1}",H1
Legal,"[0, 0, 100, 20]",3,22.0,1,0,0.0025,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,1.0,Title/Heading,2,,H1
Acknowledgements,"[0, 0, 100, 20]",3,22.0,1,0,0.008,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,1.0,Title/Heading,3,,H1
Instructional Notes,"[0, 0, 100, 20]",4,22.0,2,0,0.009,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,1.0,Title/Heading,3,"{'type': 'roman', 'depth': 1}",H1
Learning Outcomes,"[0, 0, 100, 20]",4,18.0,2,0,0.008,0.5,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,1.0,Title/Heading,4,,H1
Example Schedule,"[0, 0, 100, 20]",5,18.0,2,0,0.0075,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,1.0,Title/Heading,5,,H1
1. Introduction,"[0, 0, 100, 20]",7,22.0,2,0,0.007,0.0,0.5,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,1.0,Title/Heading,1,"{'type': 'numeric', 'depth': 1}",H1
1.1. Managing Risk,"[0, 0, 100, 20]",7,18.0,3,0,0.008,0.3333333333333333,0.5,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,1.0,Title/Heading,6,"{'type': 'numeric', 'depth': 2}",H2
1.2. Learning the Lingo,"[0, 0, 100, 20]",7,18.0,4,0,0.01,0.25,0.4,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,1.0,Title/Heading,7,"{'type': 'numeric', 'depth': 2}",H2
1.2.1. CIA,"[0, 0, 100, 20]",8,13.0,2,1,0.0045,0.0,0.25,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9999999999999524,Title/Heading,8,"{'type': 'numeric', 'depth': 3}",H3
Confidentiality Integrity CIA,"[0, 0, 100, 20]",8,11.58,3,0,0.0135,0.0,1.0,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9954634421983396,Title/Heading,9,,H3
Availability,"[0, 0, 100, 20]",8,11.58,1,0,0.006,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9997069995493048,Title/Heading,10,,H3
1.2.2. AAA,"[0, 0, 100, 20]",8,13.0,2,1,0.0045,0.0,0.25,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9999999999999524,Title/Heading,8,"{'type': 'numeric', 'depth': 3}",H3
1.2.3. DRY,"[0, 0, 100, 20]",9,13.0,2,1,0.0045,0.0,0.25,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9999999999999852,Title/Heading,8,"{'type': 'numeric', 'depth': 3}",H3
"Say something once, why say it again? 1","[0, 0, 100, 20]",9,13.0,8,0,0.016,0.125,0.125,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9998932653335592,Title/Heading,11,,H2
1.3. Hacker Culture,"[0, 0, 100, 20]",9,18.0,3,0,0.0085,0.0,0.5,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,1.0,Title/Heading,12,"{'type': 'numeric', 'depth': 2}",H2
Hacker Hats,"[0, 0, 100, 20]",10,13.0,2,0,0.005,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,0.9999999043244076,Title/Heading,10,,H2
