text,bbox,page_number,avg_font_size,word_count,is_all_caps,char_density,ratio_of_verbs,ratio_capitalized,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,font_size_diff,same_font,is_bold_A,is_italic_A,is_monospace_A,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,is_linea_hashed,is_lineb_hashed,both_hashed,neither_hashed,title_label
Beef Stroganoff,"[0, 0, 100, 20]",2,12,2,0,0.007,0,1,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
Ingredients:,"[0, 0, 100, 20]",2,12,1,0,0.006,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
"1 pound beef sirloin, thinly sliced 1 small onion, diced 2 cloves garlic, minced 1 cup mushrooms, sliced 1 cup beef broth 1 cup sour cream 2 tablespoons flour 2 tablespoons butter 1 teaspoon paprika Salt and pepper to taste Egg noodles or rice for serving","[0, 0, 100, 20]",2,12,46,0,0.105,0,0.043478261,-20,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
Instructions:,"[0, 0, 100, 20]",2,12,1,0,0.0065,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
"In a large skillet, melt butter over medium heat. Add diced onion and minced garlic, sauté until translucent. Add sliced beef and cook until browned. Stir in mushrooms and cook until tender. Sprinkle flour over the mixture and stir to combine. Gradually add beef broth, stirring constantly until the sauce thickens. Stir in sour cream and paprika, season with salt and pepper. Simmer for a few minutes until heated through. Serve over egg noodles or rice.","[0, 0, 100, 20]",2,12,76,0,0.19,0,0.118421053,-20,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
Chicken Parmesan,"[0, 0, 100, 20]",2,12,2,0,0.0075,0,1,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
Ingredients:,"[0, 0, 100, 20]",2,12,1,0,0.006,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
"4 boneless, skinless chicken breasts 1 cup breadcrumbs 1/2 cup grated Parmesan cheese 1 cup marinara sauce 1 cup mozzarella cheese, shredded 2 eggs, beaten 1/2 cup flour 1/4 cup olive oil Salt and pepper to taste","[0, 0, 100, 20]",2,12,37,0,0.088,0,0.05,-20,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
Instructions:,"[0, 0, 100, 20]",2,12,1,0,0.0065,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
"Preheat oven to 375°F 190°C. Season chicken breasts with salt and pepper. Dredge chicken in flour, dip in beaten eggs, and coat with a mixture of breadcrumbs and grated Parmesan cheese. Heat olive oil in a skillet over medium heat. Cook chicken until golden brown on both sides.","[0, 0, 100, 20]",2,12,48,0,0.1155,0,0.16,-20,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
"Place chicken in a baking dish, top with marinara sauce and shredded mozzarella cheese. Bake for 20-25 minutes until cheese is melted and bubbly. Serve warm.","[0, 0, 100, 20]",3,12,26,0,0.066,0,0.111111111,-20,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
Spaghetti Bolognese,"[0, 0, 100, 20]",3,12,2,0,0.009,0,1,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
Ingredients:,"[0, 0, 100, 20]",2,12,1,0,0.006,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
"1 pound ground beef 1 small onion, diced 2 cloves garlic, minced 1 carrot, grated 1 celery stalk, diced 1 can 28 ounces crushed tomatoes 1/4 cup tomato paste 1/2 cup red wine optional 1 teaspoon dried oregano 1 teaspoon dried basil Salt and pepper to taste Spaghetti for serving Grated Parmesan cheese for garnish","[0, 0, 100, 20]",3,12,55,0,0.1295,0,0.070175439,-20,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
Instructions:,"[0, 0, 100, 20]",2,12,1,0,0.0065,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
"In a large skillet, cook ground beef over medium heat until browned. Add diced onion, minced garlic, grated carrot, and diced celery, sauté until vegetables are tender. Stir in crushed tomatoes, tomato paste, red wine if using, oregano, basil, salt, and pepper. Simmer for 30 minutes, stirring occasionally. Cook spaghetti according to package instructions. Serve Bolognese sauce over spaghetti, garnished with grated Parmesan cheese.","[0, 0, 100, 20]",3,12,64,0,0.1855,0,0.125,-20,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
Teriyaki Chicken,"[0, 0, 100, 20]",3,12,2,0,0.0075,0,1,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
Ingredients:,"[0, 0, 100, 20]",2,12,1,0,0.006,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
"4 boneless, skinless chicken thighs 1/4 cup soy sauce 1/4 cup mirin 2 tablespoons sugar 1 tablespoon sake 1 teaspoon grated ginger 1 teaspoon minced garlic 1 tablespoon vegetable oil Cooked rice for serving","[0, 0, 100, 20]",3,12,34,0,0.0865,0,0.027777778,-20,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
Sliced green onions for garnish,"[0, 0, 100, 20]",4,12,5,0,0.0135,0,0.2,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
Instructions:,"[0, 0, 100, 20]",2,12,1,0,0.0065,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
"In a bowl, mix soy sauce, mirin, sugar, sake, grated ginger, and minced garlic. Marinate chicken thighs in the mixture for at least 30 minutes. Heat vegetable oil in a skillet over medium heat. Cook chicken thighs until browned and cooked through. Pour marinade into the skillet and simmer until thickened. Serve chicken over cooked rice, garnished with sliced green onions.","[0, 0, 100, 20]",4,12,61,0,0.157,0,0.098360656,-20,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
Shrimp Scampi,"[0, 0, 100, 20]",4,12,2,0,0.006,0,1,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
Ingredients:,"[0, 0, 100, 20]",2,12,1,0,0.006,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
"1 pound large shrimp, peeled and deveined 4 cloves garlic, minced 1/4 cup white wine 1/4 cup chicken broth 1/4 cup lemon juice 1/4 cup butter 2 tablespoons olive oil 1/4 cup chopped parsley Salt and pepper to taste Cooked pasta for serving","[0, 0, 100, 20]",4,12,43,0,0.0985,0,0.041666667,-20,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
Instructions:,"[0, 0, 100, 20]",2,12,1,0,0.0065,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
"Heat olive oil and butter in a large skillet over medium heat. Add minced garlic and sauté until fragrant. Add shrimp and cook until pink and opaque. Remove shrimp from the skillet and set aside. Pour white wine, chicken broth, and lemon juice into the skillet, simmer until reduced by half. Return shrimp to the skillet and toss to coat in the sauce. Season with salt and pepper, stir in chopped parsley. Serve over cooked pasta.","[0, 0, 100, 20]",4,12,76,0,0.1775,0,0.105263158,-20,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
Beef Tacos,"[0, 0, 100, 20]",4,12,2,0,0.0045,0,1,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
Ingredients:,"[0, 0, 100, 20]",2,12,1,0,0.006,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
"1 pound ground beef 1 small onion, diced 2 cloves garlic, minced 1 packet taco seasoning 1/2 cup water Taco shells or tortillas","[0, 0, 100, 20]",3,12,23,0,0.0525,0,0.041666667,-20,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
"Shredded lettuce, diced tomatoes, shredded cheese, sour cream, and salsa for toppings","[0, 0, 100, 20]",5,12,12,0,0.037,0,0.083333333,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
Instructions:,"[0, 0, 100, 20]",2,12,1,0,0.0065,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
"In a skillet, cook ground beef over medium heat until browned. Add diced onion and minced garlic, sauté until softened. Stir in taco seasoning and water, simmer until thickened. Serve beef mixture in taco shells or tortillas with desired toppings.","[0, 0, 100, 20]",5,12,40,0,0.104,0,0.1,-20,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
Lasagna,"[0, 0, 100, 20]",5,12,1,0,0.0035,0,1,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
Ingredients:,"[0, 0, 100, 20]",2,12,1,0,0.006,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
"1 pound ground beef 1 small onion, diced 2 cloves garlic, minced 1 jar 24 ounces marinara sauce 1 can 15 ounces ricotta cheese 1 egg 1/4 cup grated Parmesan cheese 1 teaspoon dried basil 1 teaspoon dried oregano 9 lasagna noodles, cooked 2 cups shredded mozzarella cheese","[0, 0, 100, 20]",3,12,48,0,0.112,0,0.020408163,-20,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
Instructions:,"[0, 0, 100, 20]",2,12,1,0,0.0065,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
"Preheat oven to 375°F 190°C. In a skillet, cook ground beef, diced onion, and minced garlic until browned. Stir in marinara sauce and simmer for 10 minutes. In a bowl, mix ricotta cheese, egg, grated Parmesan cheese, basil, and oregano. Spread a thin layer of meat sauce in a baking dish. Layer with 3 lasagna noodles, 1/3 of the ricotta mixture, 1/3 of the meat sauce, and 1/3 of the shredded mozzarella cheese. Repeat layers twice more. Cover with foil and bake for 25 minutes. Remove foil and bake for an additional 25 minutes until cheese is melted and bubbly. Let stand for 10 minutes before serving.","[0, 0, 100, 20]",2,12,107,0,0.2495,0,0.116071429,-20,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
Chicken Alfredo,"[0, 0, 100, 20]",5,12,2,0,0.007,0,1,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
Ingredients:,"[0, 0, 100, 20]",2,12,1,0,0.006,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
