text,bbox,page_number,avg_font_size,word_count,is_all_caps,char_density,ratio_of_verbs,ratio_capitalized,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,font_size_diff,same_font,is_bold_A,is_italic_A,is_monospace_A,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,is_linea_hashed,is_lineb_hashed,both_hashed,neither_hashed,title_label
Churros,"[0, 0, 100, 20]",1,12,1,0,0.0035,0,1,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
Ingredients :,"[0, 0, 100, 20]",1,12,2,0,0.006,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
o 1 cup water o 1/2 cup butter o 1 cup flour o 3 eggs o 1/4 cup sugar o 1 teaspoon cinnamon o Oil for frying,"[0, 0, 100, 20]",1,10.02,27,0,0.041,0,0.034482759,-20,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0
Instructions :,"[0, 0, 100, 20]",1,12,2,0,0.0065,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
o Bring water and butter to a boil. o Add flour and stir until a dough forms. o Remove from heat and beat in eggs one at a time. o Heat oil in a pan. o Pipe dough into hot oil and fry until golden. o Drain on paper towels and roll in a mixture of sugar and cinnamon. o Serve warm.,"[0, 0, 100, 20]",1,10.02,62,0,0.1095,0,0.112903226,-20,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0
Coconut Rice,"[0, 0, 100, 20]",1,12,2,0,0.0055,0,1,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
Ingredients :,"[0, 0, 100, 20]",1,12,2,0,0.006,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
o 1 cup rice o 1 cup coconut milk o 1 cup water o 1/4 cup shredded coconut o 1 teaspoon salt,"[0, 0, 100, 20]",1,10.02,22,0,0.0355,0,0,-20,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0
Instructions :,"[0, 0, 100, 20]",1,12,2,0,0.0065,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
"o Sauté shredded coconut until lightly browned. o Add rice, coconut milk, water, and salt. o Bring to a boil, then reduce heat and simmer until rice is tender. o Serve warm.","[0, 0, 100, 20]",1,10.02,32,0,0.071,0,0.125,-20,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0
Coleslaw,"[0, 0, 100, 20]",1,12,1,0,0.004,0,1,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
Ingredients :,"[0, 0, 100, 20]",1,12,2,0,0.006,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
o 1 small cabbage o 2 carrots o 1/2 cup mayonnaise o 2 tablespoons apple cider vinegar o 1 tablespoon sugar o 1 teaspoon salt,"[0, 0, 100, 20]",1,10.02,25,0,0.0505,0,0,-20,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0
Instructions :,"[0, 0, 100, 20]",1,12,2,0,0.0065,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
"o Shred cabbage and grate carrots. o Mix mayonnaise, vinegar, sugar, and salt in a bowl. o Toss cabbage and carrots with dressing. o Chill for at least 1 hour before serving.","[0, 0, 100, 20]",1,10.02,32,0,0.0715,0,0.125,-20,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0
Cornbread,"[0, 0, 100, 20]",2,12,1,0,0.0045,0,1,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
Ingredients :,"[0, 0, 100, 20]",1,12,2,0,0.006,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
o 1 cup cornmeal o 1 cup flour o 1/4 cup sugar o 1 tablespoon baking powder o 1/2 teaspoon salt o 1 cup milk o 1/4 cup vegetable oil o 1 egg,"[0, 0, 100, 20]",2,10.02,33,0,0.054,0,0,-20,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0
Instructions :,"[0, 0, 100, 20]",1,12,2,0,0.0065,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
"o Preheat oven to 400°F 200°C. o Mix cornmeal, flour, sugar, baking powder, and salt in a bowl. o Add milk, oil, and beaten egg, stir until combined. o Pour batter into a greased baking pan. o Bake for 20-25 minutes until golden. o Serve warm.","[0, 0, 100, 20]",2,10.02,46,0,0.099,0,0.163265306,-20,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0
Coxinha,"[0, 0, 100, 20]",2,12,1,0,0.0035,0,1,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
Ingredients :,"[0, 0, 100, 20]",1,12,2,0,0.006,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
o 2 cups shredded chicken o 1 small onion o 2 cloves garlic o 1/4 cup parsley o 1/4 cup cream cheese o 1 cup flour o 1 cup breadcrumbs o 2 eggs o Oil for frying,"[0, 0, 100, 20]",2,10.02,37,0,0.062,0,0.025641026,-20,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0
Instructions :,"[0, 0, 100, 20]",1,12,2,0,0.0065,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
"o Sauté diced onion and minced garlic until softened. o Mix shredded chicken with onion, garlic, chopped parsley, and cream cheese. o Form mixture into drumstick shapes. o Dredge in flour, dip in beaten eggs, and coat with breadcrumbs. o Fry in hot oil until golden. o Drain on paper towels and serve warm.","[0, 0, 100, 20]",2,10.02,54,0,0.1265,0,0.111111111,-20,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0
Croque Monsieur,"[0, 0, 100, 20]",2,12,2,0,0.007,0,1,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
Ingredients :,"[0, 0, 100, 20]",1,12,2,0,0.006,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
o 8 slices bread o 4 slices ham o 1 cup grated Gruyère cheese o 1/4 cup béchamel sauce,"[0, 0, 100, 20]",2,10.02,19,0,0.034,0,0.05,-20,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0
o 2 tablespoons butter,"[0, 0, 100, 20]",3,10.02,4,0,0.0095,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
Instructions :,"[0, 0, 100, 20]",1,12,2,0,0.0065,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
"o Preheat oven to 400°F 200°C. o Spread béchamel sauce on 4 slices of bread. o Top with ham and grated cheese, then cover with remaining bread slices. o Melt butter in a pan and toast sandwiches until golden. o Transfer to a baking sheet, top with more béchamel sauce and cheese. o Bake for 10 minutes until cheese is melted and bubbly. o Serve warm.","[0, 0, 100, 20]",2,10.02,66,0,0.1425,0,0.132352941,-20,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0
Croquetas,"[0, 0, 100, 20]",3,12,1,0,0.0045,0,1,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
Ingredients :,"[0, 0, 100, 20]",1,12,2,0,0.006,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
o 1/2 cup butter o 1/2 cup flour o 2 cups milk o 1/2 cup ham o 1/4 cup grated cheese o 1 teaspoon salt o 1/2 teaspoon nutmeg o 1 cup breadcrumbs o 2 eggs o Oil for frying,"[0, 0, 100, 20]",1,10.02,40,0,0.0655,0,0.022222222,-20,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0
Instructions :,"[0, 0, 100, 20]",1,12,2,0,0.0065,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
"o Melt butter in a saucepan, stir in flour to make a roux. o Gradually add milk, stirring constantly until thickened. o Stir in diced ham, grated cheese, salt, and nutmeg. o Let mixture cool, then form into croquettes. o Dredge croquettes in flour, dip in beaten eggs, and coat with breadcrumbs. o Fry in hot oil until golden. o Drain on paper towels and serve warm.","[0, 0, 100, 20]",3,10.02,67,0,0.15,0,0.104477612,-20,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0
Dal Tadka,"[0, 0, 100, 20]",3,12,2,0,0.004,0,1,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
Ingredients :,"[0, 0, 100, 20]",1,12,2,0,0.006,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
o 1 cup lentils o 4 cups water o 1 small onion o 2 cloves garlic o 1 teaspoon cumin o 1 teaspoon turmeric o 1 teaspoon coriander o 1 teaspoon garam masala o 1 teaspoon salt o 2 tablespoons oil,"[0, 0, 100, 20]",3,10.02,41,0,0.076,0,0,-20,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0
Instructions :,"[0, 0, 100, 20]",1,12,2,0,0.0065,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
"o Rinse lentils and cook in water until tender. o Heat oil in a pan and sauté diced onion and minced garlic until translucent. o Add cumin, turmeric, coriander, and garam masala, cook for 1 minute. o Add cooked lentils and stir to combine. o Simmer for 10 minutes, stirring occasionally. o Add salt to taste and serve.","[0, 0, 100, 20]",4,10.02,58,0,0.1305,0,0.103448276,-20,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0
Deviled Eggs,"[0, 0, 100, 20]",4,12,2,0,0.0055,0,1,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
Ingredients :,"[0, 0, 100, 20]",1,12,2,0,0.006,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
o 6 eggs o 1/4 cup mayonnaise o 1 tablespoon mustard o 1 tablespoon vinegar o 1 teaspoon salt o 1/2 teaspoon paprika,"[0, 0, 100, 20]",4,10.02,23,0,0.047,0,0,-20,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0
Instructions :,"[0, 0, 100, 20]",1,12,2,0,0.0065,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
"o Hard-boil eggs, then peel and halve. o Remove yolks and mash with mayonnaise, mustard, vinegar, and salt. o Spoon or pipe yolk mixture into egg whites. o Sprinkle with paprika and serve.","[0, 0, 100, 20]",4,10.02,33,0,0.078,0,0.117647059,-20,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0
Dolmas,"[0, 0, 100, 20]",4,12,1,0,0.003,0,1,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
Ingredients :,"[0, 0, 100, 20]",1,12,2,0,0.006,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
o 1 jar grape leaves o 1 cup rice o 1 small onion o 1/4 cup pine nuts o 1/4 cup currants o 1/4 cup lemon juice o 1/4 cup olive oil o 1 teaspoon salt,"[0, 0, 100, 20]",4,10.02,36,0,0.0565,0,0,-20,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0
Instructions :,"[0, 0, 100, 20]",1,12,2,0,0.0065,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
"o Rinse grape leaves and pat dry. o Sauté diced onion in olive oil until translucent. o Add rice, pine nuts, and currants, cook for 5 minutes. o Add 1 cup water, lemon juice, and salt, simmer until rice is tender. o Place a spoonful of rice mixture on each grape leaf and roll tightly. o Arrange dolmas in a pot, cover with water, and simmer for 30 minutes. o Serve warm or chilled.","[0, 0, 100, 20]",4,10.02,74,0,0.1545,0,0.094594595,-20,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0
Dumplings,"[0, 0, 100, 20]",4,12,1,0,0.0045,0,1,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
Ingredients :,"[0, 0, 100, 20]",1,12,2,0,0.006,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
o 1 package dumpling wrappers o 1/2 pound ground pork,"[0, 0, 100, 20]",4,10.02,10,0,0.022,0,0,-20,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0
o 1/2 cup chopped cabbage o 1/4 cup chopped green onions o 2 cloves garlic o 1 tablespoon soy sauce o 1 teaspoon sesame oil o Oil for frying,"[0, 0, 100, 20]",5,10.02,29,0,0.056,0,0.032258065,-20,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0
Instructions :,"[0, 0, 100, 20]",1,12,2,0,0.0065,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
"o Mix ground pork, cabbage, green onions, minced garlic, soy sauce, and sesame oil in a bowl. o Place a spoonful of filling on each wrapper and fold to seal. o Fry in hot oil until golden, then steam for 5 minutes. o Serve with dipping sauce.","[0, 0, 100, 20]",5,10.42,47,0,0.098,0,0.085106383,-20,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0
Edamame,"[0, 0, 100, 20]",5,12,1,0,0.0035,0,1,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
Ingredients :,"[0, 0, 100, 20]",1,12,2,0,0.006,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
o 1 pound edamame soybeans in pods o 1 tablespoon sea salt,"[0, 0, 100, 20]",5,10.02,12,0,0.0235,0,0,-20,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0
Instructions :,"[0, 0, 100, 20]",1,12,2,0,0.0065,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
o Steam or boil edamame until tender about 5 minutes. o Drain and sprinkle with sea salt. o Serve warm.,"[0, 0, 100, 20]",5,10.02,20,0,0.042,0,0.15,-20,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0
Egusi Soup,"[0, 0, 100, 20]",5,12,2,0,0.0045,0,1,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
Ingredients :,"[0, 0, 100, 20]",1,12,2,0,0.006,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
o 1 cup ground egusi seeds o 1/2 pound beef o 1/2 pound fish o 1 small onion o 2 cloves garlic o 4 tomatoes o 1/4 cup palm oil o 1 teaspoon crayfish powder o 1 teaspoon salt o 1/2 teaspoon pepper o 4 cups water o 1/4 cup spinach,"[0, 0, 100, 20]",5,10.02,51,0,0.089,0,0,-20,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0
Instructions :,"[0, 0, 100, 20]",1,12,2,0,0.0065,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
"o Sauté diced onion and minced garlic in palm oil until softened. o Add diced tomatoes, ground egusi seeds, and crayfish powder, cook for 5 minutes. o Add beef, fish, salt, pepper, and water, simmer until meat is tender. o Stir in chopped spinach and cook for 5 minutes. o Serve warm.","[0, 0, 100, 20]",5,10.35,52,0,0.1165,0,0.096153846,-20,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0
Egg Rolls,"[0, 0, 100, 20]",6,12,2,0,0.004,0,1,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
Ingredients :,"[0, 0, 100, 20]",1,12,2,0,0.006,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
o 1 package egg roll wrappers o 1 cup shredded cabbage o 1/2 cup grated carrots o 1/2 cup bean sprouts o 1/4 cup chopped green onions o 2 tablespoons soy sauce o 1 tablespoon sesame oil o Oil for frying,"[0, 0, 100, 20]",6,10.02,41,0,0.081,0,0.022727273,-20,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0
