text,bbox,avg_font_size,word_count,is_all_caps,char_density,ratio_of_verbs,ratio_capitalized,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,font_size_diff,same_font,is_bold_A,is_italic_A,is_monospace_A,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,is_linea_hashed,is_lineb_hashed,both_hashed,neither_hashed,title_label
What?s the best way to create a PDF?,"[0, 0, 100, 20]",24,8,0,0.0145,0.125,0.2222222222222222,5.43,0,1,1,-12,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,1
"You can create PDFs from documents printed on paper, Microsoft Word documents, InDesign® files, digital images, and more. Different types of sources have different tools available for PDF conversion. In many applications, you can create PDFs by selecting the Adobe PDF printer in the Print dialog box.","[100, 0, 200, 20]",12,47,0,0.1275,0.10638297872340426,0.2553191489361702,2.1075,0,1,1,-3,0.75,0.25,0,0,0.75,1,1,0.25,0.75,0,0,0,1,0.25,0,0,0.75,0
"If a file is open in its authoring application such as a spreadsheet that is open in Microsoft Excel, you can convert it to PDF without opening Adobe Acrobat. Similarly, if Acrobat is already open, you don?t have to open the authoring application to convert a file to PDF.","[100, 0, 200, 20]",12,49,0,0.112,0.22448979591836735,0.18,2.1367,0,1,0.6667,0,1,0,0,0,1,1,1,0.3333,0.3333,0,0,0,1,0,0,0,1,0
"Every PDF balances efficiency small file size and quality such as resolution and color. If the balance between the file size and the quality is critical to your task, you must use an appropriate conversion method.","[100, 0, 200, 20]",12,36,0,0.089,0.08333333333333333,0.08333333333333333,2.1367,0,1,1,0,1,0,0,0,1,1,1,0.3333,0.6667,0,0,0,1,0,0,0,1,0
"For example, you can drag files to the Acrobat icon to create PDFs. In this case, Acrobat applies the most recently used conversion settings without providing access to those settings. If you want more control over the process, you?ll want to use another method.","[100, 0, 200, 20]",12,44,0,0.1095,0.18181818181818182,0.13333333333333333,2.1467,0,1,0.6667,0,1,0,0,0,1,1,1,0.6667,0.3333,0,0,0,1,0,0,0,1,0
PDF creation methods by file type,"[100, 0, 200, 20]",16.02,6,0,0.014,0,0.16666666666666666,4.41,0,1,1,4.02,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1
Refer to the following lists to determine the methods available for the different types of files.,"[100, 0, 200, 20]",12,16,0,0.041,0.0625,0.0625,4.75,0,1,0,-4.02,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0
"File Type PDF Creation Methods Method 1 : From the top tools bar, select Create . Then, select a file type and then select the file that you want to convert to PDF. Any file format Or, select the hamburger menu Windows or the File menu macOS > Create and then select the appropriate file type and follow through the steps. Method 2 : Drag and drop a file from your system to the Acrobat Home page. Method 3: Right-click on the file and then select Convert to Adobe PDF .","[100, 0, 200, 20]",12,91,0,0.19,0.10465116279069768,0.27586206896551724,2.58,12.585,0.75,0.4167,0,0.75,0.0833,0,0,0.75,1,1,0.3333,0.25,0,0,0,1,0,0,0,1,0
"Paper documents Requires a scanner Microsoft Office documents Email messages Method 4: Open the file in its source application and go to Print - Adobe PDF printer . Method 1: From the top tools bar, select Create . Then, select Scanner as the file type, select the scanner, and follow through the steps or browse to locate a pre-scanned page.","[0, 0, 200, 20]",12,60,0,0.07075,0.10526315789473684,0.25862068965517243,-5.471,14.34,0.9,0.1,0,1,0,0,0,1,1,1,0.1,0.4,0,0,0,1,0,0,0,1,0
"the File menu macOS > Create from scanner and follow through the workflow. Method 1 Windows only: From the authoring application toolbar, select Adobe Acrobat - Create and Share Adobe PDF . Method 2 Windows only: Open the file in its source application and then go to Print - Adobe PDF printer . Method 3 Windows only: Right-click on the file and select Convert to Adobe PDF . Method 4: Drag and drop the file from your system to the","[100, 0, 200, 20]",12,80,0,0.177,0.06756756756756757,0.3333333333333333,2.836,0,1,0.4,0,0.8,0.1,0,0,0.8,1,1,0.4,0.5,0,0,0,1,0,0,0,1,0
"Method 5 macOS only: From the authoring application, select File - Print - PDF - Save as Adobe PDF . Method 1 Windows only: Within Microsoft Outlook or Lotus Notes, select Acrobat PDFMaker or select Adobe PDF menu options Outlook or the Actions menu Lotus Notes. Method 2 Windows only: From the email application, go to Print - Adobe PDF Create a PDF not a PDF Portfolio. Method 3 Outlook 2010 or later: From the email folder or selection of messages, right-click and then select Convert to","[100, 0, 200, 20]",12,87,0,0.202,0.06097560975609756,0.4457831325301205,3.0333,0,1,0.1111,0,1,0,0,0,1,1,1,0.4444,0.4444,0,0,0,1,0,0,0,1,0
Web pages Content copied on the clipboard AutoCAD files Acrobat Pro for Windows only,"[0, 0, 200, 20]",12,14,0,0.01775,0.14285714285714285,0.42857142857142855,41.078,0,1,0,0,1,0,0,0,1,1,1,0,0.2,0,0,0,1,0,0,0,1,0
select Web page as the file type and follow through the steps.,"[100, 0, 200, 20]",12,12,0,0.0255,0.08333333333333333,0.08333333333333333,0.975,0,1,0.5,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0
the File menu macOS > Create - PDF from web page and follow through the workflow. Method 2: Drag and drop the HTML file from your system to the Acrobat Home page.,"[100, 0, 200, 20]",12,32,0,0.0655,0.06666666666666667,0.26666666666666666,1.78,0,1,0.5,0,1,0,0,0,1,1,1,0.25,0.75,0,0,0,1,0,0,0,1,0
"Adobe PDF. Method 4: From the top-right corner of the webpage, select - Print - Adobe PDF .","[100, 0, 200, 20]",12,18,0,0.037,0,0.4375,3.0167,16.04,0.6667,0.3333,0,1,0,0,0,1,1,1,0.3333,0.3333,0,0,0,1,0,0,0,1,0
select Clipboard as the file type and follow through the,"[100, 0, 200, 20]",12,10,0,0.0235,0.1,0.1,1,0,1,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0
the File menu macOS > Create - PDF from clipboard and,"[100, 0, 200, 20]",12,11,0,0.0215,0,0.3333333333333333,1,0,1,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0
"Method 1: From the top tools bar, select Create and then select the file.","[100, 0, 200, 20]",12,14,0,0.03,0.07142857142857142,0.21428571428571427,5.4,0,1,1,0,1,0,0,0,1,1,1,0.5,0.5,0,0,0,1,0,0,0,1,0
the File menu macOS > Create - PDF from file and follow,"[100, 0, 200, 20]",12,12,0,0.022,0.1,0.3,1,0,1,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0
Method 3: Right-click the file and select Convert to Adobe,"[100, 0, 200, 20]",12,10,0,0.0245,0.1,0.36363636363636365,4.24,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
"Method 4: Within AutoCAD, go to Print - Adobe PDF .","[100, 0, 200, 20]",12,11,0,0.0205,0.1111111111111111,0.6666666666666666,4.28,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0
"Adobe Photoshop, Adobe Illustrator, and Adobe InDesign files PostScript and EPS files 3D files Acrobat Pro Method 1: From the top tools bar, select Create a PDF and then select the file.","[0, 0, 200, 20]",12,32,0,0.03875,0.09375,0.4375,-6.4257,20.4857,0.8571,0.1429,0,1,0,0,0,1,1,1,0,0.1429,0,0,0,1,0,0,0,1,0
Method 2: Drag and drop the file from your system to the Acrobat Distiller icon or Acrobat Distiller window.,"[100, 0, 200, 20]",12,19,0,0.045,0.05263157894736842,0.3157894736842105,2.565,0,1,0.5,0,1,0,0,0,1,1,1,0.5,0,0,0,0,1,0,0,0,1,0
"Method 3 : From Microsoft PowerPoint, select Adobe Presenter - Publish .","[100, 0, 200, 20]",12,12,0,0.0305,0,0.7777777777777778,2.585,0,1,1,0,0.5,0.5,0,0,0.5,1,1,0.5,0,0,0,0,1,0,0,0,1,0
Balance PDF file size and quality,"[100, 0, 200, 20]",16.02,6,0,0.014,0,0.3333333333333333,19.67,-151.02,0,1,4.02,1,1,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,1
"You can select various settings to ensure that your PDF has the best balance between file size, resolution, conformity to specific standards, and other factors. The settings you select depend on your goals for the PDF that you are creating. For example, a PDF intended for high-quality","[100, 0, 200, 20]",12,47,0,0.1195,0.1702127659574468,0.125,2.1233,0,1,0.6667,-1.34,0.6667,0.3333,0,0,0.6667,1,1,0,0.6667,0,0,0,1,0.3333,0,0,0.6667,0
commercial printing requires different settings than a PDF intended only for onscreen viewing and quick downloading over the Internet.,"[0, 0, 200, 20]",12,19,0,0.029,0.10526315789473684,0.10526315789473684,1,0,1,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0
"Once selected, these settings apply across PDFMaker, Acrobat, and Acrobat Distiller . However, some settings are limited to specific contexts or file types. For example, PDFMaker options can vary among the different types of Microsoft Office applications.","[100, 0, 200, 20]",12,37,0,0.1095,0.1388888888888889,0.2777777777777778,2.17,0,1,0.3333,0,1,0,0,0,1,1,1,0.6667,0.3333,0,0,0,1,0,0,0,1,0
"For convenience, you can select one of the conversion presets available in Acrobat. You can also create, define, save, and reuse custom presets that are uniquely suited to your purposes.","[100, 0, 200, 20]",12,30,0,0.0785,0.23333333333333334,0.1,2.705,0,1,0.5,0,1,0,0,0,1,1,1,0.5,0.5,0,0,0,1,0,0,0,1,0
"For scanned documents, you can choose from Autodetect Color Mode or several scanning presets that are optimized for scanning documents and images in color or black and white. You can modify these presets or use your own custom scanning settings.","[100, 0, 200, 20]",12,40,0,0.103,0.2,0.125,2.1467,0,1,1,0,1,0,0,0,1,1,1,0.6667,0.3333,0,0,0,1,0,0,0,1,0
"There are various ways to create a PDF file using Acrobat. You can generate a PDF quickly using the convert to PDF tool, menu commands, dragging-and-dropping files onto the Acrobat application icon, or converting clipboard data.","[100, 0, 200, 20]",12,36,0,0.0965,0.16666666666666666,0.18421052631578946,2.1367,0,1,1,0,1,0,0,0,1,1,1,0.3333,0.3333,0,0,0,1,0,0,0,1,0
Convert a file to PDF using Acrobat menu commands,"[0, 0, 100, 20]",22.02,9,0,0.0205,0.2222222222222222,0.3333333333333333,1,31.5,0,1,-10.02,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1
1. Do any of the following:,"[100, 0, 200, 20]",12,6,0,0.011,0.16666666666666666,0.16666666666666666,1,31.5,0,1,-10.02,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0
"In Acrobat, select Create from the global toolbar.","[100, 0, 200, 20]",12,8,0,0.0215,0,0.375,0.12,67.5,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
"The Create a PDF tool opens. On the left rail, Single file is selected by default. Choose the Select a file button.","[100, 0, 200, 20]",12,22,0,0.047,0.13636363636363635,0.3181818181818182,1.195,-49.5,0.5,0,0,1,0,0,0,1,1,1,0.5,0.5,0,0,0,1,0,0,0,1,0
"Select the hamburger menu - Create - PDF from File Windows, or File   - Create   - PDF from File macOS.","[0, 0, 200, 20]",12,20,0,0.02,0.0625,0.5625,-0.1,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0
"In the Open dialog box, select the file that you want to convert. You can browse all file types or select a specific type from the Files Of Type drop-down menu.","[100, 0, 200, 20]",12,31,0,0.065,0.16129032258064516,0.1875,0.17,0,0,0,0,1,0,0,0,1,1,1,0.5,0.5,0,0,0,1,0,0,0,1,0
"3. Optionally, select Advanced settings to change the conversion options if you're converting an image file to PDF. The options available vary depending on the file type.","[100, 0, 200, 20]",12,27,0,0.072,0.14285714285714285,0.14285714285714285,9.775,0,0,0.5,0,1,0,0,0,1,1,1,0.5,0.5,0,0,0,1,0,0,0,1,0
