text,bbox,avg_font_size,word_count,is_all_caps,char_density,ratio_of_verbs,ratio_capitalized,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,font_size_diff,same_font,is_bold_A,is_italic_A,is_monospace_A,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,is_linea_hashed,is_lineb_hashed,both_hashed,neither_hashed,title_label
1. Make the desired changes in the app. Bear in mind the following:,"[0, 0, 100, 20]",12,13,0,0.0275,0.07692307692307693,0.15384615384615385,1.67,54,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
"If you change the dimensions of the image, the image may not align correctly in the PDF.","[100, 0, 200, 20]",12,17,0,0.036,0.11764705882352941,0.11764705882352941,0.835,27,0.5,0.5,0,1,0,0,0,1,1,1,0.5,0.5,0,0,0,1,0,0,0,1,0
Transparency information is preserved only for masks that are specified as index values in an indexed color space.,"[100, 0, 200, 20]",12,18,0,0.0485,0.2222222222222222,0.05555555555555555,0.5,0,1,0.5,0,1,0,0,0,1,1,1,0.5,0.5,0,0,0,1,0,0,0,1,0
"If you're working in Photoshop, flatten the image.","[100, 0, 200, 20]",12,8,0,0.0215,0.3333333333333333,0.2222222222222222,1,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
Image masks aren't supported.,"[100, 0, 200, 20]",12,4,0,0.013,0.4,0.2,1,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
"If you change image modes while editing the image, you may lose valuable information that can be applied only in the original mode.","[100, 0, 200, 20]",12,23,0,0.0545,0.21739130434782608,0.043478260869565216,0.5,0,1,0.5,0,1,0,0,0,1,1,1,0.5,0.5,0,0,0,1,0,0,0,1,0
"2. In the editing app, choose File   - Save . The object is automatically updated and displayed in the PDF when you bring Acrobat to the foreground.","[100, 0, 200, 20]",12,27,0,0.06,0.16,0.24,2.655,-18,0,0.5,0,1,0,0,0,1,1,1,0.5,0.5,0,0,0,1,0,0,0,1,0
"Note: For Photoshop, if the image is in a format supported by Photoshop 6.0 or later, your edited image is saved back into the PDF. However, if the image is in an unsupported format, Photoshop handles the image as a generic PDF image. The edited image is saved to disk instead of the PDF.","[100, 0, 200, 20]",12,54,0,0.1175,0.16666666666666666,0.18181818181818182,0.4225,-9,0.75,0.75,0,0.5,0.25,0,0,0.5,1,1,0.25,0.5,0,0,0,1,0,0,0,1,0
Export PDF images to another format,"[100, 0, 200, 20]",16.02,6,0,0.015,0.16666666666666666,0.3333333333333333,4.37,0,1,0,4.02,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1
"You can save every page all text, images, and vector objects on a page to an image format. Choose Convert - Export PDF To - Image format - Image Type. You can also export each image in a PDF to a separate image file.","[100, 0, 200, 20]",12,44,0,0.0865,0.04878048780487805,0.2682926829268293,0.5667,0,1,0.3333,-1.34,0.6667,0.3333,0,0,0.6667,1,1,0.3333,0.3333,0,0,0,1,0.3333,0,0,0.6667,0
