text,bbox,avg_font_size,word_count,is_all_caps,char_density,ratio_of_verbs,ratio_capitalized,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,font_size_diff,same_font,is_bold_A,is_italic_A,is_monospace_A,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,is_linea_hashed,is_lineb_hashed,both_hashed,neither_hashed,title_label
Export,"[0, 0, 100, 20]",25.98,1,0,0.003,0,1,2.49,0,1,0,-13.98,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1
"You can save your changes to an Adobe PDF or PDF Portfolio in the original PDF or in a copy of the PDF. You can also save individual PDFs to other file formats, including text, XML, HTML, and Microsoft Word .","[100, 0, 200, 20]",12,41,0,0.084,0.075,0.325,0.8367,0,1,0.3333,-4.66,0.6667,0.3333,0,0,0.6667,1,1,0,0.3333,0,0,0,1,0.3333,0,0,0.6667,0
"Saving a PDF in text format allows you to use the content with a screen reader, screen magnifier, or other assistive technology.","[100, 0, 200, 20]",12,22,0,0.0535,0.13636363636363635,0.09090909090909091,0.98,0,1,0.5,0,1,0,0,0,1,1,1,0.5,0.5,0,0,0,1,0,0,0,1,0
"If you don’t have access to the source files that created an Adobe PDF, you can still copy images and text from the PDF to use elsewhere. You can also export the PDF to a reusable format, or export images in a PDF to another format.","[100, 0, 200, 20]",12,46,0,0.0935,0.14583333333333334,0.14893617021276595,0.95,0,1,0.3333,0,1,0,0,0,1,1,1,0.3333,0.6667,0,0,0,1,0,0,0,1,0
"Adobe Acrobat Reader users can save a copy of a PDF or PDF Portfolio if the creator of the document has enabled usage rights. If a document has additional or restricted usage rights, the document message bar under the toolbar area describes the assigned restrictions or privileges.","[100, 0, 200, 20]",12,47,0,0.1175,0.1276595744680851,0.14893617021276595,0.8225,0,1,0.5,0,0.5,0.25,0,0,0.5,1,1,0.25,0.75,0,0,0,1,0,0,0,1,0
Save a PDF,"[100, 0, 200, 20]",16.02,3,0,0.004,0.3333333333333333,0.6666666666666666,7.77,0,1,0,4.02,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1
"Use this method to save PDFs, including PDF Portfolios, and PDFs in which you have added comments, form field entries, and digital signatures.","[100, 0, 200, 20]",12,23,0,0.06,0.21739130434782608,0.21739130434782608,1.28,0,1,0,-2.01,0.5,0.5,0,0,0.5,1,1,0,0.5,0,0,0,1,0.5,0,0,0.5,0
Note:,"[100, 0, 200, 20]",12,1,0,0.0025,0,1,1.95,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0
Saving a digitally signed PDF invalidates the signature.,"[100, 0, 200, 20]",12,8,0,0.0245,0.375,0.25,1.98,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0
1. Do one of the following:,"[100, 0, 200, 20]",12,6,0,0.011,0.16666666666666666,0.16666666666666666,1.95,18,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
"To save changes, select Save to computer from the upper right. Alternatively you can also select the hamburger menu and select Save . For macOS, select File         - Save .","[100, 0, 200, 20]",12,30,0,0.068,0.1111111111111111,0.25925925925925924,0.9633,18,0.6667,0.3333,0,1,0,0,0,1,1,1,0.3333,0.6667,0,0,0,1,0,0,0,1,0
"To save a copy of a PDF in Windows, select the hamburger menu  and then select Save As . For macOS, select File         - Save As .","[100, 0, 200, 20]",12,27,0,0.048,0.16666666666666666,0.375,1.21,0,1,0.5,0,1,0,0,0,1,1,1,0.5,0.5,0,0,0,1,0,0,0,1,0
"In Acrobat Reader, for Windows, select the hamburger menu  and then select> Save As . For macOS, select File        - Save as Text .","[100, 0, 200, 20]",12,24,0,0.0505,0.14285714285714285,0.47619047619047616,1.215,0,1,0,0,0,0.5,0,0,0,1,1,0.5,0.5,0,0,0,1,0,0,0,1,0
"To save a copy of a PDF Portfolio, select File       - Save .","[100, 0, 200, 20]",12,13,0,0.0215,0.09090909090909091,0.45454545454545453,1.97,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
"If you are viewing a PDF in a web browser, the Acrobat File menu is not available. Use the Save A Copy button in the Acrobat toolbar to save the PDF.","[100, 0, 200, 20]",12,31,0,0.0595,0.16129032258064516,0.3225806451612903,1,0,1,0.5,0,0.5,0.5,0,0,0.5,1,1,0.5,0,0,0,0,1,0,0,0,1,0
Recover the last saved version,"[0, 0, 100, 20]",24,5,0,0.013,0.2,0.2,2.32,31.5,0,0,-12,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1
"1. On Windows, choose the hamburger Menu    - Undo, Redo & more    - Revert . On macOS, select the File menu > Revert .","[100, 0, 200, 20]",12,24,0,0.045,0.1111111111111111,0.5,1.66,24.75,0,0,-6,0.5,0.5,0,0,0.5,1,1,0.5,0,0,0,0,1,0.5,0,0,0.5,0
About the Autosave feature,"[100, 0, 200, 20]",16.02,4,0,0.0115,0,0.5,6.23,-49.5,0,0,4.02,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1
"The Autosave feature guards against losing your work in case of a power failure by incrementally, and at regular intervals, saving file changes to a specified location. The original file is not modified. Instead, Acrobat creates an autosave file of changes, which includes all the changes you made to the open file since the last automatic save. The amount of new information that the autosave file contains depends on how frequently Acrobat saves the autosave file. If you set the autosave interval to 15 minutes, you could lose the last 14 minutes of your work if a problem occurs. Frequent automatic saving prevents loss of data, and is especially useful if you make extensive changes to a document, such as by adding comments.","[100, 0, 200, 20]",12,123,0,0.304,0.13821138211382114,0.07317073170731707,0.2812,0,1,0.875,-0.5025,0.875,0.125,0,0,0.875,1,1,0,0.875,0,0,0,1,0.125,0,0,0.875,0
"You can apply autosave changes to the original files when you restart Acrobat. When you close, save manually, or revert to the last-saved version of a file, the autosave file is deleted.","[100, 0, 200, 20]",12,32,0,0.0775,0.1875,0.09090909090909091,0.615,0,1,1,0,1,0,0,0,1,1,1,0.5,0.5,0,0,0,1,0,0,0,1,0
"If you use assistive technology, such as a screen reader, you may want to disable the Autosave feature so that you don’t lose your place when the file is reloaded.","[100, 0, 200, 20]",12,30,0,0.067,0.21875,0.06451612903225806,0.625,0,1,0.5,0,0.5,0.5,0,0,0.5,1,1,0.5,0.5,0,0,0,1,0,0,0,1,0
The Autosave feature won’t work in the following cases:,"[100, 0, 200, 20]",12,9,0,0.0235,0.09090909090909091,0.2,1.31,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
A document that has its security changed. You must save the document to re-enable automatic saving of document changes.,"[100, 0, 200, 20]",12,19,0,0.0505,0.15789473684210525,0.1,1.04,18,0.5,0.5,0,1,0,0,0,1,1,1,0.5,0.5,0,0,0,1,0,0,0,1,0
A document created using the Web Capture feature or extracted from a larger PDF All tools     - Organize Pages     - Extract . You must save the document to enable automatic saving of changes.,"[100, 0, 200, 20]",12,33,0,0.076,0.2,0.3,0.8333,0,1,0,0,1,0,0,0,1,1,1,0.3333,0.3333,0,0,0,1,0,0,0,1,0
A document displayed in a web browser or incorporated into a container document that supports Object Linking and Embedding OLE. This document appears outside the default file system and cannot support automatic saving.,"[100, 0, 200, 20]",12,33,0,0.093,0.14705882352941177,0.18181818181818182,0.83,0,1,0.3333,0,1,0,0,0,1,1,1,0.3333,0.6667,0,0,0,1,0,0,0,1,0
Recover lost changes,"[100, 0, 200, 20]",12,3,0,0.009,0.3333333333333333,0.3333333333333333,1.7,-36,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
"To prevent lost changes after an unexpected interruption, enable the Autosave feature, which is the default setting.","[100, 0, 200, 20]",12,17,0,0.05,0.23529411764705882,0.11764705882352941,1.04,0,1,0.5,0,1,0,0,0,1,1,1,0,0.5,0,0,0,1,0,0,0,1,0
Set up automatic saving,"[0, 0, 100, 20]",16.02,4,0,0.01,0,0.25,1.06,18,0,0,-4.02,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1
"1. In the Preferences dialog box under Categories, select Documents.","[100, 0, 200, 20]",12,10,0,0.0295,0.1,0.4,1.06,18,0,0,-4.02,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0
"2. Select Automatically Save Document Changes To Temporary File Every xx Minutes 199, and specify the number of minutes.","[100, 0, 200, 20]",12,19,0,0.051,0.10526315789473684,0.5263157894736842,1,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
Recover lost changes after an unexpected shutdown,"[100, 0, 200, 20]",16.02,7,0,0.0215,0.14285714285714285,0.14285714285714285,5.58,-18,0,0,4.02,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1
1. Start Acrobat or open the file you were working on last.,"[100, 0, 200, 20]",12,12,0,0.024,0.25,0.16666666666666666,1.06,18,0,1,-4.02,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0
"2. When prompted, click Yes to open the autosave file or files. If multiple files were open, Acrobat opens all of the files for you.","[100, 0, 200, 20]",12,25,0,0.054,0.2,0.16,0.605,9,0.5,0,0,1,0,0,0,1,1,1,0.5,0,0,0,0,1,0,0,0,1,0
3. Save the file or files with the same names as the files you were originally working on.,"[100, 0, 200, 20]",12,18,0,0.0365,0.16666666666666666,0.05555555555555555,0.99,-18,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
"To control changes and quality trade-offs, use PDF Optimizer in Acrobat Pro, which makes more options available. You can also easily convert from other file formats to PDF using our online tools such as Word to PDF and Convert PDF.","[100, 0, 200, 20]",12,40,0,0.096,0.125,0.2682926829268293,0.48,-6,0.6667,0.3333,0,1,0,0,0,1,1,1,0.3333,0.6667,0,0,0,1,0,0,0,1,0
You can easily convert your PDF files into Microsoft Word DOC or DOCX using Adobe Acrobat.,"[100, 0, 200, 20]",12,16,0,0.0375,0.1875,0.5,0.605,0,1,0.5,0,1,0,0,0,1,1,1,0.5,0,0,0,0,1,0,0,0,1,0
Convert PDF to DOCX,"[100, 0, 200, 20]",16.02,4,0,0.008,0.25,0.75,3.94,0,1,0,4.02,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1
