text,bbox,page_number,avg_font_size,word_count,is_all_caps,char_density,ratio_of_verbs,ratio_capitalized,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,font_size_diff,same_font,is_bold_A,is_italic_A,is_monospace_A,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,is_linea_hashed,is_lineb_hashed,both_hashed,neither_hashed,title_label
Comprehensive Guide to Major Cities in the South of France,"[0, 0, 100, 20]",1,12,10,0,0.0245,0,0.6,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
Introduction,"[0, 0, 100, 20]",1,12,1,0,0.006,0,1,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
"The South of France, known for its stunning landscapes, Mediterranean coastline, and rich cultural heritage, is home to some of the most beautiful and historically significant cities in the country. This guide provides an in-depth look at the major cities in the South of France, detailing their history, key attractions, cultural highlights, and unique characteristics. Whether you're planning a visit or simply want to learn more about this enchanting region, this guide will offer valuable insights into each city's charm and allure.","[0, 0, 100, 20]",1,12,82,0,0.2275,0,0.094117647,-20,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0
Overview of the Region,"[0, 0, 100, 20]",2,12,4,0,0.0095,0,0.5,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
"The South of France, or ""Le Midi,"" encompasses the regions of Provence-Alpes-Côte d'Azur, Occitanie, and parts of Nouvelle-Aquitaine. This area is renowned for its diverse landscapes, from the sun-drenched beaches of the French Riviera to the rolling vineyards of Provence and the rugged Pyrenees mountains. The Mediterranean climate ensures warm summers and mild winters, making it a year-round destination. The South of France is also famous for its cuisine, wines, and vibrant cultural scene.","[0, 0, 100, 20]",2,12,74,0,0.211,0,0.275,-20,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
Travel Tips,"[0, 0, 100, 20]",2,12,2,0,0.005,0,1,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
"Best Time to Visit : The best time to visit the South of France is during the spring April to June and fall September to October when the weather is pleasant, and the tourist crowds are smaller.","[0, 0, 100, 20]",2,12,37,0,0.079,0,0.277777778,-20,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0
"Transportation : The region is well-connected by an extensive network of trains, buses, and flights. Renting a car is also a great option for exploring the countryside and smaller towns.","[0, 0, 100, 20]",2,12,30,0,0.0785,0,0.1,-20,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0
"Language : While French is the official language, English is widely spoken in tourist areas. Learning a few basic French phrases can enhance your travel experience.","[0, 0, 100, 20]",2,12,26,0,0.0695,0,0.24,-20,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0
Marseille: The Oldest City in France,"[0, 0, 100, 20]",3,12,6,0,0.0155,0,0.833333333,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
History,"[0, 0, 100, 20]",3,12,1,0,0.0035,0,1,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
