text,bbox,page_number,avg_font_size,word_count,is_all_caps,char_density,ratio_of_verbs,ratio_capitalized,ends_with_colon,is_bold,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,font_size_diff,same_font,is_bold_A,is_italic_A,is_monospace_A,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,is_linea_hashed,is_lineb_hashed,both_hashed,neither_hashed,title_label
A Culinary Journey Through the South of France,"[0, 0, 100, 20]",1,12.0,8,0,0.0195,0.0,0.75,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1.0
Introduction,"[0, 0, 100, 20]",1,12.0,1,0,0.006,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1.0
"The South of France, known for its stunning landscapes and charming villages, is also a paradise for food lovers. The region's cuisine is a delightful blend of Mediterranean flavors, fresh ingredients, and traditional recipes passed down through generations. This guide will take you through the different types of food, famous dishes, must-visit restaurants, renowned wine regions, and the types of wines they produce to help you plan an unforgettable culinary adventure.","[0, 0, 100, 20]",1,12.0,71,0,0.201,0.1388888888888889,0.0821917808219178,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0.0
Types of Food,"[0, 0, 100, 20]",2,12.0,3,0,0.0055,0.0,0.6666666666666666,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1.0
"The cuisine in the South of France is diverse, reflecting the region's rich history and cultural influences. Here are some key types of food you can expect to find:","[0, 0, 100, 20]",2,12.0,29,0,0.068,0.1666666666666666,0.1333333333333333,1,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0.0
"Seafood: With its extensive coastline, the South of France offers an abundance of fresh seafood. Look for dishes featuring fish, shellfish, and crustaceans, often prepared with Mediterranean herbs and olive oil. Popular seafood dishes include grilled sardines, sea bass, and mussels marinière. The region's proximity to the Mediterranean Sea ensures that the seafood is always fresh and flavorful.","[0, 0, 100, 20]",2,12.0,58,0,0.17,0.0847457627118644,0.1694915254237288,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0.0
"Provençal Cuisine: This style of cooking emphasizes fresh vegetables, herbs, and olive oil. Ratatouille, a vegetable stew, and bouillabaisse, a fish soup, are quintessential Provençal dishes. Provençal cuisine also includes dishes like tapenade, a spread made from olives, capers, and anchovies, and pissaladière, a savory tart topped with caramelized onions, olives, and anchovies.","[0, 0, 100, 20]",2,12.0,53,0,0.165,0.0943396226415094,0.1132075471698113,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0.0
"Niçoise Cuisine: Originating from Nice, this cuisine includes dishes like Salade Niçoise, a salad with tuna, olives, and anchovies, and Socca, a chickpea flour pancake. Other Niçoise specialties include pan bagnat, a sandwich made with tuna, vegetables, and olive oil, and daube, a slow-cooked beef stew with red wine and vegetables.","[0, 0, 100, 20]",2,12.0,51,0,0.1415,0.0588235294117647,0.173076923076923,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0.0
"Occitan Cuisine: This cuisine features hearty dishes like cassoulet, a slow-cooked casserole with beans, sausage, and duck, and aligot, a cheesy mashed potato dish. Occitan cuisine also includes dishes like garbure, a thick soup made with cabbage, beans, and confit de canard duck confit, and brandade de morue, a creamy salt cod spread.","[0, 0, 100, 20]",2,12.0,53,0,0.1425,0.0943396226415094,0.074074074074074,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0.0
"Basque Cuisine: Influenced by neighboring Spain, Basque cuisine includes dishes like piperade, a pepper and tomato stew, and axoa, a veal stew with peppers. Basque cuisine is also known for its pintxos, small snacks typically served in bars, and gâteau Basque, a traditional Basque cake filled with pastry cream or cherry jam.","[0, 0, 100, 20]",2,12.0,52,0,0.1375,0.1346153846153846,0.1538461538461538,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0.0
