text,bbox,page_number,avg_font_size,word_count,is_all_caps,char_density,ratio_of_verbs,ratio_capitalized,ends_with_colon,is_bold,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,font_size_diff,same_font,is_bold_A,is_italic_A,is_monospace_A,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,is_linea_hashed,is_lineb_hashed,both_hashed,neither_hashed,title_label
The Ultimate PDF Sharing Checklist,"[0, 0, 100, 20]",1,13.5,5,0,0.015,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
"Sharing PDFs can be a breeze with Adobe Acrobat. Whether you're collaborating on a project, seeking feedback, or simply distributing information, this checklist will ensure you cover all the bases. Let's dive into the essentials of sharing PDFs effectively.","[0, 0, 100, 20]",1,13.5,39,0,0.1095,0.2439024390243902,0.1707317073170731,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0
General Sharing Checklist,"[0, 0, 100, 20]",1,13.5,3,0,0.0115,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
Open Your PDF,"[0, 0, 100, 20]",1,10.02,3,0,0.0055,0.3333333333333333,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
Have you launched Acrobat or Acrobat Reader and opened the PDF you want to share?,"[0, 0, 100, 20]",1,11.76,15,0,0.0335,0.2666666666666666,0.3333333333333333,0,0,-20.0,0.0,1,0,3.4800000000000004,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0
Choose Your Sharing Method,"[0, 0, 100, 20]",1,10.02,4,0,0.0115,0.5,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
"Are you sharing via email, link, or a third-party app like Microsoft Teams or WhatsApp?","[0, 0, 100, 20]",1,11.76,15,0,0.0365,0.0666666666666666,0.25,0,0,-20.0,0.0,1,0,3.4800000000000004,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
Set Permissions,"[0, 0, 100, 20]",1,10.02,2,0,0.007,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
Have you decided if recipients can comment or just view the document?,"[0, 0, 100, 20]",1,11.76,12,0,0.029,0.3333333333333333,0.0833333333333333,0,0,-20.0,0.0,1,0,3.4800000000000004,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0
Add Recipients,"[0, 0, 100, 20]",1,10.02,2,0,0.0065,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
Did you enter the email addresses of everyone who needs access?,"[0, 0, 100, 20]",1,11.76,11,0,0.0265,0.1818181818181818,0.0909090909090909,0,0,-20.0,0.0,1,0,3.4800000000000004,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0
Customize Your Message,"[0, 0, 100, 20]",1,10.02,3,0,0.01,0.3333333333333333,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
Have you added a personal touch to the subject and message fields?,"[0, 0, 100, 20]",1,11.76,12,0,0.0275,0.1666666666666666,0.0833333333333333,0,0,-20.0,0.0,1,0,3.4800000000000004,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0
Create and Share the Link,"[0, 0, 100, 20]",1,10.02,5,0,0.0105,0.0,0.6,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
Did you generate a shareable link and copy it for distribution?,"[0, 0, 100, 20]",1,10.02,11,0,0.0265,0.0909090909090909,0.0909090909090909,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
Send the Invitation,"[0, 0, 100, 20]",1,10.02,3,0,0.0085,0.3333333333333333,0.6666666666666666,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
Have you sent the email or shared the link through your chosen platform?,"[0, 0, 100, 20]",2,11.76,13,0,0.03,0.2307692307692307,0.0769230769230769,0,0,-20.0,0.0,1,0,3.4800000000000004,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0
Follow Up,"[0, 0, 100, 20]",2,10.02,2,0,0.004,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
