text,bbox,avg_font_size,word_count,is_all_caps,char_density,ratio_of_verbs,ratio_capitalized,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,font_size_diff,same_font,is_bold_A,is_italic_A,is_monospace_A,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,title_label
A CareerZone Occupational Brief for:,"[0, 0, 100, 20]",12,5,0,0.016,0,0.8,-8.43,313,0,1,-3,1,0,0,0,1,1,1,1,0,0,0,0,1,1
Broadcast Technicians An occupation in Engineering and Technologies,"[100, 0, 200, 20]",9,8,0,0.03,0,0.625,-8.43,313,0,1,-3,1,0,0,0,1,1,1,1,0,0,0,0,1,1
"New York State Department of Labor David A. Paterson, Governor","[100, 0, 200, 20]",9,10,0,0.0265,0,0.9,-5.5,0,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0
Job Description,"[100, 0, 200, 20]",12,2,0,0.007,0,1,0.5,186,0,1,3,0,1,0,0,0,1,1,0,0,0,0,0,1,1
"Set up, operate, and maintain the electronic equipment used to transmit radio and television programs. Control audio equipment to regulate volume level and quality of sound during radio and television broadcasts. Operate radio transmitter to broadcast radio and television programs.","[100, 0, 200, 20]",9,40,0,0.1215,0.125,0.075,1,-186,0,1,-3,1,0,0,0,1,1,1,0,0,0,0,0,1,0
Interests,"[100, 0, 200, 20]",12,1,0,0.0045,0,1,0.86,204,0,1,3,1,0,0,0,1,1,1,1,0,0,0,0,1,1
"Realistic - Realistic occupations frequently involve work activities that include practical, hands-on problems and solutions. They often deal with plants, animals, and real-world materials like wood, tools, and machinery. Many of the occupations require working outside, and do not involve a lot of paperwork or working closely with others.","[100, 0, 200, 20]",9,49,0,0.146,0.166666667,0.08,1.07,-204,0,1,-3,0,0,0,0,0,1,1,0,0,0,0,0,1,0
Tasks,"[100, 0, 200, 20]",12,1,0,0.0025,0,1,0.86,211,0,1,3,1,0,0,0,1,1,1,1,0,0,0,0,1,1
"1 . Maintain programming logs, as required by station management and the Federal Communications Commission.","[100, 0, 200, 20]",9,15,0,0.0465,0.142857143,0.285714286,1.07,-211,0,1,-3,0,0,0,0,0,1,1,0,0,0,0,0,1,0
2 . Control audio equipment to regulate the volume and sound quality during radio and television broadcasts.,"[100, 0, 200, 20]",9,17,0,0.046,0.0625,0.0625,-23.5,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0
"3 . Monitor strength, clarity, and reliability of incoming and outgoing signals, and adjust equipment as necessary to maintain quality broadcasts.","[100, 0, 200, 20]",9,21,0,0.063,0.05,0.05,-23.5,0,1,1,0,1,1,0,0,1,1,1,1,0,0,0,0,1,0
"4 . Regulate the fidelity, brightness, and contrast of video transmissions, using video console control panels.","[100, 0, 200, 20]",9,16,0,0.048,0.133333333,0.066666667,-23.5,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0
5 . Observe monitors and converse with station personnel to determine audio and video levels and to ascertain that programs are airing.,"[100, 0, 200, 20]",9,22,0,0.057,0.19047619,0.047619048,-23.5,0,1,1,0,1,1,0,0,1,1,1,1,0,0,0,0,1,0
6 . Preview scheduled programs to ensure that signals are functioning and programs are ready for transmission.,"[100, 0, 200, 20]",9,17,0,0.047,0.3125,0.0625,-23.5,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0
"7 . Select sources from which programming will be received, or through which programming will be transmitted.","[100, 0, 200, 20]",9,17,0,0.0465,0.3125,0.0625,-23.5,0,1,1,0,1,1,0,0,1,1,1,1,0,0,0,0,1,0
"8 . Report equipment problems, ensure that repairs are made, and make emergency repairs to equipment when necessary and possible.","[100, 0, 200, 20]",9,20,0,0.055,0.210526316,0.052631579,-23.5,0,1,1,0,1,1,0,0,1,1,1,1,0,0,0,0,1,0
"9 . Record sound onto tape or film for radio or television, checking its quality and making adjustments where necessary.","[100, 0, 200, 20]",9,20,0,0.0505,0.105263158,0.052631579,-23.5,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0
10 . Align antennae with receiving dishes to obtain the clearest signal for transmission of broadcasts from field locations.,"[100, 0, 200, 20]",9,19,0,0.053,0.111111111,0.055555556,-23.5,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0
11 . Substitute programs in cases where signals fail.,"[100, 0, 200, 20]",9,9,0,0.0225,0.125,0.125,-23.5,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0
Skills,"[100, 0, 200, 20]",12,1,0,0.003,0,1,0.93,213,0,1,3,0,1,0,0,0,1,1,1,0,0,0,0,1,1
"Operation Monitoring - Watching gauges, dials, or other indicators to make sure a machine is working properly.","[100, 0, 200, 20]",9,17,0,0.047,0.1875,0.1875,1.07,-213,0,1,-3,0,0,0,0,0,1,1,0,0,0,0,0,1,0
Reading Comprehension - Understanding written sentences and paragraphs in work related documents.,"[100, 0, 200, 20]",9,12,0,0.043,0.272727273,0.272727273,-4.43,0,1,1,0,1,1,0,0,1,1,1,1,0,0,0,0,1,0
Operation and Control - Controlling operations of equipment or systems.,"[100, 0, 200, 20]",9,10,0,0.031,0.111111111,0.333333333,-4.43,0,1,1,0,1,1,0,0,1,1,1,1,0,0,0,0,1,0
