text,bbox,page_number,avg_font_size,word_count,is_all_caps,char_density,ratio_of_verbs,ratio_capitalized,ends_with_colon,is_bold,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,font_size_diff,same_font,is_bold_A,is_italic_A,is_monospace_A,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,is_linea_hashed,is_lineb_hashed,both_hashed,neither_hashed,title_label
Rep. Ken Calvert introduced a bill Thursday to allow drilling off the coast of California. Rep. Dana Rohrabacher this week put in a measure to exempt solar projects from environmental rules. Both Orange County lawmakers aren't expected to be able to get these bills through this year because o...,"[0, 0, 100, 20]",1,12,49,0,0.124,0.18,0.22,0,0,-20,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
Rep. Ken Calvert introduced a bill Thursday to allow drilling off the coast of California. Rep. Dana Rohrabacher this week put in a measure to exempt solar projects from environmental rules.,"[0, 0, 100, 20]",1,12,31,0,0.08,0.16129032258064516,0.25806451612903225,0,0,-20,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
Both Orange County lawmakers aren't expected to be able to get these bills through this year because of Democratic opposition. But both said such measures are needed to begin addressing the current pain at the pump.,"[0, 0, 100, 20]",1,12,36,0,0.09,0.24324324324324326,0.13513513513513514,0,0,-20,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0
"House Speaker Nancy Pelosi said that offshore drilling is ""off the table.'' And Democrats have been consistently unwilling to bend the kind of environmental rules Rohrabacher, R-Huntington Beach, wants to circumvent.","[0, 0, 100, 20]",1,12,31,0,0.093,0.22580645161290322,0.3125,0,0,-20,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0
Pelosi made those comments as Republicans blocked a move by the Democrats to pass a bill that would have pushed drilling on federal lands already leased by oil companies.,"[0, 0, 100, 20]",1,12,29,0,0.071,0.2413793103448276,0.10344827586206896,0,0,-20,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0
"Rohrabacher, Calvert and Reps. Ed Royce, R-Fullerton and John Campbell, Irvine, voted against the Democratic bill – called the Drill Act. Reps. Gary Miller, R-Diamond Bar and Loretta Sanchez, D-Garden Grove, had family emergencies and were not on Capitol Hill for the vote.","[0, 0, 100, 20]",1,12,43,0,0.1155,0.09302325581395349,0.5777777777777777,0,0,-20,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0
"Although the Democrats' bill received a majority of votes, it didn't meet the two-thirds majority it needed because the bill was brought up outside of the regular procedures.","[0, 0, 100, 20]",1,12,28,0,0.0735,0.20689655172413793,0.06666666666666667,0,0,-20,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0
"""All of us are frustrated,'' said Calvert. ""I go home and people are absolutely beside themselves","[0, 0, 100, 20]",1,12,16,0,0.041,0.3125,0.1875,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
01-Mar,"[0, 0, 100, 20]",1,8,3,0,0.0015,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
"about what they're having to pay. They're looking for us to do something, not this charade that the democratic majority put on today.''","[0, 0, 100, 20]",2,12,23,0,0.0565,0.28,0.04,0,0,-20,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0
Calvert said it's clear that there is oil to be had offshore and said "we can drill off the coast of California beyond the sight line" and provide enough revenues to the state to deal with its deficit.,"[0, 0, 100, 20]",2,12,38,0,0.082,0.23076923076923078,0.05128205128205128,0,0,-20,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
"Under Calvert's measure – called the MORE Act, Maximize Offshore Resource Exploration – would revoke the congressional moratorium on offshore drilling, the only thing standing in way of such efforts now that President Bush this week reversed an executive order banning such drilling. Rohrabacher is one of 13 original co-sponsors of Calvert's bill. No Democrats have signed on to it.","[0, 0, 100, 20]",2,12,60,0,0.162,0.12903225806451613,0.22950819672131148,0,0,-20,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0
The bill also says that states would get 75 percent of the royalties the offshore drilling leases would provide. Drilling would only be allowed starting 25 miles from the shoreline. The first 25 miles belongs to the states.,"[0, 0, 100, 20]",2,12,38,0,0.093,0.18421052631578946,0.07894736842105263,0,0,-20,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0
"If, the bill also says, states agree to drilling within 25 miles of their coastline, they share of the royalties would increase to 90 percent.","[0, 0, 100, 20]",2,12,25,0,0.059,0.16,0.04,0,0,-20,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0
Calvert dismissed the Democrat's argument that there is already 68 million acres of federal lands leased to the oil companies that are not being used.,"[0, 0, 100, 20]",2,12,25,0,0.063,0.23076923076923078,0.07692307692307693,0,0,-20,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0
"""The Democrats want to drill where there's no oil,'' Calvert said. But Pelosi said at a news conference Thursday that oil companies have told her they're not using those lands because either ""it takes as long time"" or ""they don't have the equipment.''","[0, 0, 100, 20]",2,12,43,0,0.1045,0.2608695652173913,0.13043478260869565,0,0,-20,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0
02-Mar,"[0, 0, 100, 20]",2,8,3,0,0.0015,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
Rohrabacher said he is introducing a bill to waive environment impact statement requirements for solar projects in an effort to jump-start that technology.,"[0, 0, 100, 20]",3,12,23,0,0.0665,0.17391304347826086,0.041666666666666664,0,0,-20,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0
"""My bill simply says that in this time of crisis we should exempt solar energy projects from the need for the very complicated and drawn out EIR reports,'' Rohrabacher said.","[0, 0, 100, 20]",3,12,30,0,0.072,0.16666666666666666,0.1,0,0,-20,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0
