text,bbox,page_number,avg_font_size,word_count,is_all_caps,char_density,ratio_of_verbs,ratio_capitalized,ends_with_colon,is_bold,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,font_size_diff,same_font,is_bold_A,is_italic_A,is_monospace_A,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,is_linea_hashed,is_lineb_hashed,both_hashed,neither_hashed,title_label
"unlike GraphDRP and XGDP, tCNN used 1D convolutional layers to encode the SMILES notation of drugs, which renders it infeasible to decode the developed models to investigate structural saliency of drugs upon reaction with cancer cells.","[0, 0, 100, 20]",1,9,36,0,0.1,0.1388888888888889,0.08333333333333333,0,0,-20,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0
Blind prediction of responses of unknown drugs,"[0, 0, 100, 20]",1,10,7,0,0.02,0,0.14285714285714285,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
"In the blind test of response prediction of unknown drugs, we divide the dataset by constraining the existence of drugs exclusively in training, validation, or testing set. Specifically, out of 223 drugs in total, 167 drugs? response data are used for a 3-fold cross-validation, and response data of 56 drugs are preserved for testing. The blind prediction task aims at testing whether the model developed on known drugs has the generalizability to predict responses of unknown drugs.","[0, 0, 100, 20]",1,9,77,0,0.204,0.19480519480519481,0.0379746835443038,0,0,-20,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0
"In the blind test experiment, we compare our method with tCNN, GraphDRP and TGSA. DeepCDR is ignored since the code to flexibly divide the dataset according to drug occurrence is not provided. As shown in Table 2, GAT- and GATE-based XGDP remarkably outperform other models. All baseline methods fail to perform well on blind test, especially in terms of R 2, which is in accordance with their original research 11,25,27 . tCNN and TGSA achieves a very small R 2 value ~0.02 and GraphDRP even results in negative R 2 values, which indicates these models are not making a sensible prediction when a brand new drug is given. Nevertheless, GAT-based XGDP models with and without edge features are able to achieve a significant improvement compared with the baselines.","[0, 0, 100, 20]",1,9,128,0,0.3185,0.16535433070866143,0.13636363636363635,0,0,-20,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0
"XGDP achieves state-of-the-art performance in both rediscovery and blind test. However, scrutinizing the results of XGDP with various GNN types, it is observed that incorporating chemical bond type as edge features or relation types in relational GNNs does not always give rise to a better performance. Despite that RGCN outperforms GCN in both tasks, GAT-based XGDP suppresses all other edge-enhanced GAT models in Table 1, and in Table 2, only GATE performs better than plain GAT convolution. Nonetheless, in the next section, we will demonstrate that, to investigate the structural importance of molecules, it is essential to include edge features as well.","[0, 0, 100, 20]",1,9,102,0,0.279,0.12745098039215685,0.14953271028037382,0,0,-20,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0
Prediction without cross-attention layers,"[0, 0, 100, 20]",1,10,4,0,0.019,0,0.2,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
"To investigate the role of the cross-attention layers, we conducted an ablation study to compare XGDP with or without the attention layers. Particularly, we removed the two cross-attention modules following the GNN and CNN, and directly concatenated the features learned by the GNN and CNN modules as the input of the final dense layer. As shown in Table 3, it is evident that the cross-attention layer enhances the performance of drug response prediction and maintains better stability.","[0, 0, 100, 20]",1,9,77,0,0.2055,0.14285714285714285,0.1125,0,0,-20,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0
Discovery of drug mechanisms,"[0, 0, 100, 20]",1,11,4,0,0.0125,0,0.25,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
"We decode our models with GNNExplainer and Integrated Gradients, and present the attribution results of our best performing GATv2 model in this section. GNNExplainer is leveraged to explain the model?s graph convolutional layers, and thus attribute the input molecular graphs. By interpreting a reaction pair of drug and cell line, each node and edge in the molecular graph is assigned with a saliency score. For each drug, we sum and average the saliency scores across all the cell lines for each node and edge, and perform a max-min normalization across the nodes or edges in one molecular graph. The normalized scores range from 0 to 1 and clearly illustrate the importance of a region of substructures to a drug?s biochemical reaction. The normalized score is thereby used for a heatmap visualization, where red in Figs. 2, 3, 4, and 5 represents high saliency and blue represents low saliency.","[0, 0, 100, 20]",1,9,148,0,0.3755,0.14864864864864866,0.0728476821192053,0,0,-20,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0
"To investigate the gene saliency in the pharmacodynamic process, we aggregate the saliency scores across all the cell lines for each drug in the test set, and thereby rank and select the top 50 genes with highest accumulated scores. Attribution of four drugs are illustrated as examples to support this study in the following sections.","[0, 0, 100, 20]",1,9,55,0,0.1405,0.14545454545454545,0.03636363636363636,0,0,-20,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0
Method Conv type RMSE  ?  PCC  ?  R 2  ? GCN 0.063 ± 0.002 0.450 ± 0.026 0.153 ± 0.048 GraphDRP 25 GAT 0.071 ± 0.003 0.351 ± 0.165 -0.041 ± 0.045 GCN 0.056 ± 0.000 0.400 ± 0.016 0.048 ± 0.015 GAT 0.053 ± 0.001 0.448 ± 0.036 0.149 ± 0.052 GATE 0.052 ± 0.003 0.505 ± 0.090 0.164 ± 0.043 XGDP GATv2E 0.055 ± 0.002 0.442 ± 0.041 0.058 ± 0.024 RGCN 0.055 ± 0.001 0.405 ± 0.031 0.063 ± 0.045 RGAT 0.055 ± 0.002 0.257 ± 0.061 0.063 ± 0.060,"[0, 0, 100, 20]",1,7,93,0,0.1675,0.08888888888888889,0.13157894736842105,0,0,-20,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
Table 2 . Performance of proposed and baseline models in task of drug-blind prediction. Best performance marked in bold is achieved by XGDP-GATE.,"[0, 0, 100, 20]",1,9,23,0,0.0615,0.18181818181818182,0.20833333333333334,0,0,-20,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0
Scientific Reports 2025 15:179 https://doi.org/10.1038/s41598-024-83090-3 8,"[0, 0, 100, 20]",1,8,6,0,0.035,0,0.13333333333333333,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
Method Conv type RMSE  ?  PCC  ?  R 2  ? GCN 0.045 ± 0.018 0.457 ± 0.476 0.480 ± 0.416 GAT 0.038 ± 0.000 0.831 ± 0.003 0.679 ± 0.000 XGDP w/o attn GATE 0.037 ± 0.001 0.834 ± 0.010 0.691 ± 0.020 GATv2E 0.035 ± 0.000 0.847 ± 0.001 0.718 ± 0.002 GCN 0.026 ± 0.000 0.918 ± 0.001 0.843 ± 0.002 GAT 0.026 ± 0.000 0.923 ± 0.000 0.851 ± 0.001 XGDP GATE 0.026 ± 0.000 0.922 ± 0.001 0.849 ± 0.001 GATv2E 0.026 ± 0.000 0.921 ± 0.001 0.846 ± 0.001,"[0, 0, 100, 20]",1,7,94,0,0.1685,0.08791208791208792,0.12931034482758622,0,0,-20,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
Table 3 . Performance of proposed and baseline models in task of drug-blind prediction. Best performance marked in bold is achieved by XGDP-GATE.,"[0, 0, 100, 20]",2,9,23,0,0.0615,0.18181818181818182,0.20833333333333334,0,0,-20,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0
Fig. 3 . Comparison of saliency maps generated by XGDP with GAT left column and GATE right column. Afatinib first row and OSI-027 second row are used as examples.,"[0, 0, 100, 20]",2,9,29,0,0.067,0.14285714285714285,0.2413793103448276,0,0,-20,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
"Fig. 4 .  a  Saliency map of Afatinib,  b  binding mode of Afatinib with EGFR.","[0, 0, 100, 20]",2,9,15,0,0.03,0.07142857142857142,0.35714285714285715,0,0,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
Scientific Reports 2025 15:179 https://doi.org/10.1038/s41598-024-83090-3 9,"[0, 0, 100, 20]",2,8,6,0,0.035,0,0.13333333333333333,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
"Fig. 5 .  a  Saliency map of Imatinib,  b  binding mode of Imatinib with DDR1.","[0, 0, 100, 20]",3,9,15,0,0.03,0.07142857142857142,0.35714285714285715,0,0,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
Necessity of including edge features,"[0, 0, 100, 20]",3,10,5,0,0.016,0.2,0.2,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
"In the section of drug response prediction, we demonstrate that GAT-based XGDP obtained the best performance in both rediscovery and blind test. However, we do not observe any benefits of incorporating edge features such as bond types into model development. In this section, we will compare the molecular saliency heatmap obtained by interpreting GAT-XGDP with and without edge features.","[0, 0, 100, 20]",3,9,59,0,0.165,0.13559322033898305,0.11475409836065574,0,0,-20,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0
"Figure 3 presents the saliency maps generated by interpreting XGDP based on GAT and GATE. We observe that when edge features are absent in GAT convolutions, the model is likely to assign inconsistent saliency scores to atoms and bonds that are connected. Specifically, the case of atom with a high positive score and bond with a low negative score attached to the atom happens regularly in GAT-based models. This phenomenon thus hinders the study of substructure importance, since attached atom and bond are assigned with highly contrary saliency scores. However, this problem is overcomed by GATE-based XGDP which incorporates edge features in model training. In the right column of Fig. 3, the significant red and insignificant blue structures are separated clearly instead of mixed with each other. Therefore, we conclude that edge features are essential for the model to correctly identify salient structures in molecules. The model decoding experiments in the following sections will all be conducted on XGDP-GATE model developed in the rediscovery test.","[0, 0, 100, 20]",3,9,165,0,0.4475,0.1696969696969697,0.10714285714285714,0,0,-20,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0
Chemical structure investigation,"[0, 0, 100, 20]",3,10,3,0,0.015,0,0.3333333333333333,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
