text,bbox,page_number,avg_font_size,word_count,is_all_caps,char_density,ratio_of_verbs,ratio_capitalized,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,font_size_diff,same_font,is_bold_A,is_italic_A,is_monospace_A,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,is_linea_hashed,is_lineb_hashed,both_hashed,neither_hashed,title_label
Alternative and Integrative Medicine,"[0, 0, 100, 20]",1,18,4,0,0.0165,0,0.75,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
"El Sayed et al., Altern Integ Med 2013, 2:3","[0, 0, 100, 20]",1,8,9,0,0.0175,0,0.5,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
http://dx.doi.org/10.4172/2327-5162.1000111,"[0, 0, 100, 20]",1,8,1,0,0.0215,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
Review Article Open Access,"[0, 0, 100, 20]",1,9,4,0,0.0115,0,1,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
Methods of Wet Cupping Therapy Al-Hijamah: In Light of Modern Medicine and Prophetic Medicine,"[0, 0, 100, 20]",1,16,14,0,0.04,0,0.8,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
"El Sayed SM 1 *, Mahmoud HS 2 and Nabo MMH 3,4 1 Department of Medical Biochemistry, Sohag Faculty of Medicine, Sohag University, Egypt 2 World Federation of Alternative and Complementary Medicine, Cairo Regional Headquarter, Cairo, Egypt 3 Department of Pediatrics, Sohag Teaching Hospital, Sohag, Egypt 4 Division of Pediatric cardiology, Department of Pediatrics, Maternity and Children Hospital, King Abdullah Medical City, Al-Madinah Al-Munawwarah, Kingdom of Saudi Arabia","[0, 0, 100, 20]",1,5.22,68,0,0.205,0,0.728571429,-20,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
Abstract,"[0, 0, 100, 20]",1,9,1,0,0.004,0,1,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
"Cupping therapy is a simple, effective and economic treatment. Cupping therapy is a formal treatment in Chinese hospitals and in some European countries. Here, we review history of wet cupping therapy and its two distinct methodologies. First method is puncturing and cupping PC method that includes five steps: skin demarcation, sterilization, puncturing, cupping and sterilization. Second method is cupping, puncturing and cupping CPC method that includes six steps: skin demarcation, sterilization, first cupping, puncturing, second cupping and sterilization. CPC method predominates in the Arabic world, while PC method has a worldwide distribution. We report here that our detailed evidence-based analysis of both methods reveals many novel advantages in the CPC method over the PC method. CPC method has a better analgesic effect and benefits more from the viscoelastic nature of the skin. During the first cupping step in the CPC method not present in the PC method, a fluid mixture containing causative pathological substances CPS is collected inside skin uplifting due to the effect of negative pressure of sucking cups. CPS differs from disease to disease according to disease etiology and pathogenesis. That fluid mixture contains collected interstitial fluids with CPS, filtered fluids from blood capillaries with CPS, hemolyzed blood cells hemolysed RBCs, WBCs and platelets. That fluid mixture does not contain intact blood cells as their sizes are much bigger than sizes of pores of skin capillaries and cannot be filtered. The fluid mixture is totally excreted in next steps. We review here that wet cupping therapy is a highly recommended treatment in prophetic medicine, medicine related to Prophet Mohammad peace be upon him who said: “The best among what you use in therapy is Al-hijamah CPC method of wet cupping therapy”.","[0, 0, 100, 20]",1,8,283,0,0.7805,0,0.119298246,-20,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0
"In conclusion, CPC method is better than PC method in clearing blood and interstitial spaces from CPS. Standardization of methodologies of cupping therapy seems essential to gain optimal outcomes.","[0, 0, 100, 20]",1,8,29,0,0.084,0,0.172413793,-20,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
Keywords: Cupping therapy; Prophetic medicine; CPC method; PC method; Boyle’s law; CPS,"[0, 0, 100, 20]",1,10,12,0,0.0375,0,0.538461538,-20,0,1,0,2,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0
"Abbreviations: PC Method: Puncturing and Cupping Method; CPC Method: Cupping, puncturing And Cupping Method; CPS: Causative Pathological Substances; GIT: Gastrointestinal Tract; ITP: Idiopathic Thrombocytopenic Purpura; RBCs: Red Blood Cells; TCM: Traditional Chinese Medicine; WBCs: White Blood Cells","[0, 0, 100, 20]",1,9.4,37,0,0.1325,0,0.945945946,-20,0,1,0,2,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
Introduction,"[0, 0, 100, 20]",1,11,1,0,0.006,0,1,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
