text,bbox,page_number,avg_font_size,word_count,is_all_caps,char_density,ratio_of_verbs,ratio_capitalized,ends_with_colon,is_bold,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,font_size_diff,same_font,is_bold_A,is_italic_A,is_monospace_A,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,is_linea_hashed,is_lineb_hashed,both_hashed,neither_hashed,title_label
SB-41,"[0, 0, 100, 20]",1,11.04,1,1,0.0025,0,0.5,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
APPLICATION FOR ISSUE OF DUPLICATE PASS BOOK,"[0, 0, 100, 20]",1,11.04,7,1,0.019,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
"Sl.No. Description To be filled by depositor 1 Account Number and type of National Small Savings Scheme 2 Account Type Minor/Person of unsound mind, Single/ Joint A/C 3 Name of Post Office in which Account stands. 4 If account stands at BO, Name of BO 5 Name of Account holders 6 Name of Husband/Father/Mother/Guardian 7 Address of account holders at the time of opening of account. 8 Present address of account holders 9 Date of opening of account and office at which it was originally opened if different from col.3 10 Date and particulars of last transaction of account 11 Balance at credit after the last transaction 12 Name of the PO from which the account was last transferred. 13 Date and circumstances of loss of Pass Book and result of efforts made to traced it out. 14 Whether loss was reported to Police and if so with what result. Not mandatory 15 Remarks if any.","[0, 0, 100, 20]",1,11.04,156,0,0.36,0.070512821,0.288343558,0,0,-20,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
i Particulars given above are true to the best of my/our knowledge and duplicate pass book may please be issued.,"[0, 0, 100, 20]",1,11.04,20,0,0.0465,0.3,0.047619048,0,0,-20,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0
ii I/we shall surrender this pass book in case of duplicate issued in lieu of torn and spoilt one.,"[0, 0, 100, 20]",1,11.04,19,0,0.04,0.105263158,0.05,0,0,-20,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0
iii The prescribed fee of Rs. …………….. has been paid through receipt No…………….. dated…………………. Please score out if exemption has been granted.,"[0, 0, 100, 20]",1,11.04,22,0,0.059,0.363636364,0.19047619,0,0,-20,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0
"Note:- 1. Submit the self-attested copies of the KYC Documents. 2. In case of Joint Account, signature/KYC of all Joint account holders required.","[0, 0, 100, 20]",1,11.04,23,0,0.0615,0.086956522,0.36,0,0,-20,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
Signature/Thumb impression of account holders,"[0, 0, 100, 20]",1,11.04,5,0,0.0205,0,0.333333333,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
Particulars as given in the application have been verified with the records.,"[0, 0, 100, 20]",1,11.04,12,0,0.0325,0.333333333,0.083333333,0,0,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
Signature of SPM/PM with designation stamp.,"[0, 0, 100, 20]",1,11.04,6,0,0.019,0,0.428571429,0,0,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
Part-II,"[0, 0, 100, 20]",1,11.04,1,0,0.0035,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
Duplicate pass book may be issued / may not be issued.,"[0, 0, 100, 20]",1,11.04,11,0,0.022,0.4,0.1,0,0,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
Signature of Postmaster with designation stamp,"[0, 0, 100, 20]",1,11.04,6,0,0.0205,0,0.333333333,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
Part-III,"[0, 0, 100, 20]",1,11.04,1,0,0.004,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
Duplicate pass book of Account No. …………………………………. with balance Rs. ………………………received on …………………………….,"[0, 0, 100, 20]",1,11.04,13,0,0.044,0.076923077,0.363636364,0,0,-20,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
Date Stamp of PO Signature/Thumb Impression of account holders,"[0, 0, 100, 20]",1,11.04,9,0,0.027,0,0.6,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
Witness  In case of illiterate depositors,"[0, 0, 100, 20]",1,11.04,6,0,0.0175,0,0.333333333,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
Signature of witness Name and Full Address of witness.,"[0, 0, 100, 20]",1,11.04,9,0,0.023,0,0.444444444,0,0,-20,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
