text,bbox,page_number,avg_font_size,word_count,is_all_caps,char_density,ratio_of_verbs,ratio_capitalized,ends_with_colon,is_bold,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,font_size_diff,same_font,is_bold_A,is_italic_A,is_monospace_A,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,is_linea_hashed,is_lineb_hashed,both_hashed,neither_hashed,title_label
Review,"[0, 0, 100, 20]",1,9.96,1,0,0.003,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
"An Overview of the Nutritional Requirements of Honey Bees  Apis mellifera Linnaeus, 1758","[0, 0, 100, 20]",1,17.93,13,0,0.0375,0,0.615384615,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
"Leticia S. Ansaloni , Janja Kristl, Caio E. C. Domingues and Aleš Gregorc**","[0, 0, 100, 20]",1,9.96,13,0,0.0315,0,0.916666667,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
"Faculty of Agriculture and Life Sciences, University of Maribor, Pivola 10, 2311 Hoˇce, Slovenia; janja.kristl@um.si J.K.; cecdomingues@gmail.com C.E.C.D.; ales.gregorc@um.si A.G. ***** Correspondence: leticia.salvioni1@um.si","[0, 0, 100, 20]",1,7.97,23,0,0.1015,0.038461538,0.473684211,0,0,-20,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0
"Simple Summary: It is well documented in the literature that bees have been facing numerous stressors in recent decades. Although honey bees are well managed worldwide, they have not been unaffected by these challenges. Honey bees are important for pollination in various crops, for the beekeeping sector and for the natural habitats as well. However, to perform this role effectively, they require proper nutrition to support their healthy growth and that of the colony. In the current review, we broadly discuss the basic nutritional needs of honey bees, such as the consumption of proteins, carbohydrates, lipids, amino acids, vitamins, minerals, water, and other essential components. Additionally, we also discuss the use of nutritional supplements aimed at supporting the health and strengthening of the colony, and how, despite these efforts, inadequate nutrition can still be a problem for honey bee colonies.","[0, 0, 100, 20]",1,9.93,140,0,0.389,0.135714286,0.057142857,0,0,-20,0,1,0,0.1,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0
"Academic Editor: Cristina Botías Received: 18 December 2024 Revised: 15 January 2025 Accepted: 15 January 2025 Published: 18 January 2025 Citation: Ansaloni, L.S.; Kristl, J.; Domingues, C.E.C.; Gregorc, A. An Overview of the Nutritional Requirements of Honey Bees  Apis mellifera Linnaeus, 1758. Insects 2025, 16 , 97. https://doi.org/10.3390/https://doi.org/10.3390/insects16010097 insects16010097https://doi.org/10.3390/insects16010097 Copyright: © 2025 by the authors. Licensee MDPI, Basel, Switzerland. This article is an open access article distributed under the terms and conditions of the Creative Commons Attribution CC BY license https://creativecommons.org/https://creativecommons.org/licenses/by/4.0/ licenses/by/4.0/.https://creativecommons.org/licenses/by/4.0/","[0, 0, 100, 20]",1,7.02,82,0,0.346,0.057471264,0.376068376,0,0,-20,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
"Abstract: Honey bees are known for their wide global distribution, their ease of handling, and their economic and ecological value. However, they are often exposed to a wide variety of stress factors. Therefore, it is essential for beekeepers to maintain healthy bee colonies. In this context, a balanced diet is recommended to support the growth of strong and healthy honey bee colonies. The purpose of this review is therefore to provide an overview of the nutritional requirements of Apis mellifera and their importance for the maintenance of healthy bee colonies. An adequate diet includes the consumption of sufficient amounts of proteins, carbohydrates, lipids, amino acids, vitamins, minerals, water, and essential sterols, and a diet based on multi-floral pollen is desirable. However, when honey bee colonies are located near agroecosystems with lower resource diversity, both brood rearing and colony longevity may decrease, making them more susceptible to parasites and diseases. On the other hand, efforts have been made to improve the health of honey bee colonies with the help of nutritional supplements consisting of a variety of components. Nevertheless, studies have shown that even with these supplements, a lack of nutrients can still be an issue for honey bee colonies. Furthermore, future research should focus on identifying nutritional supplements that can better replicate natural diet diversity and assessing longterm effects on honey bee colony resilience, especially in low-flowering areas. This review discusses the interaction between nutrient requirements and the effects of supplements on colony health.","[0, 0, 100, 20]",1,9.97,244,0,0.6955,0.131147541,0.052845528,0,0,-20,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0
Keywords: development; health; nectar; nutrition; pollen,"[0, 0, 100, 20]",1,9.96,6,0,0.0255,0,0.166666667,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
1. Introduction,"[0, 0, 100, 20]",1,11.96,2,0,0.007,0,0.5,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
"Pollination stands out as one of the most essential ecosystem services. According to Ollerton et al.  1 , it is estimated that approximately 87.5% of all flowering plant species","[0, 0, 100, 20]",1,10.04,29,0,0.074,0.142857143,0.103448276,0,0,-20,0,1,0,0.03,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
