text_a,span_text_a,text_b,span_text_b,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,is_centered_B,font_size_a,font_size_b,font_size_diff,same_font,is_bold_A,is_bold_B,is_italic_A,is_italic_B,is_monospace_A,is_monospace_B,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,is_linea_hashed,is_lineb_hashed,both_hashed,neither_hashed,page_number_a,page_number_b,label
Acarajé,Acarajé,Ingredients :,Ingredients:,0.6,36.02,0,0,0,12.0,12.0,0.0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,2,2,0
Ingredients :,Ingredients:,o 2 cups black-eyed peas,o 2 cups black-eyed peas,0.75,18.0,0,0,0,12.0,10.02,-1.98,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,2,2,0
o 2 cups black-eyed peas,o 2 cups black-eyed peas,o 1 small onion,o 1 small onion,1.0,0.0,1,0,0,10.02,10.02,0.0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1
o 1 small onion,o 1 small onion,o 2 cloves garlic,o 2 cloves garlic,1.02,0.0,1,0,0,10.02,10.02,0.0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1
o 2 cloves garlic,o 2 cloves garlic,o 1 teaspoon salt,o 1 teaspoon salt,1.0,0.0,1,0,0,10.02,10.02,0.0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1
o 1 teaspoon salt,o 1 teaspoon salt,o Oil for frying,o Oil for frying,1.0,0.0,1,0,0,10.02,10.02,0.0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1
o Oil for frying,o Oil for frying,Instructions :,Instructions:,0.85,-18.0,0,0,0,10.02,12.0,1.98,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,2,2,0
Instructions :,Instructions:,"o Soak black-eyed peas overnight, then peel and rinse.","o Soak black-eyed peas overnight, then peel and rinse.",0.75,18.0,0,0,0,12.0,10.02,-1.98,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,2,2,0
"o Soak black-eyed peas overnight, then peel and rinse.","o Soak black-eyed peas overnight, then peel and rinse.","o Blend peas with diced onion, minced garlic, and salt until smooth.","o Blend peas with diced onion, minced garlic, and salt until smooth.",1.0,0.0,1,0,0,10.02,10.02,0.0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,2,2,1
"o Blend peas with diced onion, minced garlic, and salt until smooth.","o Blend peas with diced onion, minced garlic, and salt until smooth.",o Form mixture into balls and fry in hot oil until golden.,o Form mixture into balls and fry in hot oil until golden.,1.0,0.0,1,0,0,10.02,10.02,0.0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,2,2,1
o Form mixture into balls and fry in hot oil until golden.,o Form mixture into balls and fry in hot oil until golden.,o Drain on paper towels and serve warm.,o Drain on paper towels and serve warm.,1.01,0.0,1,0,0,10.02,10.02,0.0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,2,2,1
o Drain on paper towels and serve warm.,o Drain on paper towels and serve warm.,Agedashi Tofu,Agedashi Tofu,4.17,-54.02,0,0,0,10.02,12.0,1.98,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,2,2,0
Agedashi Tofu,Agedashi Tofu,Ingredients :,Ingredients:,0.6,36.02,0,0,0,12.0,12.0,0.0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,2,2,0
Ingredients :,Ingredients:,o 1 block tofu,o 1 block tofu,0.75,18.0,0,0,0,12.0,10.02,-1.98,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,2,2,0
o 1 block tofu,o 1 block tofu,o 1/4 cup cornstarch,o 1/4 cup cornstarch,1.0,0.0,1,0,0,10.02,10.02,0.0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1
o 1/4 cup cornstarch,o 1/4 cup cornstarch,o 1 cup dashi broth,o 1 cup dashi broth,1.0,0.0,1,0,0,10.02,10.02,0.0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1
o 1 cup dashi broth,o 1 cup dashi broth,o 2 tablespoons soy sauce,o 2 tablespoons soy sauce,1.01,0.0,1,0,0,10.02,10.02,0.0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1
o 2 tablespoons soy sauce,o 2 tablespoons soy sauce,o 1 tablespoon mirin,o 1 tablespoon mirin,1.0,0.0,1,0,0,10.02,10.02,0.0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1
o 1 tablespoon mirin,o 1 tablespoon mirin,o 1/4 cup green onions,o 1/4 cup green onions,1.0,0.0,1,0,0,10.02,10.02,0.0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1
o 1/4 cup green onions,o 1/4 cup green onions,o 1/4 cup grated daikon,o 1/4 cup grated daikon,1.0,0.0,1,0,0,10.02,10.02,0.0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1
o 1/4 cup grated daikon,o 1/4 cup grated daikon,Instructions :,Instructions:,0.85,-18.0,0,0,0,10.02,12.0,1.98,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,2,2,0
Instructions :,Instructions:,o Cut tofu into cubes and coat with cornstarch.,o Cut tofu into cubes and coat with cornstarch.,0.75,18.0,0,0,0,12.0,10.02,-1.98,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,2,2,0
o Cut tofu into cubes and coat with cornstarch.,o Cut tofu into cubes and coat with cornstarch.,o Fry in hot oil until golden.,o Fry in hot oil until golden.,1.0,0.0,1,0,0,10.02,10.02,0.0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,2,2,1
o Fry in hot oil until golden.,o Fry in hot oil until golden.,o Heat dashi broth with soy sauce and mirin.,o Heat dashi broth with soy sauce and mirin.,1.01,0.0,1,0,0,10.02,10.02,0.0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,2,2,1
o Heat dashi broth with soy sauce and mirin.,o Heat dashi broth with soy sauce and mirin.,"o Serve tofu in broth, topped with green onions and grated daikon.","o Serve tofu in broth, topped with green onions and grated daikon.",1.0,0.0,1,0,0,10.02,10.02,0.0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,2,2,1
"o Serve tofu in broth, topped with green onions and grated daikon.","o Serve tofu in broth, topped with green onions and grated daikon.",Aloo Gobi,Aloo Gobi,4.17,-54.02,0,0,0,10.02,12.0,1.98,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,2,2,0
Aloo Gobi,Aloo Gobi,Ingredients :,Ingredients:,0.6,36.02,0,0,0,12.0,12.0,0.0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,2,2,0
Ingredients :,Ingredients:,o 2 potatoes,o 2 potatoes,0.75,18.0,0,0,0,12.0,10.02,-1.98,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,2,2,0
