text_a,span_text_a,text_b,span_text_b,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,is_centered_B,font_size_a,font_size_b,font_size_diff,same_font,is_bold_A,is_bold_B,is_italic_A,is_italic_B,is_monospace_A,is_monospace_B,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,is_linea_hashed,is_lineb_hashed,both_hashed,neither_hashed,page_number_a,page_number_b,label
What’s the best way to create a PDF?,What’s the best way to create a PDF?,"You can create PDFs from documents printed on paper, Microsoft Word documents, InDesign®","You can create PDFs from documents printed on paper, Microsoft Word documents, InDesign®",5.43,0,1,1,1,24,12,-12,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,2,2,0
"You can create PDFs from documents printed on paper, Microsoft Word documents, InDesign®","You can create PDFs from documents printed on paper, Microsoft Word documents, InDesign®","files, digital images, and more. Different types of sources have different tools available for PDF","files, digital images, and more. Di?erent types of sources have di?erent tools available for PDF",1,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1
"files, digital images, and more. Different types of sources have different tools available for PDF","files, digital images, and more. Di?erent types of sources have di?erent tools available for PDF","conversion. In many applications, you can create PDFs by selecting the Adobe PDF printer in","conversion. In many applications, you can create PDFs by selecting the Adobe PDF printer in",1,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1
"conversion. In many applications, you can create PDFs by selecting the Adobe PDF printer in","conversion. In many applications, you can create PDFs by selecting the Adobe PDF printer in",the Print dialog box.,the Print dialog box.,1,0,1,1,0,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1
the Print dialog box.,the Print dialog box.,If a file is open in its authoring application such as a spreadsheet that is open in Microsoft,If a file is open in its authoring application (such as a spreadsheet that is open in Microsoft,4.41,0,1,0,1,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,2,2,0
If a file is open in its authoring application such as a spreadsheet that is open in Microsoft,If a file is open in its authoring application (such as a spreadsheet that is open in Microsoft,"Excel, you can convert it to PDF without opening Adobe Acrobat. Similarly, if Acrobat is","Excel), you can convert it to PDF without opening Adobe Acrobat. Similarly, if Acrobat is",1,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,2,2,1
"Excel, you can convert it to PDF without opening Adobe Acrobat. Similarly, if Acrobat is","Excel), you can convert it to PDF without opening Adobe Acrobat. Similarly, if Acrobat is","already open, you don’t have to open the authoring application to convert a file to PDF.","already open, you don’t have to open the authoring application to convert a file to PDF.",1,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1
"already open, you don’t have to open the authoring application to convert a file to PDF.","already open, you don’t have to open the authoring application to convert a file to PDF.",Every PDF balances efficiency small file size and quality such as resolution and color. If the,Every PDF balances e?ciency (small file size) and quality (such as resolution and color). If the,4.41,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,2,2,0
Every PDF balances efficiency small file size and quality such as resolution and color. If the,Every PDF balances e?ciency (small file size) and quality (such as resolution and color). If the,"balance between the file size and the quality is critical to your task, you must use an","balance between the file size and the quality is critical to your task, you must use an",1,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1
"balance between the file size and the quality is critical to your task, you must use an","balance between the file size and the quality is critical to your task, you must use an",appropriate conversion method.,appropriate conversion method.,1,0,1,1,0,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1
appropriate conversion method.,appropriate conversion method.,"For example, you can drag files to the Acrobat icon to create PDFs. In this case, Acrobat","For example, you can drag files to the Acrobat icon to create PDFs. In this case, Acrobat",4.44,0,1,0,1,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,2,2,0
"For example, you can drag files to the Acrobat icon to create PDFs. In this case, Acrobat","For example, you can drag files to the Acrobat icon to create PDFs. In this case, Acrobat",applies the most recently used conversion settings without providing access to those settings.,applies the most recently used conversion settings without providing access to those settings.,1,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1
applies the most recently used conversion settings without providing access to those settings.,applies the most recently used conversion settings without providing access to those settings.,"If you want more control over the process, you’ll want to use another method.","If you want more control over the process, you’ll want to use another method.",1,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,2,2,1
"If you want more control over the process, you’ll want to use another method.","If you want more control over the process, you’ll want to use another method.",PDF creation methods by file type,PDF creation methods by file type,4.41,0,1,1,0,12,16.02,4.02,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,2,2,0
PDF creation methods by file type,PDF creation methods by file type,Refer to the following lists to determine the methods available for the different types of files.,Refer to the following lists to determine the methods available for the di?erent types of files.,4.75,0,1,0,1,16.02,12,-4.02,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,2,2,0
Refer to the following lists to determine the methods available for the different types of files.,Refer to the following lists to determine the methods available for the di?erent types of files.,File Type PDF Creation Methods,PDF Creation Methods,7.41,151.02,0,1,1,12,12,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,2,2,0
File Type PDF Creation Methods,PDF Creation Methods,"Method 1 : From the top tools bar, select Create . Then, select a","Method 1: From the top tools bar, select Create. Then, select a",10.35,0,1,1,0,12,12,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1,2,2,1
"Method 1 : From the top tools bar, select Create . Then, select a","Method 1: From the top tools bar, select Create. Then, select a",file type and then select the file that you want to convert to,file type and then select the file that you want to convert to,1,0,1,0,0,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,1,2,2,1
file type and then select the file that you want to convert to,file type and then select the file that you want to convert to,PDF.,PDF.,1,0,1,0,0,12,12,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,1,2,2,1
PDF.,PDF.,Any file format,Any file format,17.2,-143.4,0,0,0,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,1,2,2,1
Any file format,Any file format,"Or, select the hamburger menu Windows or","Or, select the hamburger menu",-19,143.4,0,0,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,1,2,2,1
