text_a,span_text_a,text_b,span_text_b,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,is_centered_B,font_size_a,font_size_b,font_size_diff,same_font,is_bold_A,is_bold_B,is_italic_A,is_italic_B,is_monospace_A,is_monospace_B,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,is_linea_hashed,is_lineb_hashed,both_hashed,neither_hashed,label
"Note: If you select Retain Some Layers In The Selected Page, you’ll be prompted to","Note: If you select Retain Some Layers In The Selected Page, you’ll be prompted to",choose which Visio layers to include.,choose which Visio layers to include.,-37,0,1,1,1,12,12,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1
choose which Visio layers to include.,choose which Visio layers to include.,"1. Click Convert To Adobe PDF, specify a location and filename, and click Save .","1. Click Convert To Adobe PDF, specify a location and filename, and click Save.",-37,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
"1. Click Convert To Adobe PDF, specify a location and filename, and click Save .","1. Click Convert To Adobe PDF, specify a location and filename, and click Save.",Select Visio layers to convert Acrobat Pro,Select Visio layers to convert (Acrobat Pro),-37,0,1,1,1,12,16.02,4.02,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0
Select Visio layers to convert Acrobat Pro,Select Visio layers to convert (Acrobat Pro),You can convert a Visio drawing that contains layers to a PDF and retain some or all of the,You can convert a Visio drawing that contains layers to a PDF and retain some or all of the,-37,0,1,1,1,16.02,12,-4.02,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0
You can convert a Visio drawing that contains layers to a PDF and retain some or all of the,You can convert a Visio drawing that contains layers to a PDF and retain some or all of the,"layers in the resulting PDF, or you can flatten the layers. You can also organize the Visio layers","layers in the resulting PDF, or you can flatten the layers. You can also organize the Visio layers",-37,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
"layers in the resulting PDF, or you can flatten the layers. You can also organize the Visio layers","layers in the resulting PDF, or you can flatten the layers. You can also organize the Visio layers","in layer sets, which are folders in the Acrobat Layers panel.","in layer sets, which are folders in the Acrobat Layers panel.",-37,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
"in layer sets, which are folders in the Acrobat Layers panel.","in layer sets, which are folders in the Acrobat Layers panel.","1. With the multilayered file open in Visio, click a button in the Adobe PDF toolbar, and","1. With the multilayered file open in Visio, click a button in the Adobe PDF toolbar, and",1,31,0,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
"1. With the multilayered file open in Visio, click a button in the Adobe PDF toolbar, and","1. With the multilayered file open in Visio, click a button in the Adobe PDF toolbar, and",select Retain Some Layers In The Selected Page .,select Retain Some Layers In The Selected Page.,-24.25,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
select Retain Some Layers In The Selected Page .,select Retain Some Layers In The Selected Page.,"Note: If the Retain Some Layers In The Selected Page option is not available, deselect","Note: If the Retain Some Layers In The Selected Page option is not available, deselect",-24.25,0,1,1,1,12,12,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0
"Note: If the Retain Some Layers In The Selected Page option is not available, deselect","Note: If the Retain Some Layers In The Selected Page option is not available, deselect",the Convert All Pages In Drawing option.,the Convert All Pages In Drawing option.,-24.25,0,1,1,1,12,12,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1
the Convert All Pages In Drawing option.,the Convert All Pages In Drawing option.,2. Select one or more layers in the Layers In Visio Drawing list.,2. Select one or more layers in the Layers In Visio Drawing list.,-24.25,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
