text_a,span_text_a,text_b,span_text_b,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,is_centered_B,font_size_a,font_size_b,font_size_diff,same_font,is_bold_A,is_bold_B,is_italic_A,is_italic_B,is_monospace_A,is_monospace_B,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,is_linea_hashed,is_lineb_hashed,both_hashed,neither_hashed,page_number_a,page_number_b,label
1. Make the desired changes in the app. Bear in mind the following:,1. Make the desired changes in the app. Bear in mind the following:,"If you change the dimensions of the image, the image may not align correctly in","If you change the dimensions of the image, the image may not align correctly in",1.67,54,0,0,1,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0
"If you change the dimensions of the image, the image may not align correctly in","If you change the dimensions of the image, the image may not align correctly in",the PDF.,the PDF.,0,0,1,1,0,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
the PDF.,the PDF.,Transparency information is preserved only for masks that are specified as,Transparency information is preserved only for masks that are specified as,1,0,1,0,1,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0
Transparency information is preserved only for masks that are specified as,Transparency information is preserved only for masks that are specified as,index values in an indexed color space.,index values in an indexed color space.,0,0,1,1,0,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
index values in an indexed color space.,index values in an indexed color space.,"If you're working in Photoshop, flatten the image.","If you're working in Photoshop, flatten the image.",1,0,1,0,1,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0
"If you're working in Photoshop, flatten the image.","If you're working in Photoshop, flatten the image.",Image masks aren't supported.,Image masks aren't supported.,1,0,1,1,0,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0
Image masks aren't supported.,Image masks aren't supported.,"If you change image modes while editing the image, you may lose valuable","If you change image modes while editing the image, you may lose valuable",1,0,1,0,1,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0
"If you change image modes while editing the image, you may lose valuable","If you change image modes while editing the image, you may lose valuable",information that can be applied only in the original mode.,information that can be applied only in the original mode.,0,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
information that can be applied only in the original mode.,information that can be applied only in the original mode.,"2. In the editing app, choose File   - Save . The object is automatically updated and","2. In the editing app, choose File > Save. The object is automatically updated and",5.31,-54,0,1,0,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0
"2. In the editing app, choose File   - Save . The object is automatically updated and","2. In the editing app, choose File > Save. The object is automatically updated and",displayed in the PDF when you bring Acrobat to the foreground.,displayed in the PDF when you bring Acrobat to the foreground.,0,18,0,0,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
displayed in the PDF when you bring Acrobat to the foreground.,displayed in the PDF when you bring Acrobat to the foreground.,"Note: For Photoshop, if the image is in a format supported by Photoshop 6.0 or later, your","Note: For Photoshop, if the image is in a format supported by Photoshop 6.0 or later, your",1.67,-36,0,1,0,12,12,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0
"Note: For Photoshop, if the image is in a format supported by Photoshop 6.0 or later, your","Note: For Photoshop, if the image is in a format supported by Photoshop 6.0 or later, your","edited image is saved back into the PDF. However, if the image is in an unsupported format,","edited image is saved back into the PDF. However, if the image is in an unsupported format,",0.02,0,1,0,1,12,12,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
"edited image is saved back into the PDF. However, if the image is in an unsupported format,","edited image is saved back into the PDF. However, if the image is in an unsupported format,",Photoshop handles the image as a generic PDF image. The edited image is saved to disk,Photoshop handles the image as a generic PDF image. The edited image is saved to disk,0,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1
Photoshop handles the image as a generic PDF image. The edited image is saved to disk,Photoshop handles the image as a generic PDF image. The edited image is saved to disk,instead of the PDF.,instead of the PDF.,0,0,1,1,0,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
instead of the PDF.,instead of the PDF.,Export PDF images to another format,Export PDF images to another format,4.37,0,1,0,0,12,16.02,4.02,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1,1,0
Export PDF images to another format,Export PDF images to another format,"You can save every page all text, images, and vector objects on a page to an image format.","You can save every page (all text, images, and vector objects on a page) to an image format.",1.67,0,1,0,1,16.02,12,-4.02,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0
"You can save every page all text, images, and vector objects on a page to an image format.","You can save every page (all text, images, and vector objects on a page) to an image format.",Choose Convert - Export PDF To - Image format - Image Type. You can also export each,Choose Convert > Export PDF To > Image format > [Image Type]. You can also export each,0.03,0,1,1,0,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1
Choose Convert - Export PDF To - Image format - Image Type. You can also export each,Choose Convert > Export PDF To > Image format > [Image Type]. You can also export each,image in a PDF to a separate image file.,image in a PDF to a separate image file.,0,0,1,0,0,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
"Rotate, move, delete, extract, or renumber pages in a PDF","Rotate, move, delete, extract, or renumber",Rotate pages in a PDF,pages in a PDF,0,0,1,1,0,24,24,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0,3,3,0
Rotate pages in a PDF,pages in a PDF,You can rotate all or select pages in a document. Rotation is based on 90-degree increments.,You can rotate all or select pages in a document. Rotation is based on 90-degree increments.,12.17,0,1,0,1,24,12,-12,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,3,3,0
You can rotate all or select pages in a document. Rotation is based on 90-degree increments.,You can rotate all or select pages in a document. Rotation is based on 90-degree increments.,You can rotate pages using the rotate tools in the Page Thumbnails pane or,You can rotate pages using the rotate tools in the Page Thumbnails pane or,0.03,0,1,1,0,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,3,3,1
