text_a,span_text_a,text_b,span_text_b,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,is_centered_B,font_size_a,font_size_b,font_size_diff,same_font,is_bold_A,is_bold_B,is_italic_A,is_italic_B,is_monospace_A,is_monospace_B,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,is_linea_hashed,is_lineb_hashed,both_hashed,neither_hashed,page_number_a,page_number_b,label
Export,Export,You can save your changes to an Adobe PDF or PDF Portfolio in the original PDF or in a copy,You can save your changes to an Adobe PDF or PDF Portfolio in the original PDF or in a copy,2.49,0.0,1,0,0,25.98,12.0,-13.98,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,2,2,0.0
You can save your changes to an Adobe PDF or PDF Portfolio in the original PDF or in a copy,You can save your changes to an Adobe PDF or PDF Portfolio in the original PDF or in a copy,"of the PDF. You can also save individual PDFs to other file formats, including text, XML,","of the PDF. You can also save individual PDFs to other file formats, including text, XML,",0.0,0.0,1,0,1,12.0,12.0,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1.0
"of the PDF. You can also save individual PDFs to other file formats, including text, XML,","of the PDF. You can also save individual PDFs to other file formats, including text, XML,","HTML, and Microsoft Word .","HTML, and Microsoft Word.",0.02,0.0,1,1,0,12.0,12.0,0.0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,2,2,1.0
"HTML, and Microsoft Word .","HTML, and Microsoft Word.","Saving a PDF in text format allows you to use the content with a screen reader, screen","Saving a PDF in text format allows you to use the content with a screen reader, screen",1.52,0.0,1,0,1,12.0,12.0,0.0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,2,2,0.0
"Saving a PDF in text format allows you to use the content with a screen reader, screen","Saving a PDF in text format allows you to use the content with a screen reader, screen","magnifier, or other assistive technology.","magnifier, or other assistive technology.",0.44,0.0,1,1,0,12.0,12.0,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1.0
"magnifier, or other assistive technology.","magnifier, or other assistive technology.","If you don’t have access to the source files that created an Adobe PDF, you can still copy","If you don’t have access to the source files that created an Adobe PDF, you can still copy",1.97,0.0,1,0,0,12.0,12.0,0.0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,2,2,0.0
"If you don’t have access to the source files that created an Adobe PDF, you can still copy","If you don’t have access to the source files that created an Adobe PDF, you can still copy",images and text from the PDF to use elsewhere. You can also export the PDF to a reusable,images and text from the PDF to use elsewhere. You can also export the PDF to a reusable,0.44,0.0,1,0,1,12.0,12.0,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1.0
images and text from the PDF to use elsewhere. You can also export the PDF to a reusable,images and text from the PDF to use elsewhere. You can also export the PDF to a reusable,"format, or export images in a PDF to another format.","format, or export images in a PDF to another format.",0.44,0.0,1,1,0,12.0,12.0,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1.0
"format, or export images in a PDF to another format.","format, or export images in a PDF to another format.",Adobe Acrobat Reader users can save a copy of a PDF or PDF Portfolio if the creator of the,Adobe Acrobat Reader users can save a copy of a PDF or PDF Portfolio if the creator of the,1.95,0.0,1,0,0,12.0,12.0,0.0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,2,2,0.0
Adobe Acrobat Reader users can save a copy of a PDF or PDF Portfolio if the creator of the,Adobe Acrobat Reader users can save a copy of a PDF or PDF Portfolio if the creator of the,"document has enabled usage rights. If a document has additional or restricted usage rights,","document has enabled usage rights. If a document has additional or restricted usage rights,",0.46,0.0,1,0,1,12.0,12.0,0.0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1.0
"document has enabled usage rights. If a document has additional or restricted usage rights,","document has enabled usage rights. If a document has additional or restricted usage rights,",the document message bar under the toolbar area describes the assigned restrictions or,the document message bar under the toolbar area describes the assigned restrictions or,0.44,0.0,1,1,1,12.0,12.0,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1.0
the document message bar under the toolbar area describes the assigned restrictions or,the document message bar under the toolbar area describes the assigned restrictions or,privileges.,privileges.,0.44,0.0,1,1,0,12.0,12.0,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1.0
privileges.,privileges.,Save a PDF,Save a PDF,7.77,-0.0,1,0,0,12.0,16.02,4.02,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,2,2,0.0
Save a PDF,Save a PDF,"Use this method to save PDFs, including PDF Portfolios, and PDFs in which you have added","Use this method to save PDFs, including PDF Portfolios, and PDFs in which you have added",2.12,0.0,1,0,0,16.02,12.0,-4.02,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,2,2,0.0
"Use this method to save PDFs, including PDF Portfolios, and PDFs in which you have added","Use this method to save PDFs, including PDF Portfolios, and PDFs in which you have added","comments, form field entries, and digital signatures.","comments, form field entries, and digital signatures.",0.44,0.0,1,0,0,12.0,12.0,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1.0
"comments, form field entries, and digital signatures.","comments, form field entries, and digital signatures.",Note:,Note:,1.95,0.0,1,0,0,12.0,12.0,0.0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,2,2,0.0
