text_a,span_text_a,text_b,span_text_b,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,is_centered_B,font_size_a,font_size_b,font_size_diff,same_font,is_bold_A,is_bold_B,is_italic_A,is_italic_B,is_monospace_A,is_monospace_B,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,is_linea_hashed,is_lineb_hashed,both_hashed,neither_hashed,page_number_a,page_number_b,label
Comprehensive Guide to Major Cities in the South of France,Comprehensive Guide to Major Cities in the South of France,Introduction,Introduction,4.43,0.0,1,0,0,12.0,12.0,0.0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0
Introduction,Introduction,"The South of France, known for its stunning landscapes, Mediterranean coastline, and rich","The South of France, known for its stunning landscapes, Mediterranean coastline, and rich",4.4,0.0,1,0,1,12.0,12.0,0.0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0
"The South of France, known for its stunning landscapes, Mediterranean coastline, and rich","The South of France, known for its stunning landscapes, Mediterranean coastline, and rich","cultural heritage, is home to some of the most beautiful and historically significant cities in the","cultural heritage, is home to some of the most beautiful and historically significant cities in the",1.0,0.0,1,1,1,12.0,12.0,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
"cultural heritage, is home to some of the most beautiful and historically significant cities in the","cultural heritage, is home to some of the most beautiful and historically significant cities in the","country. This guide provides an in-depth look at the major cities in the South of France,","country. This guide provides an in-depth look at the major cities in the South of France,",1.0,0.0,1,1,1,12.0,12.0,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
"country. This guide provides an in-depth look at the major cities in the South of France,","country. This guide provides an in-depth look at the major cities in the South of France,","detailing their history, key attractions, cultural highlights, and unique characteristics. Whether","detailing their history, key attractions, cultural highlights, and unique characteristics. Whether",1.0,0.0,1,1,1,12.0,12.0,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
"detailing their history, key attractions, cultural highlights, and unique characteristics. Whether","detailing their history, key attractions, cultural highlights, and unique characteristics. Whether","you're planning a visit or simply want to learn more about this enchanting region, this guide","you're planning a visit or simply want to learn more about this enchanting region, this guide",1.0,0.0,1,1,1,12.0,12.0,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
"you're planning a visit or simply want to learn more about this enchanting region, this guide","you're planning a visit or simply want to learn more about this enchanting region, this guide",will offer valuable insights into each city's charm and allure.,will oﬀer valuable insights into each city's charm and allure.,1.0,0.0,1,1,0,12.0,12.0,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
Overview of the Region,Overview of the Region,"The South of France, or ""Le Midi,"" encompasses the regions of Provence-Alpes-Côte d'Azur,","The South of France, or ""Le Midi,"" encompasses the regions of Provence-Alpes-Côte d'Azur,",4.25,0.0,1,0,1,12.0,12.0,0.0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,2,2,0
"The South of France, or ""Le Midi,"" encompasses the regions of Provence-Alpes-Côte d'Azur,","The South of France, or ""Le Midi,"" encompasses the regions of Provence-Alpes-Côte d'Azur,","Occitanie, and parts of Nouvelle-Aquitaine. This area is renowned for its diverse landscapes,","Occitanie, and parts of Nouvelle-Aquitaine. This area is renowned for its diverse landscapes,",0.96,0.0,1,1,1,12.0,12.0,0.0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,2,2,1
"Occitanie, and parts of Nouvelle-Aquitaine. This area is renowned for its diverse landscapes,","Occitanie, and parts of Nouvelle-Aquitaine. This area is renowned for its diverse landscapes,",from the sun-drenched beaches of the French Riviera to the rolling vineyards of Provence and,from the sun-drenched beaches of the French Riviera to the rolling vineyards of Provence and,0.96,0.0,1,1,1,12.0,12.0,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1
from the sun-drenched beaches of the French Riviera to the rolling vineyards of Provence and,from the sun-drenched beaches of the French Riviera to the rolling vineyards of Provence and,the rugged Pyrenees mountains. The Mediterranean climate ensures warm summers and,the rugged Pyrenees mountains. The Mediterranean climate ensures warm summers and,0.96,0.0,1,1,1,12.0,12.0,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1
the rugged Pyrenees mountains. The Mediterranean climate ensures warm summers and,the rugged Pyrenees mountains. The Mediterranean climate ensures warm summers and,"mild winters, making it a year-round destination. The South of France is also famous for its","mild winters, making it a year-round destination. The South of France is also famous for its",0.96,0.0,1,1,1,12.0,12.0,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1
"mild winters, making it a year-round destination. The South of France is also famous for its","mild winters, making it a year-round destination. The South of France is also famous for its","cuisine, wines, and vibrant cultural scene.","cuisine, wines, and vibrant cultural scene.",0.94,-0.0,1,1,0,12.0,12.0,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1
"cuisine, wines, and vibrant cultural scene.","cuisine, wines, and vibrant cultural scene.",Travel Tips,Travel Tips,4.26,0.0,1,0,0,12.0,12.0,0.0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,2,2,0
Travel Tips,Travel Tips,Best Time to Visit : The best time to visit the South of France is during the spring April,Best Time to Visit: The best time to visit the South of France is during the spring (April,4.25,36.0,0,0,0,12.0,12.0,0.0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,2,2,0
Best Time to Visit : The best time to visit the South of France is during the spring April,Best Time to Visit: The best time to visit the South of France is during the spring (April,"to June and fall September to October when the weather is pleasant, and the tourist","to June) and fall (September to October) when the weather is pleasant, and the tourist",1.0,0.0,1,0,1,12.0,12.0,0.0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1
