text_a,span_text_a,text_b,span_text_b,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,is_centered_B,font_size_a,font_size_b,font_size_diff,same_font,is_bold_A,is_bold_B,is_italic_A,is_italic_B,is_monospace_A,is_monospace_B,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,is_linea_hashed,is_lineb_hashed,both_hashed,neither_hashed,label
A Culinary Journey Through the South of France,A Culinary Journey Through the South of France,Introduction,Introduction,4.43,0,1,0,0,12,12,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
Introduction,Introduction,"The South of France, known for its stunning landscapes and charming villages, is also a","The South of France, known for its stunning landscapes and charming villages, is also a",4.4,0,1,0,1,12,12,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0
"The South of France, known for its stunning landscapes and charming villages, is also a","The South of France, known for its stunning landscapes and charming villages, is also a","paradise for food lovers. The region's cuisine is a delightful blend of Mediterranean flavors,","paradise for food lovers. The region's cuisine is a delightful blend of Mediterranean flavors,",1,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
"paradise for food lovers. The region's cuisine is a delightful blend of Mediterranean flavors,","paradise for food lovers. The region's cuisine is a delightful blend of Mediterranean flavors,","fresh ingredients, and traditional recipes passed down through generations. This guide will","fresh ingredients, and traditional recipes passed down through generations. This guide will",1,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
"fresh ingredients, and traditional recipes passed down through generations. This guide will","fresh ingredients, and traditional recipes passed down through generations. This guide will","take you through the different types of food, famous dishes, must-visit restaurants, renowned","take you through the diﬀerent types of food, famous dishes, must-visit restaurants, renowned",1,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
"take you through the different types of food, famous dishes, must-visit restaurants, renowned","take you through the diﬀerent types of food, famous dishes, must-visit restaurants, renowned","wine regions, and the types of wines they produce to help you plan an unforgettable culinary","wine regions, and the types of wines they produce to help you plan an unforgettable culinary",1,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
"wine regions, and the types of wines they produce to help you plan an unforgettable culinary","wine regions, and the types of wines they produce to help you plan an unforgettable culinary",adventure.,adventure.,1,0,1,1,0,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
Types of Food,Types of Food,"The cuisine in the South of France is diverse, reflecting the region's rich history and cultural","The cuisine in the South of France is diverse, reflecting the region's rich history and cultural",4.43,0,1,0,1,12,12,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0
"The cuisine in the South of France is diverse, reflecting the region's rich history and cultural","The cuisine in the South of France is diverse, reflecting the region's rich history and cultural",influences. Here are some key types of food you can expect to find:,influences. Here are some key types of food you can expect to find:,1,0,1,1,0,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
influences. Here are some key types of food you can expect to find:,influences. Here are some key types of food you can expect to find:,"Seafood: With its extensive coastline, the South of France offers an abundance of fresh","Seafood: With its extensive coastline, the South of France oﬀers an abundance of fresh",4.41,36,0,0,1,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
