text_a,span_text_a,text_b,span_text_b,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,is_centered_B,font_size_a,font_size_b,font_size_diff,same_font,is_bold_A,is_bold_B,is_italic_A,is_italic_B,is_monospace_A,is_monospace_B,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,is_linea_hashed,is_lineb_hashed,both_hashed,neither_hashed,label
The Ultimate PDF Sharing Checklist,The Ultimate PDF Sharing Checklist,Sharing PDFs can be a breeze with Adobe Acrobat. Whether you're,Sharing PDFs can be a breeze with Adobe Acrobat. Whether you're,0.72,0,1,0,1,13.5,13.5,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
Sharing PDFs can be a breeze with Adobe Acrobat. Whether you're,Sharing PDFs can be a breeze with Adobe Acrobat. Whether you're,"collaborating on a project, seeking feedback, or simply distributing","collaborating on a project, seeking feedback, or simply distributing",0.22,0,1,1,1,13.5,13.5,0,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
"collaborating on a project, seeking feedback, or simply distributing","collaborating on a project, seeking feedback, or simply distributing","information, this checklist will ensure you cover all the bases. Let's dive","information, this checklist will ensure you cover all the bases. Let's dive",0.21,0,1,1,1,13.5,13.5,0,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
"information, this checklist will ensure you cover all the bases. Let's dive","information, this checklist will ensure you cover all the bases. Let's dive",into the essentials of sharing PDFs effectively.,into the essentials of sharing PDFs effectively.,0.21,0,1,1,0,13.5,13.5,0,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
into the essentials of sharing PDFs effectively.,into the essentials of sharing PDFs effectively.,General Sharing Checklist,General Sharing Checklist,0.72,0,1,0,0,13.5,13.5,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
General Sharing Checklist,General Sharing Checklist,Open Your PDF,Open Your PDF,1,18,0,0,0,13.5,10.02,-3.48,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0
Open Your PDF,Open Your PDF,Have you launched Acrobat or Acrobat Reader and opened,Have you launched Acrobat or Acrobat Reader and opened,1.05,36.02,0,0,0,10.02,10.02,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
Have you launched Acrobat or Acrobat Reader and opened,Have you launched Acrobat or Acrobat Reader and opened,the PDF you want to share?,the PDF you want to share?,0.25,18,0,0,0,10.02,13.5,3.48,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1
the PDF you want to share?,the PDF you want to share?,Choose Your Sharing Method,Choose Your Sharing Method,1,-54.02,0,0,0,13.5,10.02,-3.48,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0
Choose Your Sharing Method,Choose Your Sharing Method,"Are you sharing via email, link, or a third-party app like","Are you sharing via email, link, or a third-party app like",1.05,36.02,0,0,0,10.02,10.02,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
"Are you sharing via email, link, or a third-party app like","Are you sharing via email, link, or a third-party app like",Microsoft Teams or WhatsApp?,Microsoft Teams or WhatsApp?,0.25,18,0,0,0,10.02,13.5,3.48,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1
Microsoft Teams or WhatsApp?,Microsoft Teams or WhatsApp?,Set Permissions,Set Permissions,1,-54.02,0,0,0,13.5,10.02,-3.48,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0
Set Permissions,Set Permissions,Have you decided if recipients can comment or just view the,Have you decided if recipients can comment or just view the,1.05,36.02,0,0,0,10.02,10.02,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
Have you decided if recipients can comment or just view the,Have you decided if recipients can comment or just view the,document?,document?,0.25,18,0,0,0,10.02,13.5,3.48,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1
document?,document?,Add Recipients,Add Recipients,1,-54.02,0,0,0,13.5,10.02,-3.48,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0
Add Recipients,Add Recipients,Did you enter the email addresses of everyone who needs,Did you enter the email addresses of everyone who needs,1.05,36.02,0,0,0,10.02,10.02,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
Did you enter the email addresses of everyone who needs,Did you enter the email addresses of everyone who needs,access?,access?,0.25,18,0,0,0,10.02,13.5,3.48,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1
access?,access?,Customize Your Message,Customize Your Message,1,-54.02,0,0,0,13.5,10.02,-3.48,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0
Customize Your Message,Customize Your Message,Have you added a personal touch to the subject and message,Have you added a personal touch to the subject and message,1.05,36.02,0,0,0,10.02,10.02,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
Have you added a personal touch to the subject and message,Have you added a personal touch to the subject and message,fields?,fields?,0.25,18,0,0,0,10.02,13.5,3.48,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1
fields?,fields?,Create and Share the Link,Create and Share the Link,1,-54.02,0,0,0,13.5,10.02,-3.48,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0
Create and Share the Link,Create and Share the Link,Did you generate a shareable link and copy it for distribution?,Did you generate a shareable link and copy it for distribution?,1.04,36.02,0,0,0,10.02,10.02,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
Did you generate a shareable link and copy it for distribution?,Did you generate a shareable link and copy it for distribution?,Send the Invitation,Send the Invitation,1.04,-36.02,0,0,0,10.02,10.02,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
Have you sent the email or shared the link through your,Have you sent the email or shared the link through your,chosen platform?,chosen platform?,0.35,18,0,0,0,10.02,13.5,3.48,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1
chosen platform?,chosen platform?,Follow Up,Follow Up,1.39,-54.02,0,0,0,13.5,10.02,-3.48,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0
Follow Up,Follow Up,Are you tracking who has accessed the document and,Are you tracking who has accessed the document and,1.45,36.02,0,0,0,10.02,10.02,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
Are you tracking who has accessed the document and,Are you tracking who has accessed the document and,following up as needed?,following up as needed?,0.35,18,0,0,0,10.02,13.5,3.48,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1
following up as needed?,following up as needed?,Professional Tip: Clear Instructions,Professional Tip: Clear Instructions,0.99,-72.02,0,0,0,13.5,13.5,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
Professional Tip: Clear Instructions,Professional Tip: Clear Instructions,Ensure your email instructions are clear and concise to avoid any,Ensure your email instructions are clear and concise to avoid any,1,0,1,0,1,13.5,13.5,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
Ensure your email instructions are clear and concise to avoid any,Ensure your email instructions are clear and concise to avoid any,confusion for your recipients.,confusion for your recipients.,0.29,0,1,1,0,13.5,13.5,0,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
