text_a,span_text_a,text_b,span_text_b,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,is_centered_B,font_size_a,font_size_b,font_size_diff,same_font,is_bold_A,is_bold_B,is_italic_A,is_italic_B,is_monospace_A,is_monospace_B,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,is_linea_hashed,is_lineb_hashed,both_hashed,neither_hashed,label
"Revised January 10, 2014","Revised January 10, 2014",J UDICIAL I NTERN H IRING I NFORMATION,JUDICIAL INTERN HIRING INFORMATION,-22.08,0,1,1,1,12,14.04,2.04,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0
J UDICIAL I NTERN H IRING I NFORMATION,JUDICIAL INTERN HIRING INFORMATION,"Lorna G. Schofield, United States District Judge","Lorna G. Schofield, United States District Judge",-22.08,0,1,1,1,14.04,12,-2.04,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0
"Lorna G. Schofield, United States District Judge","Lorna G. Schofield, United States District Judge",Chambers Contact Information :,Chambers Contact Information:,-22.08,0,1,1,1,12,12,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
Chambers Contact Information :,Chambers Contact Information:,United States District Court,United States District Court,-22.08,0,1,1,1,12,12,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0
United States District Court,United States District Court,Southern District of New York,Southern District of New York,-22.08,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
Southern District of New York,Southern District of New York,"40 Centre Street, Room 201","40 Centre Street, Room 201",-22.08,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
"40 Centre Street, Room 201","40 Centre Street, Room 201","New York, NY 10007","New York, NY  10007",-22.08,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
"New York, NY 10007","New York, NY  10007",212 805-0288,(212) 805-0288,-22.08,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
212 805-0288,(212) 805-0288,Positions : Judge Schofield hires first- and second-year law students as interns during the school,Positions:  Judge Schofield hires first- and second-year law students as interns during the school,-22.08,0,1,1,1,12,12,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0
Positions : Judge Schofield hires first- and second-year law students as interns during the school,Positions:  Judge Schofield hires first- and second-year law students as interns during the school,"year and for summer employment. During the school year, interns must be available for a","year and for summer employment.  During the school year, interns must be available for a",-22.08,0,1,1,1,12,12,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1
"year and for summer employment. During the school year, interns must be available for a","year and for summer employment.  During the school year, interns must be available for a","semester at least 20 hours a week. During the summer, interns must be available to work full","semester at least 20 hours a week.  During the summer, interns must be available to work full",-22.08,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
"semester at least 20 hours a week. During the summer, interns must be available to work full","semester at least 20 hours a week.  During the summer, interns must be available to work full",time for at least eight weeks.,time for at least eight weeks.,-22.08,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
time for at least eight weeks.,time for at least eight weeks.,"Applications: Applications should include a resume, transcript and writing sample. First-year","Applications:  Applications should include a resume, transcript and writing sample.  First-year",-22.08,0,1,1,1,12,12,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0
"Applications: Applications should include a resume, transcript and writing sample. First-year","Applications:  Applications should include a resume, transcript and writing sample.  First-year",students should not apply until they have received grades from all of their first semester classes.,students should not apply until they have received grades from all of their first semester classes.,-22.08,0,1,1,1,12,12,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1
