text_a,span_text_a,text_b,span_text_b,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,is_centered_B,font_size_a,font_size_b,font_size_diff,same_font,is_bold_A,is_bold_B,is_italic_A,is_italic_B,is_monospace_A,is_monospace_B,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,label
"Congressman Travis Childers Backs Investigation of Economic Crisis, Votes for Final","Congressman Travis Childers Backs Investigation of Economic Crisis, Votes for Final",Passage of Fraud Enforcement and Recovery Act,Passage of Fraud Enforcement and Recovery Act,-59.33,0,1,1,1,12,12,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1
Passage of Fraud Enforcement and Recovery Act,Passage of Fraud Enforcement and Recovery Act,"May 6, 2009","May 6, 2009",-59.33,0,1,1,1,12,12,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
"May 6, 2009","May 6, 2009","Washington, DC - Congressman Travis Childers D-MS today joined a majority of his","Washington, DC - Congressman Travis Childers (D-MS) today joined a majority of his",-59.33,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0
"Washington, DC - Congressman Travis Childers D-MS today joined a majority of his","Washington, DC - Congressman Travis Childers (D-MS) today joined a majority of his","colleagues in supporting final passage of the Fraud Enforcement and Recovery Act of 2009,","colleagues in supporting final passage of the Fraud Enforcement and Recovery Act of 2009,",-59.33,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1
"colleagues in supporting final passage of the Fraud Enforcement and Recovery Act of 2009,","colleagues in supporting final passage of the Fraud Enforcement and Recovery Act of 2009,",which won bipartisan House approval by a vote of 367 to 59. The legislation will provide critical,which won bipartisan House approval by a vote of 367 to 59. The legislation will provide critical,-59.33,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1
which won bipartisan House approval by a vote of 367 to 59. The legislation will provide critical,which won bipartisan House approval by a vote of 367 to 59. The legislation will provide critical,funding and tools to help law enforcement pursue and prosecute the type of fraud many blame,funding and tools to help law enforcement pursue and prosecute the type of fraud many blame,-59.33,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1
funding and tools to help law enforcement pursue and prosecute the type of fraud many blame,funding and tools to help law enforcement pursue and prosecute the type of fraud many blame,"for the worst financial crisis in decades, and establishes a bipartisan commission to investigate","for the worst financial crisis in decades, and establishes a bipartisan commission to investigate",-59.33,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1
"for the worst financial crisis in decades, and establishes a bipartisan commission to investigate","for the worst financial crisis in decades, and establishes a bipartisan commission to investigate",the causes of the financial system's collapse and the ensuing recession.,the causes of the financial system's collapse and the ensuing recession.,-59.33,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1
the causes of the financial system's collapse and the ensuing recession.,the causes of the financial system's collapse and the ensuing recession.,The bill passed in the Senate on April 28 by a vote of 92 to 4.,The bill passed in the Senate on April 28 by a vote of 92 to 4.,-59.33,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0
The bill passed in the Senate on April 28 by a vote of 92 to 4.,The bill passed in the Senate on April 28 by a vote of 92 to 4.,"&quot;In the face of today's economic crisis, hard working North Mississippians have lost their","&quot;In the face of today's economic crisis, hard working North Mississippians have lost their",-59.33,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0
