text_a,span_text_a,text_b,span_text_b,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,is_centered_B,font_size_a,font_size_b,font_size_diff,same_font,is_bold_A,is_bold_B,is_italic_A,is_italic_B,is_monospace_A,is_monospace_B,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,is_linea_hashed,is_lineb_hashed,both_hashed,neither_hashed,page_number_a,page_number_b,label
Recent Developments in GNNs for Drug Discovery,Recent Developments in GNNs for Drug Discovery,"Zhengyu Fang 1, Xiaoge Zhang 1, Anyin Zhao 1, Xiao Li 1,2,3,4, Huiyuan Chen 1, and Jing","Zhengyu Fang1, Xiaoge Zhang1, Anyin Zhao1, Xiao Li1,2,3,4, Huiyuan Chen1, and Jing",5.24,-27.88,0,1,0,17.22,11.96,-5.26,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0
"Zhengyu Fang 1, Xiaoge Zhang 1, Anyin Zhao 1, Xiao Li 1,2,3,4, Huiyuan Chen 1, and Jing","Zhengyu Fang1, Xiaoge Zhang1, Anyin Zhao1, Xiao Li1,2,3,4, Huiyuan Chen1, and Jing",Li *1,Li*1,1,195.81,0,0,1,11.96,11.96,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1
Li *1,Li*1,"1 Department of Computer and Data Sciences, Case Western Reserve University","1Department of Computer and Data Sciences, Case Western Reserve University",3.55,-180.55,0,1,0,11.96,7.97,-3.99,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0
"1 Department of Computer and Data Sciences, Case Western Reserve University","1Department of Computer and Data Sciences, Case Western Reserve University","2 Department of Biochemistry, Case Western Reserve University","2Department of Biochemistry, Case Western Reserve University",2.09,37.4,0,0,0,7.97,7.97,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1
"2 Department of Biochemistry, Case Western Reserve University","2Department of Biochemistry, Case Western Reserve University","3 Center for RNA Science and Therapeutics, Case Western Reserve University","3Center for RNA Science and Therapeutics, Case Western Reserve University",2.09,-32.87,0,0,0,7.97,7.97,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1
"3 Center for RNA Science and Therapeutics, Case Western Reserve University","3Center for RNA Science and Therapeutics, Case Western Reserve University","4 Department of Biomedical Engineering, Case Western Reserve University","4Department of Biomedical Engineering, Case Western Reserve University",2.09,6.42,0,0,0,7.97,7.97,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1
"4 Department of Biomedical Engineering, Case Western Reserve University","4Department of Biomedical Engineering, Case Western Reserve University",Abstract,Abstract,16.11,160.86,0,0,1,7.97,9.96,1.99,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0
Abstract,Abstract,"In this paper, we review recent developments and the role of Graph Neural Networks GNNs","In this paper, we review recent developments and the role of Graph Neural Networks (GNNs)",2.48,-170.76,0,1,1,9.96,9.96,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0
"In this paper, we review recent developments and the role of Graph Neural Networks GNNs","In this paper, we review recent developments and the role of Graph Neural Networks (GNNs)","in computational drug discovery, including molecule generation, molecular property prediction,","in computational drug discovery, including molecule generation, molecular property prediction,",0.94,0,1,1,1,9.96,9.96,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
"in computational drug discovery, including molecule generation, molecular property prediction,","in computational drug discovery, including molecule generation, molecular property prediction,",and drug-drug interaction prediction. By summarizing the most recent developments in this,and drug-drug interaction prediction. By summarizing the most recent developments in this,0.94,0,1,1,1,9.96,9.96,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
and drug-drug interaction prediction. By summarizing the most recent developments in this,and drug-drug interaction prediction. By summarizing the most recent developments in this,"area, we underscore the capabilities of GNNs to comprehend intricate molecular patterns, while","area, we underscore the capabilities of GNNs to comprehend intricate molecular patterns, while",0.94,0,1,1,1,9.96,9.96,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
"area, we underscore the capabilities of GNNs to comprehend intricate molecular patterns, while","area, we underscore the capabilities of GNNs to comprehend intricate molecular patterns, while","exploring both their current and prospective applications. We initiate our discussion by examining various molecular representations, followed by detailed discussions and categorization of","ining various molecular representations, followed by detailed discussions and categorization of",4.6,0,1,1,1,9.96,9.96,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
"exploring both their current and prospective applications. We initiate our discussion by examining various molecular representations, followed by detailed discussions and categorization of","ining various molecular representations, followed by detailed discussions and categorization of",existing GNN models based on their input types and downstream application tasks. We also,existing GNN models based on their input types and downstream application tasks. We also,0.94,0,1,1,1,9.96,9.96,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
existing GNN models based on their input types and downstream application tasks. We also,existing GNN models based on their input types and downstream application tasks. We also,collect a list of commonly used benchmark datasets for a variety of applications. We conclude,collect a list of commonly used benchmark datasets for a variety of applications. We conclude,0.94,0,1,1,1,9.96,9.96,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
collect a list of commonly used benchmark datasets for a variety of applications. We conclude,collect a list of commonly used benchmark datasets for a variety of applications. We conclude,the paper with brief discussions and summarize common trends in this important research area.,the paper with brief discussions and summarize common trends in this important research area.,0.94,0,1,1,1,9.96,9.96,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
the paper with brief discussions and summarize common trends in this important research area.,the paper with brief discussions and summarize common trends in this important research area.,"Keywords: Drug Discovery, Graph Neural Networks, Machine Learning","Keywords: Drug Discovery, Graph Neural Networks, Machine Learning",7.01,-24.91,0,1,0,9.96,9.96,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0
"Keywords: Drug Discovery, Graph Neural Networks, Machine Learning","Keywords: Drug Discovery, Graph Neural Networks, Machine Learning",1 Introduction,Introduction,6.64,21.52,0,0,0,9.96,14.35,4.38,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,1,1,0
1 Introduction,Introduction,"It is well known that traditional drug discovery is costly, time-consuming, and with high failure rates 1.","It is well known that traditional drug discovery is costly, time-consuming, and with high failure rates [1].",3.84,-21.52,0,0,1,14.35,9.96,-4.38,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0
"It is well known that traditional drug discovery is costly, time-consuming, and with high failure rates 1.","It is well known that traditional drug discovery is costly, time-consuming, and with high failure rates [1].","To streamline the process of drug discovery and mitigate resource-intensive laboratory work, significant","To streamline the process of drug discovery and mitigate resource-intensive laboratory work, significant",0.94,0,1,1,1,9.96,9.96,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1
"To streamline the process of drug discovery and mitigate resource-intensive laboratory work, significant","To streamline the process of drug discovery and mitigate resource-intensive laboratory work, significant",research has been dedicated to the development of computational methods. Existing literature provides,research has been dedicated to the development of computational methods. Existing literature provides,0.94,0,1,1,1,9.96,9.96,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
research has been dedicated to the development of computational methods. Existing literature provides,research has been dedicated to the development of computational methods. Existing literature provides,"some comprehensive reviews on deep learning approaches in drug discovery 2, 3, 4, 5. In this review,","some comprehensive reviews on deep learning approaches in drug discovery [2, 3, 4, 5]. In this review,",0.94,0,1,1,1,9.96,9.96,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
"some comprehensive reviews on deep learning approaches in drug discovery 2, 3, 4, 5. In this review,","some comprehensive reviews on deep learning approaches in drug discovery [2, 3, 4, 5]. In this review,",we focus on the development and applications of Graph Neural Networks GNNs on three related areas of,we focus on the development and applications of Graph Neural Networks (GNNs) on three related areas of,0.94,0,1,1,1,9.96,9.96,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
we focus on the development and applications of Graph Neural Networks GNNs on three related areas of,we focus on the development and applications of Graph Neural Networks (GNNs) on three related areas of,"computational drug development, namely, Molecule Generation, Molecular Property Prediction, and Drug-","computational drug development, namely, Molecule Generation, Molecular Property Prediction, and Drug-",0.94,0,1,1,0,9.96,9.96,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
"computational drug development, namely, Molecule Generation, Molecular Property Prediction, and Drug-","computational drug development, namely, Molecule Generation, Molecular Property Prediction, and Drug-","Drug Interaction Prediction, which not only receive increasing attention but also show promising results.","Drug Interaction Prediction, which not only receive increasing attention but also show promising results.",0.96,0,1,0,0,9.96,9.96,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1
"Drug Interaction Prediction, which not only receive increasing attention but also show promising results.","Drug Interaction Prediction, which not only receive increasing attention but also show promising results.",We will summarize some most recent developments in these research areas and focus on computational,We will summarize some most recent developments in these research areas and focus on computational,1.01,0,1,0,1,9.96,9.96,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,1
We will summarize some most recent developments in these research areas and focus on computational,We will summarize some most recent developments in these research areas and focus on computational,advances published since 2021.,advances published since 2021.,0.94,0,1,1,0,9.96,9.96,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
advances published since 2021.,advances published since 2021.,Corresponding author. jingli@case.edumailto:jingli@case.edu,*Corresponding author. jingli@case.edu,3.08,10.86,0,0,0,9.96,5.98,-3.98,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1
1.1 Molecule Generation,Molecule Generation,An earlier step in developing a drug for a certain disease usually involves the search of enormous amount,An earlier step in developing a drug for a certain disease usually involves the search of enormous amount,3.09,-26.9,0,0,1,11.96,9.96,-1.99,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,2,2,0
An earlier step in developing a drug for a certain disease usually involves the search of enormous amount,An earlier step in developing a drug for a certain disease usually involves the search of enormous amount,of molecules to create a small subset of candidates for further laboratory testing. To reduce experimental,of molecules to create a small subset of candidates for further laboratory testing. To reduce experimental,1,0,1,1,1,9.96,9.96,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1
of molecules to create a small subset of candidates for further laboratory testing. To reduce experimental,of molecules to create a small subset of candidates for further laboratory testing. To reduce experimental,"costs and to produce drug candidates more efficiently, many computational approaches have been developed to generate novel molecules 6, 7, 8, 9, 10. These approaches usually take some existing molecules","oped to generate novel molecules [6, 7, 8, 9, 10]. These approaches usually take some existing molecules",4.92,0,1,1,0,9.96,9.96,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1
"costs and to produce drug candidates more efficiently, many computational approaches have been developed to generate novel molecules 6, 7, 8, 9, 10. These approaches usually take some existing molecules","oped to generate novel molecules [6, 7, 8, 9, 10]. These approaches usually take some existing molecules",as inputs and generate valid but different molecules with high variety. Validity basically means that the,as inputs and generate valid but different molecules with high variety. Validity basically means that the,1,0,1,0,1,9.96,9.96,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1
as inputs and generate valid but different molecules with high variety. Validity basically means that the,as inputs and generate valid but different molecules with high variety. Validity basically means that the,"generated molecules are possible to be synthesized. At the same time, high variety will ensure that the generated molecules span over a reasonably large molecular space in hope that some of them will have desired",erated molecules span over a reasonably large molecular space in hope that some of them will have desired,4.92,0,1,1,1,9.96,9.96,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1
"generated molecules are possible to be synthesized. At the same time, high variety will ensure that the generated molecules span over a reasonably large molecular space in hope that some of them will have desired",erated molecules span over a reasonably large molecular space in hope that some of them will have desired,properties. Computational approaches are usually evaluated based on these two metrics.,properties. Computational approaches are usually evaluated based on these two metrics.,1,0,1,1,1,9.96,9.96,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1
properties. Computational approaches are usually evaluated based on these two metrics.,properties. Computational approaches are usually evaluated based on these two metrics.,"Generally speaking, existing computational approaches can be characterized as two different types based","Generally speaking, existing computational approaches can be characterized as two different types based",1,14.94,0,1,1,9.96,9.96,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,2,2,0
"Generally speaking, existing computational approaches can be characterized as two different types based","Generally speaking, existing computational approaches can be characterized as two different types based","on whether they can incorporate certain constrains. For some approaches 6, 7, any molecules can be","on whether they can incorporate certain constrains. For some approaches [6, 7], any molecules can be",1,-14.94,0,1,1,9.96,9.96,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1
"on whether they can incorporate certain constrains. For some approaches 6, 7, any molecules can be","on whether they can incorporate certain constrains. For some approaches [6, 7], any molecules can be","generated, i.e., the generation of molecules has no constraints associated with them. For the second type","generated, i.e., the generation of molecules has no constraints associated with them. For the second type",1,0,1,1,0,9.96,9.96,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1
"generated, i.e., the generation of molecules has no constraints associated with them. For the second type","generated, i.e., the generation of molecules has no constraints associated with them. For the second type","of approaches 8, 9, 10, they only generate molecules satisfying certain constrains. For example, all the","of approaches [8, 9, 10], they only generate molecules satisfying certain constrains. For example, all the",1,0,1,0,0,9.96,9.96,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1
"of approaches 8, 9, 10, they only generate molecules satisfying certain constrains. For example, all the","of approaches [8, 9, 10], they only generate molecules satisfying certain constrains. For example, all the","generated molecules must include some fixed substructures such as ring structures. In other cases, the","generated molecules must include some fixed substructures such as ring structures. In other cases, the",1,0,1,0,1,9.96,9.96,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1
"generated molecules must include some fixed substructures such as ring structures. In other cases, the","generated molecules must include some fixed substructures such as ring structures. In other cases, the","constraints can be task specifics, for example, many approaches 11, 12, 13, 14, 15 have been developed to","constraints can be task specifics, for example, many approaches [11, 12, 13, 14, 15] have been developed to",1,0,1,1,0,9.96,9.96,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1
"constraints can be task specifics, for example, many approaches 11, 12, 13, 14, 15 have been developed to","constraints can be task specifics, for example, many approaches [11, 12, 13, 14, 15] have been developed to",generate molecules that bind to certain protein binding sites.,generate molecules that bind to certain protein binding sites.,1,0,1,0,0,9.96,9.96,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1
generate molecules that bind to certain protein binding sites.,generate molecules that bind to certain protein binding sites.,Early computational approaches for molecule generation were mostly applications of generative deep,Early computational approaches for molecule generation were mostly applications of generative deep,1,14.94,0,0,1,9.96,9.96,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,2,2,0
Early computational approaches for molecule generation were mostly applications of generative deep,Early computational approaches for molecule generation were mostly applications of generative deep,"learning models, such as variational autoencoder 16. More recently, there was a shift from generations of","learning models, such as variational autoencoder [16]. More recently, there was a shift from generations of",1,-14.94,0,1,0,9.96,9.96,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1
"learning models, such as variational autoencoder 16. More recently, there was a shift from generations of","learning models, such as variational autoencoder [16]. More recently, there was a shift from generations of","whole molecules all at once, to iterative generations of atoms and bonds 6, 8. Many of such approaches","whole molecules all at once, to iterative generations of atoms and bonds [6, 8]. Many of such approaches",1,0,1,0,0,9.96,9.96,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1
"whole molecules all at once, to iterative generations of atoms and bonds 6, 8. Many of such approaches","whole molecules all at once, to iterative generations of atoms and bonds [6, 8]. Many of such approaches",utilized GNN modules as backbones to generate molecules with specific substructures or with high binding,utilized GNN modules as backbones to generate molecules with specific substructures or with high binding,1,0,1,0,1,9.96,9.96,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1
utilized GNN modules as backbones to generate molecules with specific substructures or with high binding,utilized GNN modules as backbones to generate molecules with specific substructures or with high binding,affinity to specific proteins 8.,affinity to specific proteins [8].,1,0,1,1,0,9.96,9.96,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1
affinity to specific proteins 8.,affinity to specific proteins [8].,1.2 Molecular Property Prediction,Molecular Property Prediction,5.94,26.9,0,0,0,9.96,11.96,1.99,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,2,2,0
1.2 Molecular Property Prediction,Molecular Property Prediction,"Once drug candidates are selected, researchers need to study drugable properties of candidate molecules,","Once drug candidates are selected, researchers need to study drugable properties of candidate molecules,",3.09,-26.9,0,0,1,11.96,9.96,-1.99,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,2,2,0
"Once drug candidates are selected, researchers need to study drugable properties of candidate molecules,","Once drug candidates are selected, researchers need to study drugable properties of candidate molecules,","such as toxicity and possible adverse effects, water solubility, and binding affinity to target proteins. Experimental studies are slow and costly. With quick accumulation of high-quality training data, a great number","imental studies are slow and costly. With quick accumulation of high-quality training data, a great number",4.92,0,1,1,1,9.96,9.96,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1
"such as toxicity and possible adverse effects, water solubility, and binding affinity to target proteins. Experimental studies are slow and costly. With quick accumulation of high-quality training data, a great number","imental studies are slow and costly. With quick accumulation of high-quality training data, a great number","of computational methods for molecular property prediction have been developed 17, 18, 19, 20, the goals","of computational methods for molecular property prediction have been developed [17, 18, 19, 20], the goals",1,0,1,1,1,9.96,9.96,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1
"of computational methods for molecular property prediction have been developed 17, 18, 19, 20, the goals","of computational methods for molecular property prediction have been developed [17, 18, 19, 20], the goals",of which are to reduce the need for extensive experimental validation and to accelerate the drug discovery,of which are to reduce the need for extensive experimental validation and to accelerate the drug discovery,1,0,1,1,1,9.96,9.96,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1
of which are to reduce the need for extensive experimental validation and to accelerate the drug discovery,of which are to reduce the need for extensive experimental validation and to accelerate the drug discovery,process.,process.,1,0,1,1,0,9.96,9.96,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1
process.,process.,"Molecular properties can be classified into different categories based on their levels, from molecular","Molecular properties can be classified into different categories based on their levels, from molecular",1,14.94,0,0,1,9.96,9.96,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,2,2,0
"Molecular properties can be classified into different categories based on their levels, from molecular","Molecular properties can be classified into different categories based on their levels, from molecular","level e.g., quantum mechanics to physiological level 21. Computationally, the tasks of molecular property prediction can be categorized into two broad classes based on their inputs: predictions based on single molecules i.e., drug candidates 17, 22, 23, and predictions of relationships based on two or more","gle molecules (i.e., drug candidates) [17, 22, 23], and predictions of relationships based on two or more",8.84,-14.94,0,1,0,9.96,9.96,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1
"level e.g., quantum mechanics to physiological level 21. Computationally, the tasks of molecular property prediction can be categorized into two broad classes based on their inputs: predictions based on single molecules i.e., drug candidates 17, 22, 23, and predictions of relationships based on two or more","gle molecules (i.e., drug candidates) [17, 22, 23], and predictions of relationships based on two or more","molecules e.g., drug-target or protein-ligand 24, 25, 26. The predictions based on single molecules can","molecules (e.g., drug-target or protein-ligand) [24, 25, 26]. The predictions based on single molecules can",1,0,1,0,0,9.96,9.96,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1
"molecules e.g., drug-target or protein-ligand 24, 25, 26. The predictions based on single molecules can","molecules (e.g., drug-target or protein-ligand) [24, 25, 26]. The predictions based on single molecules can",be either classification-based or regression-based. The goal of classification tasks is to predict the presence/absence of certain properties. The regression tasks focus on the prediction of the quantitative value of,ence/absence of certain properties. The regression tasks focus on the prediction of the quantitative value of,4.92,0,1,0,1,9.96,9.96,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1
be either classification-based or regression-based. The goal of classification tasks is to predict the presence/absence of certain properties. The regression tasks focus on the prediction of the quantitative value of,ence/absence of certain properties. The regression tasks focus on the prediction of the quantitative value of,"a particular property of a molecule. Similarly, relationships among molecules 27, 28 can be represented by","a particular property of a molecule. Similarly, relationships among molecules [27, 28] can be represented by",1,0,1,1,1,9.96,9.96,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1
"a particular property of a molecule. Similarly, relationships among molecules 27, 28 can be represented by","a particular property of a molecule. Similarly, relationships among molecules [27, 28] can be represented by",a binary value or a numerical value. Examples of the former include whether a protein and a target interact.,a binary value or a numerical value. Examples of the former include whether a protein and a target interact.,1,0,1,1,1,9.96,9.96,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1
a binary value or a numerical value. Examples of the former include whether a protein and a target interact.,a binary value or a numerical value. Examples of the former include whether a protein and a target interact.,The affinity score between two molecules is an example of the latter.,The affinity score between two molecules is an example of the latter.,1,0,1,1,0,9.96,9.96,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,2,2,1
The affinity score between two molecules is an example of the latter.,The affinity score between two molecules is an example of the latter.,"Traditionally, drug property prediction heavily relied on classical machine learning techniques such as","Traditionally, drug property prediction heavily relied on classical machine learning techniques such as",1,14.94,0,0,1,9.96,9.96,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,2,2,0
"Traditionally, drug property prediction heavily relied on classical machine learning techniques such as","Traditionally, drug property prediction heavily relied on classical machine learning techniques such as","random forests or support vector machines 2, necessitating deep domain knowledge for feature engineering. With the emergence of deep learning, there was a significant shift towards neural network based models 2, 29. This transition marked a move from one-dimensional string representations of drugs to richer","els [2, 29]. This transition marked a move from one-dimensional string representations of drugs to richer",8.84,-14.94,0,1,0,9.96,9.96,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1
"random forests or support vector machines 2, necessitating deep domain knowledge for feature engineering. With the emergence of deep learning, there was a significant shift towards neural network based models 2, 29. This transition marked a move from one-dimensional string representations of drugs to richer","els [2, 29]. This transition marked a move from one-dimensional string representations of drugs to richer","two-dimensional graph and three-dimensional conformation models, broadening the scope and accuracy of","two-dimensional graph and three-dimensional conformation models, broadening the scope and accuracy of",1,0,1,0,1,9.96,9.96,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1
"two-dimensional graph and three-dimensional conformation models, broadening the scope and accuracy of","two-dimensional graph and three-dimensional conformation models, broadening the scope and accuracy of","drug property prediction. In particular, GNNs, which take in a molecular graph representation and directly","drug property prediction. In particular, GNNs, which take in a molecular graph representation and directly",1,0,1,1,1,9.96,9.96,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1
"predict molecular properties, have attracted substantial attention in cheminformatics and bioinformatics  e.g.,","predict molecular properties, have attracted substantial attention in cheminformatics and bioinformatics (e.g.,",30,[30]).,1,0,1,1,0,9.96,9.96,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,3,3,1
30,[30]).,1.3 Drug-Drug Interaction Prediction,Drug-Drug Interaction Prediction,5.78,26.9,0,0,0,9.96,11.96,1.99,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,3,3,0
1.3 Drug-Drug Interaction Prediction,Drug-Drug Interaction Prediction,"In the treatment of complex diseases such as cancer and neurological disorders, combinational drug therapies","In the treatment of complex diseases such as cancer and neurological disorders, combinational drug therapies",3.09,-26.9,0,0,1,11.96,9.96,-1.99,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,3,3,0
"In the treatment of complex diseases such as cancer and neurological disorders, combinational drug therapies","In the treatment of complex diseases such as cancer and neurological disorders, combinational drug therapies","have shown promise in improving treatment efficacy by targeting multiple biological pathways simultaneously 4, 31, 32. However, as the number of possible drug combinations grows with the increasing number","ously [4, 31, 32]. However, as the number of possible drug combinations grows with the increasing number",4.92,0,1,1,0,9.96,9.96,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,3,3,1
"have shown promise in improving treatment efficacy by targeting multiple biological pathways simultaneously 4, 31, 32. However, as the number of possible drug combinations grows with the increasing number","ously [4, 31, 32]. However, as the number of possible drug combinations grows with the increasing number","of available drugs, the potential for undetected and unexpected drug-drug interaction DDIs also rises 33.","of available drugs, the potential for undetected and unexpected drug-drug interaction (DDIs) also rises [33].",1,0,1,0,1,9.96,9.96,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,3,3,1
"of available drugs, the potential for undetected and unexpected drug-drug interaction DDIs also rises 33.","of available drugs, the potential for undetected and unexpected drug-drug interaction (DDIs) also rises [33].","Such interactions can lead to reduction of therapeutic effectiveness, adverse side effects 34, and sometimes","Such interactions can lead to reduction of therapeutic effectiveness, adverse side effects [34], and sometimes",1,0,1,1,1,9.96,9.96,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,3,3,1
