text_a,span_text_a,text_b,span_text_b,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,is_centered_B,font_size_a,font_size_b,font_size_diff,same_font,is_bold_A,is_bold_B,is_italic_A,is_italic_B,is_monospace_A,is_monospace_B,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,label
Alternative and Integrative Medicine,Alternative and Integrative Medicine,"El Sayed et al., Altern Integ Med 2013, 2:3","El Sayed et al., Altern Integ Med 2013, 2:3",-2.36,350,0,0,0,18,8,-10,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
"El Sayed et al., Altern Integ Med 2013, 2:3","El Sayed et al., Altern Integ Med 2013, 2:3",http://dx.doi.org/10.4172/2327-5162.1000111,http://dx.doi.org/10.4172/2327-5162.1000111,-1.79,0,1,0,0,8,8,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1
http://dx.doi.org/10.4172/2327-5162.1000111,http://dx.doi.org/10.4172/2327-5162.1000111,Review Article Open Access,Review Article,1.71,-392,0,0,1,8,9,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0
Review Article Open Access,Review Article,Methods of Wet Cupping Therapy Al-Hijamah: In Light of Modern Medicine and Prophetic Medicine,Methods of Wet Cupping Therapy (Al-Hijamah): In Light of Modern,-8.71,0,1,1,1,9,16,7,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0
Methods of Wet Cupping Therapy Al-Hijamah: In Light of Modern Medicine and Prophetic Medicine,Methods of Wet Cupping Therapy (Al-Hijamah): In Light of Modern,"El Sayed SM 1 *, Mahmoud HS 2 and Nabo MMH 3,4","El Sayed SM1*, Mahmoud HS2 and Nabo MMH3,4",-8.71,0,1,1,1,16,8,-8,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0
"El Sayed SM 1 *, Mahmoud HS 2 and Nabo MMH 3,4","El Sayed SM1*, Mahmoud HS2 and Nabo MMH3,4","1 Department of Medical Biochemistry, Sohag Faculty of Medicine, Sohag University, Egypt","1Department of Medical Biochemistry, Sohag Faculty of Medicine, Sohag University, Egypt",-8.71,0,1,1,1,8,4.08,-3.92,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
"1 Department of Medical Biochemistry, Sohag Faculty of Medicine, Sohag University, Egypt","1Department of Medical Biochemistry, Sohag Faculty of Medicine, Sohag University, Egypt","2 World Federation of Alternative and Complementary Medicine, Cairo Regional Headquarter, Cairo, Egypt","2World Federation of Alternative and Complementary Medicine, Cairo Regional Headquarter, Cairo, Egypt",-8.71,0,1,1,1,4.08,4.08,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1
"2 World Federation of Alternative and Complementary Medicine, Cairo Regional Headquarter, Cairo, Egypt","2World Federation of Alternative and Complementary Medicine, Cairo Regional Headquarter, Cairo, Egypt","3 Department of Pediatrics, Sohag Teaching Hospital, Sohag, Egypt","3Department of Pediatrics, Sohag Teaching Hospital, Sohag, Egypt",-8.71,0,1,1,1,4.08,4.08,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1
"3 Department of Pediatrics, Sohag Teaching Hospital, Sohag, Egypt","3Department of Pediatrics, Sohag Teaching Hospital, Sohag, Egypt","4 Division of Pediatric cardiology, Department of Pediatrics, Maternity and Children Hospital, King Abdullah Medical City, Al-Madinah Al-Munawwarah, Kingdom of Saudi","4Division of Pediatric cardiology, Department of Pediatrics, Maternity and Children Hospital, King Abdullah Medical City, Al-Madinah Al-Munawwarah, Kingdom of Saudi",-8.71,0,1,1,1,4.08,4.08,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1
"4 Division of Pediatric cardiology, Department of Pediatrics, Maternity and Children Hospital, King Abdullah Medical City, Al-Madinah Al-Munawwarah, Kingdom of Saudi","4Division of Pediatric cardiology, Department of Pediatrics, Maternity and Children Hospital, King Abdullah Medical City, Al-Madinah Al-Munawwarah, Kingdom of Saudi",Arabia,Arabia,-8.71,0,1,1,1,4.08,7,2.92,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1
Arabia,Arabia,Abstract,Abstract,1,59,0,1,1,7,9,2,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0
