text_a,span_text_a,text_b,span_text_b,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,is_centered_B,font_size_a,font_size_b,font_size_diff,same_font,is_bold_A,is_bold_B,is_italic_A,is_italic_B,is_monospace_A,is_monospace_B,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,is_linea_hashed,is_lineb_hashed,both_hashed,neither_hashed,label
LQA - LIVING QUARTERS ALLOWANCE ANNUAL/INTERIM EXPENDITURES,LQA - LIVING QUARTERS ALLOWANCE ANNUAL/INTERIM EXPENDITURES,WORK SHEET DSSR 130,WORK SHEET (DSSR 130),-1.89,0,1,1,1,12,12,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
WORK SHEET DSSR 130,WORK SHEET (DSSR 130),Allowable expenses under the Living Quarters Allowance are reported here to process a claim on the SF-1190. This,Allowable expenses under the Living Quarters Allowance are reported here to process a claim on the SF-1190.  This,-1.89,0,1,1,1,12,10,-2,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0
Allowable expenses under the Living Quarters Allowance are reported here to process a claim on the SF-1190. This,Allowable expenses under the Living Quarters Allowance are reported here to process a claim on the SF-1190.  This,Allowable expenses under the Living Quarters Allowance are reported here to proc work sheet is reproducible locally.Col2Col3Col4Col5cess a claim on the SF-1190. ThisCol7,work sheet is reproducible locally.,-1.89,0,1,1,1,10,10,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0
Allowable expenses under the Living Quarters Allowance are reported here to proc work sheet is reproducible locally.Col2Col3Col4Col5cess a claim on the SF-1190. ThisCol7,work sheet is reproducible locally.,"Employee NameLast, First, MI. 1.Employee NameLast, First, MI. 1.Employee NameLast, First, MI. 1.Employee NameLast, First, MI. 1.Employee NameLast, First, MI. 1.2. Agency2. Agency","Employee Name (Last, First, MI.)",0.26,16,0,1,0,10,10,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,1,0
"Employee NameLast, First, MI. 1.Employee NameLast, First, MI. 1.Employee NameLast, First, MI. 1.Employee NameLast, First, MI. 1.Employee NameLast, First, MI. 1.2. Agency2. Agency","Employee Name (Last, First, MI.)",Pay Plan/Series/Grade/Annual Salary 3.Pay Plan/Series/Grade/Annual Salary 3.Pay Plan/Series/Grade/Annual Salary 3.Pay Plan/Series/Grade/Annual Salary 3.Pay Plan/Series/Grade/Annual Salary 3.4. Date ofmm-dd-yyyy4. Date ofmm-dd-yyyy,Pay Plan/Series/Grade/Annual Salary,-3.15,0,1,0,0,10,10,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,1,1
Pay Plan/Series/Grade/Annual Salary 3.Pay Plan/Series/Grade/Annual Salary 3.Pay Plan/Series/Grade/Annual Salary 3.Pay Plan/Series/Grade/Annual Salary 3.Pay Plan/Series/Grade/Annual Salary 3.4. Date ofmm-dd-yyyy4. Date ofmm-dd-yyyy,Pay Plan/Series/Grade/Annual Salary,Current Post/Country of Assignment/Locality Code 5.Current Post/Country of Assignment/Locality Code 5.Current Post/Country of Assignment/Locality Code 5.Current Post/Country of Assignment/Locality Code 5.Current Post/Country of Assignment/Locality Code 5.Current Post/Country of Assignment/Locality Code 5.Current Post/Country of Assignment/Locality Code 5.,Current Post/Country of Assignment/Locality Code,-3.15,0,1,0,0,10,10,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,1,1
Current Post/Country of Assignment/Locality Code 5.Current Post/Country of Assignment/Locality Code 5.Current Post/Country of Assignment/Locality Code 5.Current Post/Country of Assignment/Locality Code 5.Current Post/Country of Assignment/Locality Code 5.Current Post/Country of Assignment/Locality Code 5.Current Post/Country of Assignment/Locality Code 5.,Current Post/Country of Assignment/Locality Code,6. If Spouse or Domestic Partner is Employed by the U.S. Government: Spouse's or Domestic Partner's Name Quarters Allowance Received6. If Spouse or Domestic Partner is Employed by the U.S. Government: Spouse's or Domestic Partner's Name Quarters Allowance Received6. If Spouse or Domestic Partner is Employed by the U.S. Government: Spouse's or Domestic Partner's Name Quarters Allowance Received6. If Spouse or Domestic Partner is Employed by the U.S. Government: Spouse's or Domestic Partner's Name Quarters Allowance Received6. If Spouse or Domestic Partner is Employed by the U.S. Government: Spouse's or Domestic Partner's Name Quarters Allowance Received6. If Spouse or Domestic Partner is Employed by the U.S. Government: Spouse's or Domestic Partner's Name Quarters Allowance Received6. If Spouse or Domestic Partner is Employed by the U.S. Government: Spouse's or Domestic Partner's Name Quarters Allowance Received,6. If Spouse or Domestic Partner is Employed by the U.S. Government:,1,-16,0,0,0,10,10,0,1,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,1,1
6. If Spouse or Domestic Partner is Employed by the U.S. Government: Spouse's or Domestic Partner's Name Quarters Allowance Received6. If Spouse or Domestic Partner is Employed by the U.S. Government: Spouse's or Domestic Partner's Name Quarters Allowance Received6. If Spouse or Domestic Partner is Employed by the U.S. Government: Spouse's or Domestic Partner's Name Quarters Allowance Received6. If Spouse or Domestic Partner is Employed by the U.S. Government: Spouse's or Domestic Partner's Name Quarters Allowance Received6. If Spouse or Domestic Partner is Employed by the U.S. Government: Spouse's or Domestic Partner's Name Quarters Allowance Received6. If Spouse or Domestic Partner is Employed by the U.S. Government: Spouse's or Domestic Partner's Name Quarters Allowance Received6. If Spouse or Domestic Partner is Employed by the U.S. Government: Spouse's or Domestic Partner's Name Quarters Allowance Received,6. If Spouse or Domestic Partner is Employed by the U.S. Government:,7. Family Domiciled at Post7. Family Domiciled at Post7. Family Domiciled at Post7. Family Domiciled at Post7. Family Domiciled at Post7. Family Domiciled at Post7. Family Domiciled at Post,7. Family Domiciled at Post,-3.11,0,1,0,0,10,10,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,1,1
7. Family Domiciled at Post7. Family Domiciled at Post7. Family Domiciled at Post7. Family Domiciled at Post7. Family Domiciled at Post7. Family Domiciled at Post7. Family Domiciled at Post,7. Family Domiciled at Post,Name of Family MemberRelationshipDOB Except  Spouse or Domestic Partner mm-dd-yyyyPercentage of SupportDate of Arrival at Post mm-dd-yyyyDate of Arrival at Post mm-dd-yyyyResidence Address,Relationship,0.81,77,0,0,0,10,10,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1,1
Name of Family MemberRelationshipDOB Except  Spouse or Domestic Partner mm-dd-yyyyPercentage of SupportDate of Arrival at Post mm-dd-yyyyDate of Arrival at Post mm-dd-yyyyResidence Address,Relationship,8. Family Domiciled Away From Post8. Family Domiciled Away From Post8. Family Domiciled Away From Post8. Family Domiciled Away From Post8. Family Domiciled Away From Post8. Family Domiciled Away From Post8. Family Domiciled Away From Post,8. Family Domiciled Away From Post,6.44,-77,0,0,0,10,10,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1,1
