text_a,span_text_a,text_b,span_text_b,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,is_centered_B,font_size_a,font_size_b,font_size_diff,same_font,is_bold_A,is_bold_B,is_italic_A,is_italic_B,is_monospace_A,is_monospace_B,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,is_linea_hashed,is_lineb_hashed,both_hashed,neither_hashed,page_number_a,page_number_b,label
Review,Review,"An Overview of the Nutritional Requirements of Honey Bees  Apis mellifera Linnaeus, 1758",An Overview of the Nutritional Requirements of Honey Bees,1.35,-0.37,1,0,1,9.96,17.93,7.97,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0
"An Overview of the Nutritional Requirements of Honey Bees  Apis mellifera Linnaeus, 1758",An Overview of the Nutritional Requirements of Honey Bees,"Leticia S. Ansaloni , Janja Kristl, Caio E. C. Domingues and Aleš Gregorc**","Leticia S. Ansaloni *, Janja Kristl, Caio E. C. Domingues",8.67,0.7,1,1,0,17.93,9.96,-7.97,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0
"Leticia S. Ansaloni , Janja Kristl, Caio E. C. Domingues and Aleš Gregorc**","Leticia S. Ansaloni *, Janja Kristl, Caio E. C. Domingues","Faculty of Agriculture and Life Sciences, University of Maribor, Pivola 10, 2311 Hoˇce, Slovenia;","Faculty of Agriculture and Life Sciences, University of Maribor, Pivola 10, 2311 Hoˇce, Slovenia;",5.18,130.68,0,0,1,9.96,7.97,-1.99,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0
"Faculty of Agriculture and Life Sciences, University of Maribor, Pivola 10, 2311 Hoˇce, Slovenia;","Faculty of Agriculture and Life Sciences, University of Maribor, Pivola 10, 2311 Hoˇce, Slovenia;",janja.kristl@um.si J.K.; cecdomingues@gmail.com C.E.C.D.; ales.gregorc@um.si A.G.,janja.kristl@um.si (J.K.); cecdomingues@gmail.com (C.E.C.D.); ales.gregorc@um.si (A.G.),0.68,0,1,1,1,7.97,7.97,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
janja.kristl@um.si J.K.; cecdomingues@gmail.com C.E.C.D.; ales.gregorc@um.si A.G.,janja.kristl@um.si (J.K.); cecdomingues@gmail.com (C.E.C.D.); ales.gregorc@um.si (A.G.),***** Correspondence: leticia.salvioni1@um.si,* Correspondence: leticia.salvioni1@um.si,0.69,-0.71,1,1,0,7.97,7.97,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1
***** Correspondence: leticia.salvioni1@um.si,* Correspondence: leticia.salvioni1@um.si,Simple Summary: It is well documented in the literature that bees have been facing,Simple Summary: It is well documented in the literature that bees have been facing,3.54,0.71,1,0,0,7.97,10.06,2.09,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0
Simple Summary: It is well documented in the literature that bees have been facing,Simple Summary: It is well documented in the literature that bees have been facing,"numerous stressors in recent decades. Although honey bees are well managed worldwide,","numerous stressors in recent decades. Although honey bees are well managed worldwide,",1,0,1,0,0,10.06,9.91,-0.15,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
"numerous stressors in recent decades. Although honey bees are well managed worldwide,","numerous stressors in recent decades. Although honey bees are well managed worldwide,",they have not been unaffected by these challenges. Honey bees are important for pollination,they have not been unaffected by these challenges. Honey bees are important for pollination,0.96,0,1,0,0,9.91,9.86,-0.05,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
they have not been unaffected by these challenges. Honey bees are important for pollination,they have not been unaffected by these challenges. Honey bees are important for pollination,"in various crops, for the beekeeping sector and for the natural habitats as well. However, to","in various crops, for the beekeeping sector and for the natural habitats as well. However, to",0.96,0,1,0,0,9.86,9.86,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
"in various crops, for the beekeeping sector and for the natural habitats as well. However, to","in various crops, for the beekeeping sector and for the natural habitats as well. However, to","perform this role effectively, they require proper nutrition to support their healthy growth","perform this role effectively, they require proper nutrition to support their healthy growth",0.96,-0.3,1,0,0,9.86,9.93,0.07,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
