text,bbox,page_number,avg_font_size,word_count,is_all_caps,char_density,ratio_of_verbs,ratio_capitalized,ends_with_colon,is_bold,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,font_size_diff,same_font,is_bold_A,is_italic_A,is_monospace_A,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,is_linea_hashed,is_lineb_hashed,both_hashed,neither_hashed,title_label
Computer Hacking,"[0, 0, 100, 20]",2,29.99,2,0,0.0075,0.5,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"A beginners guide to computer hacking, how to hack, internet skills, hacking techniques, and more!","[0, 0, 100, 20]",2,27.74,15,0,0.042,0.2,0.06666666666666667,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
Table Of Contents,"[0, 0, 100, 20]",3,21.0,3,0,0.0075,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
Introduction Chapter 1 – What is Hacking?,"[0, 0, 100, 20]",3,15.0,7,0,0.0175,0.2857142857142857,0.6666666666666666,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
Chapter 2 – Ethical Hacking 101 Chapter 3 – Hacking Basics Chapter 4 – Network Hacking Basics Chapter 5 – Hacking Your Own Windows Password Conclusion,"[0, 0, 100, 20]",3,15.0,26,0,0.0625,0.0,0.7727272727272727,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
Introduction,"[0, 0, 100, 20]",3,15.0,1,0,0.006,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"I want to thank you and congratulate you for downloading the book, “Computer Hacking”.","[0, 0, 100, 20]",4,15.0,14,0,0.0365,0.25,0.21428571428571427,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
"This book contains helpful information about computer hacking, and the skills required to hack.","[0, 0, 100, 20]",4,15.0,14,0,0.041,0.21428571428571427,0.07142857142857142,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
"This book is aimed at beginners, and will take you through the basics of computer hacking. You will learn about the different types of hacking, the primary hacking methods, and different areas of a system that can be hacked.","[0, 0, 100, 20]",4,15.0,39,0,0.093,0.15384615384615385,0.05128205128205128,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,
"This book includes great tips and techniques that will help you to begin developing your own computer hacking skills! You will discover some basic hacks you can do right away, and be pointed in the direction of software that will assist your hacking escapades.","[0, 0, 100, 20]",4,15.0,44,0,0.1085,0.25,0.045454545454545456,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,
