text,bbox,page_number,avg_font_size,word_count,is_all_caps,char_density,ratio_of_verbs,ratio_capitalized,ends_with_colon,is_bold,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,font_size_diff,same_font,is_bold_A,is_italic_A,is_monospace_A,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,is_linea_hashed,is_lineb_hashed,both_hashed,neither_hashed,title_label
"Note: If you select Retain Some Layers In The Selected Page, you’ll be prompted to choose which Visio layers to include. 1. Click Convert To Adobe PDF, specify a location and filename, and click Save .","[0, 0, 100, 20]",1,12.0,36,0,0.083,0.21621621621621623,0.4444444444444444,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,
Select Visio layers to convert Acrobat Pro,"[0, 0, 100, 20]",1,16.02,7,0,0.018,0.14285714285714285,0.5714285714285714,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"You can convert a Visio drawing that contains layers to a PDF and retain some or all of the layers in the resulting PDF, or you can flatten the layers. You can also organize the Visio layers in layer sets, which are folders in the Acrobat Layers panel.","[0, 0, 100, 20]",1,12.0,48,0,0.1025,0.14583333333333334,0.16666666666666666,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,
"1. With the multilayered file open in Visio, click a button in the Adobe PDF toolbar, and select Retain Some Layers In The Selected Page .","[0, 0, 100, 20]",1,12.0,26,0,0.0565,0.08,0.44,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,
"Note: If the Retain Some Layers In The Selected Page option is not available, deselect the Convert All Pages In Drawing option. 2. Select one or more layers in the Layers In Visio Drawing list. 3. To add the selected Visio layers to the list of layers to convert to the PDF file, do one of the following:","[0, 0, 100, 20]",1,12.0,58,0,0.1235,0.10344827586206896,0.3793103448275862,1,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,
"To convert the selected Visio layers to individual PDF layers within a PDF layer set, click Create Layer Set, and optionally, type a layer name.","[0, 0, 100, 20]",1,12.0,25,0,0.06,0.12,0.28,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,
"To convert the selected Visio layers to individual layers but not grouped under a layer set, click the Add Layers button.","[0, 0, 100, 20]",1,12.0,21,0,0.0505,0.19047619047619047,0.19047619047619047,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,
"Note: The name of a layer in the Layers In Visio Drawing list is unavailable if that layer is included in the Layers In PDF list. When you select that layer in the Layers In PDF list, a bullet appears next to the layer’s name in the Layers In Visio Drawing list.","[0, 0, 100, 20]",1,12.0,52,0,0.1055,0.09259259259259259,0.32075471698113206,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,
"4. Optionally, do any of the following:","[0, 0, 100, 20]",1,12.0,7,0,0.0165,0.14285714285714285,0.14285714285714285,1,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
"To reorder the layers in the Layers In PDF list, drag an item up or down in the list.","[0, 0, 100, 20]",1,12.0,19,0,0.0335,0.10526315789473684,0.21052631578947367,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,
"To include a visibility property that can be switched on or off in Acrobat, deselect Locked On adjacent to the PDF layer; to lock the resulting PDF layer’s visibility on, select Locked On .","[0, 0, 100, 20]",1,12.0,34,0,0.078,0.22857142857142856,0.23529411764705882,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,
"To save the current settings of Visio layers selected, click Save PDF Settings, and click OK . These settings are used the next time you convert the current Visio file to a PDF file.","[0, 0, 100, 20]",1,12.0,34,0,0.0745,0.15151515151515152,0.2727272727272727,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,
"5. Click Convert To PDF, specify a folder in the Save In box in which to save the PDF file, type a filename, and then click Save .","[0, 0, 100, 20]",1,12.0,28,0,0.0515,0.14814814814814814,0.2962962962962963,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,
"Note: Visio layers that were selected for conversion and that have Visio settings for visible, printable, or lock are converted to PDF layers; the visible and printable properties are included in the resulting PDF layers. If the Visio file contains a background page, header, or footer, the PDF file automatically has PDF layers named for those items.","[0, 0, 100, 20]",2,12.0,57,0,0.1475,0.19298245614035087,0.15789473684210525,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,
