text,bbox,page_number,avg_font_size,word_count,is_all_caps,char_density,ratio_of_verbs,ratio_capitalized,ends_with_colon,is_bold,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,font_size_diff,same_font,is_bold_A,is_italic_A,is_monospace_A,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,is_linea_hashed,is_lineb_hashed,both_hashed,neither_hashed,title_label
Edit text in a PDF,"[0, 0, 100, 20]",2,24.0,5,0,0.007,0.0,0.4,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"Open the PDF you want to edit in Acrobat, and then select Edit in the global bar.","[0, 0, 100, 20]",2,12.0,17,0,0.0325,0.23529411764705882,0.23529411764705882,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
"The PDF switches to the edit mode, and the Edit panel displays. If the PDF is generated from a scanned document, Acrobat automatically runs OCR to make the text and images editable.","[0, 0, 100, 20]",2,12.0,32,0,0.075,0.125,0.21875,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,
"The Edit panel includes options to modify the page, add content, redact a PDF, and convert various documents to PDF forms. You can use the options in the Edit panel to replace, edit, or add text to a PDF. You can correct typos, change fonts and typeface size, adjust alignment, add superscripts or subscripts, and resize text or paragraphs.","[0, 0, 100, 20]",2,12.0,59,0,0.141,0.2033898305084746,0.13559322033898305,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,
Set the default font for adding and editing text,"[0, 0, 100, 20]",3,16.02,9,0,0.02,0.2222222222222222,0.1111111111111111,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"When you add text in a PDF, by default Acrobat chooses nearby font attributes for the new text. When you edit text, any font that isn't available on the system is substituted by a default fall-back font for the particular script. For example, Minion Pro is the default fall-back font for Roman script fonts. The substitution of unavailable fonts by default fonts can introduce inconsistency in the look and feel of text in a PDF document. To avoid inconsistency, choose a specific font for any text that is added or modified in the PDF document from Font Options under Content Editing.","[0, 0, 100, 20]",3,12.0,101,0,0.2425,0.12745098039215685,0.15384615384615385,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,
"1. From the hamburger menu Windows or the Acrobat menu macOS, choose Preferences . The Preferences dialog box is displayed.","[0, 0, 100, 20]",3,12.0,20,0,0.052,0.10526315789473684,0.3157894736842105,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,
"Alternatively, you can press Ctrl+K keys on Windows® or Command+K keys on macOS.","[0, 0, 100, 20]",3,12.0,13,0,0.034,0.07692307692307693,0.4,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,
"2. In the dialog box, select Content Editing under Categories to display Font Options.","[0, 0, 100, 20]",3,12.0,14,0,0.0365,0.07142857142857142,0.42857142857142855,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
3. Select an appropriate font in the drop-down lists:,"[0, 0, 100, 20]",3,12.0,9,0,0.0225,0.0,0.1,1,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
