text,bbox,page_number,avg_font_size,word_count,is_all_caps,char_density,ratio_of_verbs,ratio_capitalized,ends_with_colon,is_bold,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,font_size_diff,same_font,is_bold_A,is_italic_A,is_monospace_A,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,is_linea_hashed,is_lineb_hashed,both_hashed,neither_hashed,title_label
Copy images,"[0, 0, 100, 20]",1,24.0,2,0,0.005,0.0,0.5,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"Use the Select tool to copy and paste individual images from a PDF to the clipboard, another","[0, 0, 100, 20]",1,12.0,17,0,0.038,0.17647058823529413,0.17647058823529413,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"application, or a file.","[0, 0, 100, 20]",1,12.0,4,0,0.01,0.0,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
Open the Preferences dialog box if you cannot select an image because of overlapping text.,"[0, 0, 100, 20]",1,12.0,15,0,0.038,0.1875,0.13333333333333333,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
"Select Acrobat in the upper-left macOS or Menu in the upper-left Windows, then","[0, 0, 100, 20]",1,12.0,13,0,0.033,0.0,0.26666666666666666,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"select Preferences . Under Categories, Select General . Then select the Make Select tool select","[0, 0, 100, 20]",1,12.0,15,0,0.0405,0.07692307692307693,0.6153846153846154,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
images before text .,"[0, 0, 100, 20]",1,12.0,4,0,0.0085,0.0,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
"1. Using the Select tool, do one of the following:","[0, 0, 100, 20]",1,12.0,10,0,0.0205,0.2,0.2,1,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
"To select the entire image, select the image or drag a rectangle around it.","[0, 0, 100, 20]",1,12.0,14,0,0.031,0.21428571428571427,0.07142857142857142,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
"To select a portion of an image, hold the pointer over the image until the cross","[0, 0, 100, 20]",1,12.0,16,0,0.0325,0.125,0.0625,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
