text,bbox,page_number,avg_font_size,word_count,is_all_caps,char_density,ratio_of_verbs,ratio_capitalized,ends_with_colon,is_bold,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,font_size_diff,same_font,is_bold_A,is_italic_A,is_monospace_A,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,is_linea_hashed,is_lineb_hashed,both_hashed,neither_hashed,title_label
Fill and Sign PDF Forms,"[0, 0, 100, 20]",1,24.0,5,0,0.0095,0.0,0.8,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"You can easily fill, sign, and share your documents using Acrobat's Fill & Sign tool. Types","[0, 0, 100, 20]",1,12.0,16,0,0.038,0.125,0.3125,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
of PDF forms,"[0, 0, 100, 20]",1,12.0,3,0,0.005,0.0,0.3333333333333333,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
Types of PDF forms,"[0, 0, 100, 20]",2,24.0,4,0,0.0075,0.0,0.5,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
Interactive forms : These contain fields that you can select and fill in.,"[0, 0, 100, 20]",2,12.0,13,0,0.0305,0.25,0.16666666666666666,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
Flat forms : These do not have interactive fields. It could be a paper form or PDF that,"[0, 0, 100, 20]",2,12.0,18,0,0.035,0.17647058823529413,0.23529411764705882,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
hasn’t been optimized for form filling. The Fill & Sign tool automatically detects the,"[0, 0, 100, 20]",2,12.0,14,0,0.0365,0.2,0.21428571428571427,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"form fields like text fields, comb fields, checkboxes, and radio buttons. You can","[0, 0, 100, 20]",2,12.0,13,0,0.0345,0.0,0.07692307692307693,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
manually add text and other symbols anywhere on the form using the Fill & Sign tool if,"[0, 0, 100, 20]",2,12.0,17,0,0.035,0.125,0.125,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
required.,"[0, 0, 100, 20]",2,12.0,1,0,0.0045,1.0,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
You can complete the forms by entering information and adding your signatures. Acrobat,"[0, 0, 100, 20]",2,12.0,13,0,0.037,0.23076923076923078,0.15384615384615385,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
also allows you to send your completed forms to others and securely save them in Adobe,"[0, 0, 100, 20]",2,12.0,16,0,0.0355,0.25,0.0625,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
cloud storage.,"[0, 0, 100, 20]",2,12.0,2,0,0.0065,0.0,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
Fill and sign PDF forms,"[0, 0, 100, 20]",2,16.02,5,0,0.0095,0.0,0.4,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"To complete and sign PDF forms, open the form in Acrobat and then select E-Sign from the","[0, 0, 100, 20]",2,12.0,17,0,0.036,0.23529411764705882,0.2777777777777778,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"global bar. Alternatively, you can select All tools > Fill & Sign .","[0, 0, 100, 20]",2,12.0,13,0,0.0275,0.1,0.4,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
It displays the Fill & Sign tools in the left pane. You can now fill in the form fields and sign the,"[0, 0, 100, 20]",2,12.0,22,0,0.0395,0.19047619047619047,0.19047619047619047,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
form using the sign tools described in the following topics.,"[0, 0, 100, 20]",2,12.0,10,0,0.0255,0.2,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
To fill text fields:,"[0, 0, 100, 20]",2,16.02,4,0,0.0085,0.25,0.25,1,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
"1. From the left panel, select Fill in form fields, and then select the field where you","[0, 0, 100, 20]",2,12.0,17,0,0.0355,0.11764705882352941,0.11764705882352941,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
want to add text.,"[0, 0, 100, 20]",2,12.0,4,0,0.007,0.25,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
It displays a text field along with a toolbar.,"[0, 0, 100, 20]",2,12.0,9,0,0.019,0.1111111111111111,0.1111111111111111,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
2. Select the text field again and enter your text.,"[0, 0, 100, 20]",2,12.0,10,0,0.021,0.2,0.1,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
"3. To reposition the text box to align it with the text field, select the textbox and hover","[0, 0, 100, 20]",2,12.0,18,0,0.037,0.16666666666666666,0.05555555555555555,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"over it. Once you see a plus icon with arrows, move the textbox to the desired","[0, 0, 100, 20]",2,12.0,16,0,0.0315,0.1875,0.0625,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
position.,"[0, 0, 100, 20]",2,12.0,1,0,0.0045,0.0,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
"4. To edit the text, select the text box. Once you see the cursor and keypad, edit the text","[0, 0, 100, 20]",2,12.0,19,0,0.0365,0.21052631578947367,0.10526315789473684,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
and then click elsewhere to enter.,"[0, 0, 100, 20]",2,12.0,6,0,0.0145,0.3333333333333333,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
"5. To change the text size, select A or A as required.","[0, 0, 100, 20]",2,12.0,12,0,0.0215,0.25,0.25,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
Note:,"[0, 0, 100, 20]",3,12.0,1,0,0.0025,0.0,1.0,1,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
Resize the first annotation you place to fit the check box or radio button in the,"[0, 0, 100, 20]",3,12.0,16,0,0.033,0.1875,0.0625,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"document, and the next annotations you add will be of the same size and will fit the","[0, 0, 100, 20]",3,12.0,17,0,0.034,0.17647058823529413,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
rest of the box/circle fields.,"[0, 0, 100, 20]",3,12.0,5,0,0.013,0.0,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
"6. To change the text color, select the color from the quick toolbar and select a desired","[0, 0, 100, 20]",3,12.0,17,0,0.0365,0.17647058823529413,0.058823529411764705,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
color from the color palette.,"[0, 0, 100, 20]",3,12.0,5,0,0.0125,0.0,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
"The default color for signatures is black. To change the color of signatures, you must","[0, 0, 100, 20]",3,12.0,15,0,0.036,0.13333333333333333,0.13333333333333333,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
deselect the Keep signatures black checkbox.,"[0, 0, 100, 20]",3,12.0,6,0,0.0195,0.3333333333333333,0.16666666666666666,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
"7. To change the text style from normal to combed, from the textbox menu,","[0, 0, 100, 20]",3,12.0,14,0,0.03,0.14285714285714285,0.07142857142857142,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
select ellipsis > Character spacing .,"[0, 0, 100, 20]",3,12.0,6,0,0.016,0.0,0.25,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
"It changes the text style from normal to combed. To increase or decrease the spacing, you can","[0, 0, 100, 20]",4,12.0,17,0,0.0385,0.23529411764705882,0.11764705882352941,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
select the blue arrow icon and then drag it as desired.,"[0, 0, 100, 20]",4,12.0,11,0,0.0225,0.2727272727272727,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
"8. Once done, select the next field space and then enter your text in the text box. Use the","[0, 0, 100, 20]",4,12.0,19,0,0.0365,0.21052631578947367,0.10526315789473684,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
formatting options as desired.,"[0, 0, 100, 20]",4,12.0,4,0,0.0135,0.5,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
Repeat the step to fill all the required fields in the form.,"[0, 0, 100, 20]",4,12.0,12,0,0.0245,0.16666666666666666,0.08333333333333333,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
To fill radio option fields:,"[0, 0, 100, 20]",5,16.02,5,0,0.012,0.2,0.2,1,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
1. Hover over the field with the radio option.,"[0, 0, 100, 20]",5,12.0,9,0,0.019,0.0,0.1111111111111111,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
It automatically displays the default checkmark or the selected radio field symbol.,"[0, 0, 100, 20]",5,12.0,12,0,0.036,0.16666666666666666,0.08333333333333333,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
2. Select the radio option field to enter the symbol.,"[0, 0, 100, 20]",5,12.0,10,0,0.022,0.2,0.1,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
"3. To change the symbol, select the field again, and then from the menu, ellipsis  and","[0, 0, 100, 20]",5,12.0,16,0,0.035,0.125,0.0625,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
then select another symbol.,"[0, 0, 100, 20]",5,12.0,4,0,0.012,0.25,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
It marks the field with the selected symbol.,"[0, 0, 100, 20]",5,12.0,8,0,0.0185,0.25,0.125,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
To add signature and initials:,"[0, 0, 100, 20]",5,16.02,5,0,0.013,0.2,0.2,1,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
1. Create your signature and initials if not already done. To do so:,"[0, 0, 100, 20]",5,12.0,13,0,0.028,0.23076923076923078,0.15384615384615385,1,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
"1. From the Quick action toolbar, select Add your signature or initials","[0, 0, 100, 20]",5,12.0,12,0,0.03,0.0,0.25,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"2. To add a signature, select Add signature . In the dialog that appears, type or","[0, 0, 100, 20]",6,12.0,16,0,0.033,0.13333333333333333,0.2,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
draw your signature and then select Done .,"[0, 0, 100, 20]",6,12.0,8,0,0.0175,0.2857142857142857,0.14285714285714285,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
"3. To add your initials, select Add initials . In the dialog that appears, type or draw","[0, 0, 100, 20]",6,12.0,17,0,0.0355,0.1875,0.1875,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
your initials and then select Done .,"[0, 0, 100, 20]",6,12.0,7,0,0.015,0.16666666666666666,0.16666666666666666,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
Note: You may also add an image as your signature or initials. To add an existing,"[0, 0, 100, 20]",6,12.0,16,0,0.033,0.1875,0.1875,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"image, tap the image icon from the top menu. To take a new picture to be added as","[0, 0, 100, 20]",6,12.0,18,0,0.032,0.2222222222222222,0.05555555555555555,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"your signature, tap the camera icon and follow through with the workflow.","[0, 0, 100, 20]",6,12.0,12,0,0.031,0.16666666666666666,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
2. To add a signature:,"[0, 0, 100, 20]",6,12.0,5,0,0.009,0.2,0.2,1,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
"1. From the Quick actions toolbar, select Add your signature or initials .","[0, 0, 100, 20]",6,12.0,13,0,0.031,0.0,0.25,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
Select Add Signature .,"[0, 0, 100, 20]",6,12.0,4,0,0.0095,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
2. Your signature appears in the field.,"[0, 0, 100, 20]",6,12.0,7,0,0.0165,0.14285714285714285,0.14285714285714285,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
"Note: Once you add a signature or initial to a form and save it, you cannot edit","[0, 0, 100, 20]",6,12.0,17,0,0.032,0.16666666666666666,0.11764705882352941,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
it again.,"[0, 0, 100, 20]",6,12.0,2,0,0.004,0.0,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
"3. To adjust the placement of your signature, hover over the signature till you see","[0, 0, 100, 20]",6,12.0,15,0,0.0345,0.13333333333333333,0.06666666666666667,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"a plus icon, and then click and move the signature as desired.","[0, 0, 100, 20]",6,12.0,12,0,0.0255,0.16666666666666666,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
"4. To adjust the size of your signature, hover over the blue circle at the corner and","[0, 0, 100, 20]",6,12.0,17,0,0.0345,0.058823529411764705,0.058823529411764705,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
then hold and drag it as desired.,"[0, 0, 100, 20]",6,12.0,7,0,0.0135,0.42857142857142855,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
Caution:,"[0, 0, 100, 20]",6,12.0,1,0,0.004,0.0,1.0,1,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
"Once you add a signature or an initial to a form and save it, you cannot edit it again.","[0, 0, 100, 20]",7,12.0,19,0,0.0345,0.15,0.05263157894736842,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
3. To add your initials:,"[0, 0, 100, 20]",7,12.0,5,0,0.01,0.2,0.2,1,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
"1. From the Quick actions toolbar, select Add your signature or initials .","[0, 0, 100, 20]",6,12.0,13,0,0.031,0.0,0.25,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
Select Add Initials . Your initials appear in the field.,"[0, 0, 100, 20]",7,12.0,10,0,0.0235,0.1111111111111111,0.4444444444444444,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
"2. To adjust the placement of your signature, hover over it until you see a plus","[0, 0, 100, 20]",7,12.0,16,0,0.0325,0.125,0.0625,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"icon, and then click and move the signature as desired.","[0, 0, 100, 20]",7,12.0,10,0,0.023,0.2,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
"3. To adjust the size of your signature, hover over the blue circle at the corner and","[0, 0, 100, 20]",7,12.0,17,0,0.0345,0.058823529411764705,0.058823529411764705,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
