text,bbox,page_number,avg_font_size,word_count,is_all_caps,char_density,ratio_of_verbs,ratio_capitalized,ends_with_colon,is_bold,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,font_size_diff,same_font,is_bold_A,is_italic_A,is_monospace_A,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,is_linea_hashed,is_lineb_hashed,both_hashed,neither_hashed,title_label
Adobe LiveCycle Rights Management ALCRM servers,"[0, 0, 100, 20]",1,24.0,6,0,0.021,0.0,0.8333333333333334,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
Adobe LiveCycleRights Management ALCRM servers let you define centralized policies to control access to documents. The policies are stored on the ALCRM server. You require server access to use them.,"[0, 0, 100, 20]",1,12.0,30,0,0.0845,0.26666666666666666,0.23333333333333334,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,
"ALCRM servers embed user access information in documents. Therefore, specify document recipients in ALCRM policies. Alternatively, let the ALCRM server retrieve the list of recipients from LDAP directories.","[0, 0, 100, 20]",1,12.0,28,0,0.0895,0.14285714285714285,0.21428571428571427,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,
"Use ALCRM servers to set permissions for separate document tasks, for example opening, editing, and printing. You can also define document auditing policies on ALCRM servers.","[0, 0, 100, 20]",1,12.0,26,0,0.0745,0.15384615384615385,0.15384615384615385,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,
What is a digital signature?,"[0, 0, 100, 20]",1,18.0,5,0,0.012,0.2,0.2,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
"Digital signatures are a secure and efficient way to electronically sign and authenticate documents, ensuring their authenticity and integrity. By using digital signatures, you can sign documents quickly and easily, and be confident that they can’t be tampered with or forged.","[0, 0, 100, 20]",1,12.0,41,0,0.118,0.2558139534883721,0.047619047619047616,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,
Why validate a digital signature?,"[0, 0, 100, 20]",1,18.0,5,0,0.0145,0.2,0.2,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
"When you receive a signed document, you may want to validate its signature to verify the signer and the signed content. Depending on how you’ve configured your application, validation may occur automatically. Signature validity is determined by checking the authenticity of the signature’s digital ID certificate status and document integrity. To verify authenticity, the validator checks if the signer's certificate or its parent certificates are trusted. The validity of the signing certificate is also checked based on the user's Acrobat or Acrobat Reader settings.","[0, 0, 100, 20]",1,12.0,84,0,0.2425,0.18888888888888888,0.10227272727272728,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,
"To verify document integrity, the validator checks if the signed content was altered after signing. If changes were made, the verification ensures that the signer allowed the changes.","[0, 0, 100, 20]",1,12.0,28,0,0.078,0.2857142857142857,0.07142857142857142,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,
Set preferences for validating digital signatures,"[0, 0, 100, 20]",2,18.0,6,0,0.022,0.16666666666666666,0.16666666666666666,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"You can set verification preferences in advance so digital signatures are valid when you open a PDF and verification details appear with the signature. When Digital Signatures are validated, an icon appears in the document message bar to indicate the signature status.","[0, 0, 100, 20]",2,12.0,42,0,0.1135,0.19047619047619047,0.11904761904761904,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,
"1. Select the hamburger menu Windows®, or go to Acrobat macOS> Preferences . 2. In the Preferences dialog box, from under categories, select Signatures . 3. From the Verification box in the Digital Signatures panel, select More...","[0, 0, 100, 20]",2,12.0,37,0,0.097,0.08571428571428572,0.34285714285714286,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
"4. In the 'Signature Verification Preferences' dialog that opens, you can control the following settings:","[0, 0, 100, 20]",3,12.0,15,0,0.0455,0.13333333333333333,0.26666666666666666,1,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,
"Set automatic validation of signatures : With the Verify signatures when the document is opened check box selected, Acrobat automatically validates all signatures in a PDF when you open the document.","[0, 0, 100, 20]",3,12.0,31,0,0.0845,0.16666666666666666,0.16666666666666666,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,
Set verification behavior: The options specify methods that determine which plug-in to choose when verifying a signature. The appropriate plug-in is often selected automatically. Contact your system administrator about specific plug-in requirements for validating signatures.,"[0, 0, 100, 20]",3,12.0,35,0,0.1205,0.22857142857142856,0.10526315789473684,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,
"Check the revocation status of certificates : With the Require certificate revocation checking to succeed... checkbox selected, Acrobat checks certificates against a list of excluded certificates during validation. If you deselect the check box, the revocation status for Acrobat Approval","[0, 0, 100, 20]",3,12.0,40,0,0.1245,0.15384615384615385,0.1794871794871795,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,
signatures is ignored. The revocation status is always checked to certify signatures.,"[0, 0, 100, 20]",4,12.0,12,0,0.037,0.4166666666666667,0.08333333333333333,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,
"Use expired timestamps : The option is selected by default. It uses the time mentioned in the timestamp or embedded in the signature, even if the signature’s certificate has expired. If you deselect the check box, Acrobat discards expired timestamps.","[0, 0, 100, 20]",4,12.0,40,0,0.1055,0.24390243902439024,0.125,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,
"Set verification for time : You can select the appropriate options under 'Verification time' to check the time at which the signature was created, to check the timestamp embedded in the signature, or to check the current time.","[0, 0, 100, 20]",4,12.0,38,0,0.0945,0.1891891891891892,0.08108108108108109,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
