text,bbox,page_number,avg_font_size,word_count,is_all_caps,char_density,ratio_of_verbs,ratio_capitalized,ends_with_colon,is_bold,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,font_size_diff,same_font,is_bold_A,is_italic_A,is_monospace_A,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,is_linea_hashed,is_lineb_hashed,both_hashed,neither_hashed,title_label
Share,"[0, 0, 100, 20]",2,24.0,1,0,0.0025,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"You can quickly share a link to a PDF document with others for viewing or commenting. The document shared as a link opens in any browser on any device. The document is stored securely in Adobe cloud storage. Recipients get an email with a link, and they can click the link to view and comment on the document in a browser; no sign-in is required.","[0, 0, 100, 20]",2,12.0,65,0,0.141,0.15384615384615385,0.09090909090909091,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,
1. Open a PDF in Acrobat or Acrobat Reader and select Share in the upper-right corner. 2. Optional Select Link Setting and ensure that People can comment toggle is on. 3. Select the appropriate option to share the PDF:,"[0, 0, 100, 20]",2,12.0,39,0,0.09,0.1282051282051282,0.325,1,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
Enter the recipient's name or email and select Invite . You can add a message and a deadline.,"[0, 0, 100, 20]",2,12.0,18,0,0.038,0.05555555555555555,0.16666666666666666,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,
Select any third-party App and follow the onscreen instructions. Select Create a link to share and share copied link with recipients. Select Send a link or attach this file to an email and follow the onscreen instructions.,"[0, 0, 100, 20]",2,12.0,37,0,0.093,0.10810810810810811,0.15789473684210525,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
PDF sharing options,"[0, 0, 100, 20]",2,16.02,3,0,0.0085,0.0,0.3333333333333333,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"Add name or email to invite   - Enter the name or email of the recipient. If necessary, add a message, or Add deadline, and select Invite.","[0, 0, 100, 20]",2,12.0,26,0,0.0555,0.08,0.2,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,
Add name or email to invite,"[0, 0, 100, 20]",3,10.5,6,0,0.011,0.16666666666666666,0.16666666666666666,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"Create a link and share using third-party apps. When you select any available third party app like Microsoft Outlook, Gmail, WhatsApp, Microsoft Teams, or the default email client, Acrobat creates a shareable link and opens the respective application with the copied link in the message draft. Alternatively, select Create a link to share, then copy and share it with the intended recipients.","[0, 0, 100, 20]",3,12.0,62,0,0.1655,0.08064516129032258,0.1746031746031746,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,
Share a link to the file,"[0, 0, 100, 20]",4,10.5,6,0,0.0095,0.0,0.16666666666666666,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
Send an anonymous or public link in an email,"[0, 0, 100, 20]",4,16.02,9,0,0.018,0.1111111111111111,0.1111111111111111,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"An anonymous or public link makes the files accessible to anyone who clicks the link. Follow the steps below to create a review link, and share it using your email client.","[0, 0, 100, 20]",4,12.0,31,0,0.0705,0.12903225806451613,0.06451612903225806,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
1. Open the PDF in Acrobat.,"[0, 0, 100, 20]",4,12.0,6,0,0.011,0.16666666666666666,0.5,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
2. Select Share in the upper right. You get either of the two options:,"[0, 0, 100, 20]",4,12.0,14,0,0.0285,0.07142857142857142,0.21428571428571427,1,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
"Get link : You get this option when a file isn't synced to the cloud. Select Get link to sync the file to the cloud. Once the file is synced, the get link option changes to Copy link . Select Copy link and share it as desired.","[0, 0, 100, 20]",4,12.0,47,0,0.09,0.17391304347826086,0.17391304347826086,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,
Copy link: You get this option if the file is already synced to the cloud or shared with someone.,"[0, 0, 100, 20]",5,10.98,19,0,0.0395,0.21052631578947367,0.10526315789473684,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,
"3. By default, the People can comment switch is turned on. To share the file only for viewing, select Anyone can access and comment in the Share dialog box, and then switch the toggle next to People can comment to turn it off.","[0, 0, 100, 20]",5,12.0,43,0,0.092,0.18604651162790697,0.13953488372093023,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,
4. The link is created and copied by default. Share the link with other recipients. You can also perform any of the following actions from the right pane:,"[0, 0, 100, 20]",5,12.0,28,0,0.0635,0.14285714285714285,0.10714285714285714,1,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,
"Add People: Select Share, then enter the email addresses of the people you want to share the file with.","[0, 0, 100, 20]",5,12.0,19,0,0.0425,0.10526315789473684,0.21052631578947367,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,
Unshare File: Select Share. The profile icons of the people you have shared the,"[0, 0, 100, 20]",5,12.0,14,0,0.033,0.14285714285714285,0.35714285714285715,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
file with are displayed next to Shared with . Select the profile icon to open the Shared with the dialog box. Select Unshare in the lower-right to stop sharing the file with others.,"[0, 0, 100, 20]",6,12.0,33,0,0.0745,0.21875,0.15151515151515152,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
Mark up text,"[0, 0, 100, 20]",6,16.02,3,0,0.005,0.0,0.3333333333333333,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"You can use markup tools to give suggestions for formatting the text, structuring a document, or for providing other edit suggestions. Markups and comments don’t change the actual text in the PDF.","[0, 0, 100, 20]",6,12.0,32,0,0.0825,0.17647058823529413,0.09090909090909091,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,
"Note: The Insert text and Replace selected text commenting tools are now available for shared PDF files, making it easier for you to suggest changes and provide feedback directly within the document.","[0, 0, 100, 20]",6,12.0,32,0,0.084,0.1875,0.15625,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,
"Highlight, strikethrough, or underline text comment You can use the Select text or Markup tools to add markups to your text. Using Select Text Tool 1. Open a PDF. 2. Use the Select text tool to select the text you want to mark up. 3. From the markup toolbar that appears, take one of the following actions as desired:","[0, 0, 100, 20]",7,14.67,59,0,0.1295,0.1864406779661017,0.22033898305084745,1,0,-20.0,0.0,1,0,12.0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
