text,bbox,page_number,avg_font_size,word_count,is_all_caps,char_density,ratio_of_verbs,ratio_capitalized,ends_with_colon,is_bold,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,font_size_diff,same_font,is_bold_A,is_italic_A,is_monospace_A,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,is_linea_hashed,is_lineb_hashed,both_hashed,neither_hashed,title_label
Comprehensive Guide to Major Cities in the South of France,"[0, 0, 100, 20]",1,12.0,10,0,0.0245,0.0,0.6,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
Introduction,"[0, 0, 100, 20]",1,12.0,1,0,0.006,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"The South of France, known for its stunning landscapes, Mediterranean coastline, and rich cultural heritage, is home to some of the most beautiful and historically significant cities in the country. This guide provides an in-depth look at the major cities in the South of France, detailing their history, key attractions, cultural highlights, and unique characteristics. Whether you're planning a visit or simply want to learn more about this enchanting region, this guide will offer valuable insights into each city's charm and allure.","[0, 0, 100, 20]",1,12.0,82,0,0.2275,0.10714285714285714,0.09411764705882353,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,
Overview of the Region,"[0, 0, 100, 20]",2,12.0,4,0,0.0095,0.0,0.5,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"The South of France, or ""Le Midi,"" encompasses the regions of Provence-Alpes-Côte d'Azur, Occitanie, and parts of Nouvelle-Aquitaine. This area is renowned for its diverse landscapes, from the sun-drenched beaches of the French Riviera to the rolling vineyards of Provence and the rugged Pyrenees mountains. The Mediterranean climate ensures warm summers and mild winters, making it a year-round destination. The South of France is also famous for its cuisine, wines, and vibrant cultural scene.","[0, 0, 100, 20]",2,12.0,74,0,0.211,0.0945945945945946,0.275,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
Travel Tips,"[0, 0, 100, 20]",2,12.0,2,0,0.005,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"Best Time to Visit : The best time to visit the South of France is during the spring April to June and fall September to October when the weather is pleasant, and the tourist crowds are smaller.","[0, 0, 100, 20]",2,12.0,37,0,0.079,0.16666666666666666,0.2777777777777778,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,
"Transportation : The region is well-connected by an extensive network of trains, buses, and flights. Renting a car is also a great option for exploring the countryside and smaller towns.","[0, 0, 100, 20]",2,12.0,30,0,0.0785,0.13793103448275862,0.1,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,
"Language : While French is the official language, English is widely spoken in tourist areas. Learning a few basic French phrases can enhance your travel experience.","[0, 0, 100, 20]",2,12.0,26,0,0.0695,0.2,0.24,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,
Marseille: The Oldest City in France,"[0, 0, 100, 20]",3,12.0,6,0,0.0155,0.0,0.8333333333333334,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
History,"[0, 0, 100, 20]",3,12.0,1,0,0.0035,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"Marseille, founded by Greek sailors around 600 BC, is the oldest city in France. Its strategic location on the Mediterranean coast made it a vital trading port throughout history. The city's rich cultural heritage is reflected in its diverse architecture and vibrant atmosphere. Over the centuries, Marseille has been influenced by various cultures, including Greek, Roman, and North African, making it a melting pot of traditions and customs.","[0, 0, 100, 20]",3,12.0,68,0,0.188,0.15942028985507245,0.18840579710144928,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,
Key Attractions,"[0, 0, 100, 20]",3,12.0,2,0,0.007,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"Old Port Vieux-Port : The heart of Marseille, the Old Port has been a bustling harbor for over 2,600 years. Today, it is a lively area filled with cafes, restaurants, and markets.","[0, 0, 100, 20]",3,12.0,32,0,0.074,0.12903225806451613,0.2727272727272727,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,
"Basilica of Notre-Dame de la Garde : This iconic basilica, perched on a hill overlooking the city, offers panoramic views of Marseille and the Mediterranean Sea. Built in the 19th century, it is a symbol of the city's maritime heritage.","[0, 0, 100, 20]",3,12.0,40,0,0.0985,0.125,0.21951219512195122,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,
MuCEM Museum of European and Mediterranean Civilizations : This modern museum explores the cultural history of the Mediterranean region through a variety of exhibits and interactive displays.,"[0, 0, 100, 20]",3,12.0,27,0,0.0825,0.038461538461538464,0.2692307692307692,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,
"Le Panier : The oldest district in Marseille, Le Panier is a maze of narrow streets, colorful buildings, and historic landmarks. It's a great place to explore the city's past and enjoy its vibrant culture.","[0, 0, 100, 20]",3,12.0,35,0,0.0855,0.1111111111111111,0.19444444444444445,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,
Local Experiences,"[0, 0, 100, 20]",3,12.0,2,0,0.008,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"Boat Trip to the Calanques : Take a boat trip to the Calanques, a series of stunning limestone cliffs and coves along the coast.","[0, 0, 100, 20]",3,12.0,24,0,0.0525,0.08695652173913043,0.21739130434782608,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,
Fish Market at the Old Port : Visit the fish market at the Old Port to experience the local seafood culture.,"[0, 0, 100, 20]",3,12.0,21,0,0.044,0.1,0.35,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,
Street Art in Cours Julien : Explore the vibrant street art scene in the Cours Julien district.,"[0, 0, 100, 20]",3,12.0,17,0,0.0395,0.0625,0.4375,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,
Cultural Highlights,"[0, 0, 100, 20]",3,12.0,2,0,0.009,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"Marseille is known for its vibrant arts scene, with numerous galleries, theaters, and music venues. The city hosts several festivals throughout the year, including the Festival de Marseille, which celebrates contemporary dance, theater, and music. Marseille's cuisine is","[0, 0, 100, 20]",3,12.0,38,0,0.1165,0.15384615384615385,0.1282051282051282,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,
Nice: The Jewel of the French Riviera,"[0, 0, 100, 20]",5,12.0,7,0,0.0155,0.0,0.7142857142857143,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
History,"[0, 0, 100, 20]",3,12.0,1,0,0.0035,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"Nice, located on the French Riviera, has been a popular destination for centuries. Its history dates back to the ancient Greeks, who founded the city around 350 BC. Nice later became a Roman colony and has since evolved into a glamorous resort town. In the 19th century, Nice became a favorite winter retreat for European aristocrats, which contributed to its development as a luxurious destination.","[0, 0, 100, 20]",5,12.0,65,0,0.1675,0.13846153846153847,0.16923076923076924,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,
Key Attractions,"[0, 0, 100, 20]",3,12.0,2,0,0.007,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"Promenade des Anglais : This famous seaside promenade, built in the 19th century, is perfect for a leisurely stroll along the coast. It offers stunning views of the Mediterranean and is lined with cafes and hotels.","[0, 0, 100, 20]",5,12.0,36,0,0.0895,0.14285714285714285,0.14285714285714285,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,
"Castle Hill Colline du Château : This hilltop park offers panoramic views of Nice and the Mediterranean. It was once the site of a medieval castle, which was destroyed in the 18th century.","[0, 0, 100, 20]",5,12.0,33,0,0.078,0.09375,0.25,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,
"Old Town Vieux Nice : The historic center of Nice is a labyrinth of narrow streets, baroque churches, and bustling markets. Don't miss the Cours Saleya market, where you can find fresh produce, flowers, and local delicacies.","[0, 0, 100, 20]",5,12.0,37,0,0.094,0.13513513513513514,0.24324324324324326,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,
"Matisse Museum : Dedicated to the works of Henri Matisse, who spent much of his life in Nice, this museum features a comprehensive collection of his paintings, sculptures, and drawings.","[0, 0, 100, 20]",5,12.0,30,0,0.078,0.10344827586206896,0.20689655172413793,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,
Hidden Gems,"[0, 0, 100, 20]",5,12.0,2,0,0.005,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"Russian Orthodox Cathedral : Visit the stunning Russian Orthodox Cathedral, a unique architectural gem in Nice.","[0, 0, 100, 20]",5,12.0,16,0,0.048,0.06666666666666667,0.5333333333333333,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,
Marc Chagall National Museum : Explore the works of Marc Chagall at this dedicated museum.,"[0, 0, 100, 20]",5,12.0,15,0,0.038,0.07142857142857142,0.5,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,
"Parc Phoenix : Discover the botanical wonders at Parc Phoenix, a beautiful garden and park.","[0, 0, 100, 20]",5,12.0,15,0,0.0385,0.07142857142857142,0.35714285714285715,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,
Cultural Highlights,"[0, 0, 100, 20]",3,12.0,2,0,0.009,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"Nice is renowned for its vibrant cultural scene, with numerous museums, galleries, and theaters. The city hosts the Nice Carnival in February, one of the largest and oldest carnivals in the world. The Nice Jazz Festival, held in July, is another major event that attracts music","[0, 0, 100, 20]",5,12.0,46,0,0.116,0.13043478260869565,0.21739130434782608,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,
"lovers from around the globe. Nice's cuisine is also a highlight, with dishes like salade niçoise and socca a chickpea flour pancake being local specialties.","[0, 0, 100, 20]",6,12.0,25,0,0.0665,0.11538461538461539,0.038461538461538464,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,
Avignon: The City of Popes,"[0, 0, 100, 20]",7,12.0,5,0,0.011,0.0,0.8,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
History,"[0, 0, 100, 20]",3,12.0,1,0,0.0035,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"Avignon, located on the banks of the Rhône River, is best known for its role as the seat of the papacy in the 14th century. The city was home to seven popes during this period, leaving a lasting legacy of impressive architecture and cultural heritage. Avignon's history dates back to Roman times, and it has been a significant religious and cultural center for centuries.","[0, 0, 100, 20]",7,12.0,64,0,0.154,0.13846153846153847,0.09230769230769231,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,
Key Attractions,"[0, 0, 100, 20]",3,12.0,2,0,0.007,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
Palais des Papes : This massive Gothic palace was the residence of the popes during their stay in Avignon. It is one of the largest and most important medieval Gothic buildings in Europe.,"[0, 0, 100, 20]",7,12.0,33,0,0.0775,0.09375,0.25,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,
"Pont Saint-Bénézet Pont d'Avignon : This famous bridge, immortalized in the song ""Sur le Pont d'Avignon,"" was built in the 12th century. Although only a few arches remain, it is a UNESCO World Heritage site.","[0, 0, 100, 20]",7,12.0,35,0,0.0865,0.14705882352941177,0.35135135135135137,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"Avignon Cathedral : Located next to the Palais des Papes, this Romanesque cathedral dates back to the 12th century and features a gilded statue of the Virgin Mary.","[0, 0, 100, 20]",7,12.0,28,0,0.068,0.07407407407407407,0.2962962962962963,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,
"Place de l'Horloge : The main square in Avignon, this lively area is surrounded by cafes, restaurants, and historic buildings, including the 19th-century town hall and opera house.","[0, 0, 100, 20]",7,12.0,28,0,0.0765,0.1111111111111111,0.13793103448275862,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,
Cultural Activities,"[0, 0, 100, 20]",7,12.0,2,0,0.009,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
Opéra Grand Avignon : Attend a performance at the Opéra Grand Avignon for a cultural treat.,"[0, 0, 100, 20]",7,12.0,16,0,0.038,0.06666666666666667,0.4666666666666667,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,
"Arts Scene : Explore the city's vibrant arts scene, with numerous galleries and exhibitions.","[0, 0, 100, 20]",7,12.0,14,0,0.0395,0.0,0.21428571428571427,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,
Cultural Highlights,"[0, 0, 100, 20]",3,12.0,2,0,0.009,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
