text,bbox,page_number,avg_font_size,word_count,is_all_caps,char_density,ratio_of_verbs,ratio_capitalized,ends_with_colon,is_bold,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,font_size_diff,same_font,is_bold_A,is_italic_A,is_monospace_A,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,is_linea_hashed,is_lineb_hashed,both_hashed,neither_hashed,title_label
A Culinary Journey Through the South of France,"[0, 0, 100, 20]",1,12.0,8,0,0.0195,0.0,0.75,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
Introduction,"[0, 0, 100, 20]",1,12.0,1,0,0.006,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"The South of France, known for its stunning landscapes and charming villages, is also a","[0, 0, 100, 20]",1,12.0,15,0,0.0365,0.2,0.2,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"paradise for food lovers. The region's cuisine is a delightful blend of Mediterranean flavors,","[0, 0, 100, 20]",1,12.0,14,0,0.0405,0.06666666666666667,0.13333333333333333,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
"fresh ingredients, and traditional recipes passed down through generations. This guide will","[0, 0, 100, 20]",1,12.0,12,0,0.04,0.08333333333333333,0.08333333333333333,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"take you through the different types of food, famous dishes, must-visit restaurants, renowned","[0, 0, 100, 20]",1,12.0,13,0,0.0405,0.07692307692307693,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"wine regions, and the types of wines they produce to help you plan an unforgettable culinary","[0, 0, 100, 20]",1,12.0,16,0,0.0385,0.1875,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
adventure.,"[0, 0, 100, 20]",1,12.0,1,0,0.005,0.0,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
Types of Food,"[0, 0, 100, 20]",2,12.0,3,0,0.0055,0.0,0.6666666666666666,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"The cuisine in the South of France is diverse, reflecting the region's rich history and cultural","[0, 0, 100, 20]",2,12.0,16,0,0.0405,0.11764705882352941,0.17647058823529413,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
