text,bbox,page_number,avg_font_size,word_count,is_all_caps,char_density,ratio_of_verbs,ratio_capitalized,ends_with_colon,is_bold,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,font_size_diff,same_font,is_bold_A,is_italic_A,is_monospace_A,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,is_linea_hashed,is_lineb_hashed,both_hashed,neither_hashed,title_label
A Historical Journey Through the South of France,"[0, 0, 100, 20]",1,12.0,8,0,0.0205,0.0,0.75,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
Introduction,"[0, 0, 100, 20]",1,12.0,1,0,0.006,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"The South of France, renowned for its picturesque landscapes, charming villages, and","[0, 0, 100, 20]",1,12.0,12,0,0.0365,0.16666666666666666,0.25,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"stunning coastline, is also steeped in history. From ancient Roman ruins to medieval","[0, 0, 100, 20]",1,12.0,13,0,0.036,0.38461538461538464,0.15384615384615385,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"fortresses and Renaissance architecture, this region offers a fascinating glimpse into the past.","[0, 0, 100, 20]",1,12.0,13,0,0.042,0.07692307692307693,0.07692307692307693,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
"This guide will take you through the histories of major cities, famous historical sites, and other","[0, 0, 100, 20]",1,12.0,16,0,0.0415,0.0625,0.0625,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
points of interest to help you plan an enriching and unforgettable trip.,"[0, 0, 100, 20]",1,12.0,12,0,0.0305,0.16666666666666666,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
Marseille: The Oldest City in France,"[0, 0, 100, 20]",2,12.0,6,0,0.0155,0.0,0.8333333333333334,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"Marseille, founded by Greek sailors around 600 BC, is the oldest city in France. Its strategic","[0, 0, 100, 20]",2,12.0,16,0,0.0395,0.125,0.3125,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
location on the Mediterranean coast made it a vital trading port throughout history. The city's,"[0, 0, 100, 20]",2,12.0,15,0,0.0405,0.0625,0.125,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
rich cultural heritage is reflected in its diverse architecture and vibrant atmosphere.,"[0, 0, 100, 20]",2,12.0,12,0,0.038,0.16666666666666666,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
Key Historical Sites in Marseille,"[0, 0, 100, 20]",2,12.0,5,0,0.0145,0.0,0.8,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"Old Port Vieux-Port : The heart of Marseille, the Old Port has been a bustling harbor","[0, 0, 100, 20]",2,12.0,16,0,0.035,0.13333333333333333,0.5,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"for over 2,600 years. Today, it is a lively area filled with cafes, restaurants, and","[0, 0, 100, 20]",2,12.0,15,0,0.035,0.13333333333333333,0.0625,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
markets.,"[0, 0, 100, 20]",2,12.0,1,0,0.004,0.0,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
"Basilica of Notre-Dame de la Garde : This iconic basilica, perched on a hill","[0, 0, 100, 20]",2,12.0,14,0,0.0315,0.07692307692307693,0.35714285714285715,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"overlooking the city, offers panoramic views of Marseille and the Mediterranean Sea.","[0, 0, 100, 20]",2,12.0,12,0,0.0365,0.16666666666666666,0.25,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
"Built in the 19th century, it is a symbol of the city's maritime heritage.","[0, 0, 100, 20]",2,12.0,14,0,0.0305,0.13333333333333333,0.06666666666666667,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
"Fort Saint-Jean : Constructed in the 17th century, this fort guards the entrance to the","[0, 0, 100, 20]",2,12.0,15,0,0.0365,0.14285714285714285,0.26666666666666666,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
Old Port. It now houses part of the Museum of European and Mediterranean,"[0, 0, 100, 20]",2,12.0,13,0,0.03,0.0,0.46153846153846156,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
Civilizations MuCEM.,"[0, 0, 100, 20]",2,12.0,2,0,0.0095,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
"Le Panier : The oldest district in Marseille, Le Panier is a maze of narrow streets,","[0, 0, 100, 20]",2,12.0,16,0,0.0345,0.06666666666666667,0.4,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
"colorful buildings, and historic landmarks. It's a great place to explore the city's past","[0, 0, 100, 20]",2,12.0,14,0,0.038,0.125,0.0625,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
and enjoy its vibrant culture.,"[0, 0, 100, 20]",2,12.0,5,0,0.013,0.2,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
"Château d'If : Commissioned by King Francis I in 1524, this fortress on the Île d'If","[0, 0, 100, 20]",2,12.0,16,0,0.0345,0.13333333333333333,0.47058823529411764,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"became famous as a prison and was immortalized in Alexandre Dumas' novel ""The","[0, 0, 100, 20]",2,12.0,13,0,0.0325,0.23076923076923078,0.23076923076923078,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"Count of Monte Cristo""1.","[0, 0, 100, 20]",2,12.0,4,0,0.0105,0.0,0.6,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
"La Marseillaise : Marseille played a significant role during the French Revolution, and","[0, 0, 100, 20]",2,12.0,13,0,0.0375,0.08333333333333333,0.4166666666666667,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"the city's volunteers composed the national anthem of France, ""La Marseillaise""2.https://www.kevmrc.com/interesting-facts-about-marseille-france","[0, 0, 100, 20]",2,12.0,11,0,0.067,0.07142857142857142,0.13636363636363635,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
Nice: The Jewel of the French Riviera,"[0, 0, 100, 20]",3,12.0,7,0,0.0155,0.0,0.7142857142857143,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"Nice, located on the French Riviera, has been a popular destination for centuries. Its history","[0, 0, 100, 20]",3,12.0,15,0,0.04,0.2,0.26666666666666666,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"dates back to the ancient Greeks, who founded the city around 350 BC. Nice later became a","[0, 0, 100, 20]",3,12.0,17,0,0.0365,0.11764705882352941,0.17647058823529413,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
Roman colony and has since evolved into a glamorous resort town.,"[0, 0, 100, 20]",3,12.0,11,0,0.027,0.18181818181818182,0.09090909090909091,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
Key Historical Sites in Nice,"[0, 0, 100, 20]",3,12.0,5,0,0.012,0.0,0.8,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
Castle Hill Colline du Château : This hilltop park offers stunning views of Nice and,"[0, 0, 100, 20]",3,12.0,15,0,0.035,0.07142857142857142,0.42857142857142855,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
