text,bbox,page_number,avg_font_size,word_count,is_all_caps,char_density,ratio_of_verbs,ratio_capitalized,ends_with_colon,is_bold,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,font_size_diff,same_font,is_bold_A,is_italic_A,is_monospace_A,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,is_linea_hashed,is_lineb_hashed,both_hashed,neither_hashed,title_label
"The Ultimate South of France Travel Companion: Your Comprehensive Guide to Packing,","[0, 0, 100, 20]",1,12.0,12,0,0.036,0.0,0.8333333333333334,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
"Planning, and Exploring","[0, 0, 100, 20]",1,12.0,3,0,0.0105,0.3333333333333333,0.6666666666666666,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
Introduction,"[0, 0, 100, 20]",1,12.0,1,0,0.006,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
Planning a trip to the South of France requires thoughtful preparation to ensure a,"[0, 0, 100, 20]",1,12.0,14,0,0.0345,0.21428571428571427,0.21428571428571427,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
comfortable and enjoyable experience. This guide covers everything from packing essentials,"[0, 0, 100, 20]",1,12.0,11,0,0.04,0.18181818181818182,0.09090909090909091,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"to travel tips, catering to all seasons and various activities. Whether you're traveling solo, with","[0, 0, 100, 20]",1,12.0,15,0,0.0425,0.25,0.0625,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"kids, or in a group, this guide will help you make the most of your trip.","[0, 0, 100, 20]",1,12.0,16,0,0.029,0.125,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
General Packing Tips and Tricks,"[0, 0, 100, 20]",2,12.0,5,0,0.0135,0.0,0.8,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"Layering: The weather can vary, so pack layers to stay comfortable in different","[0, 0, 100, 20]",2,12.0,13,0,0.0335,0.23076923076923078,0.15384615384615385,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
temperatures.,"[0, 0, 100, 20]",2,12.0,1,0,0.0065,0.0,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
