text,bbox,page_number,avg_font_size,word_count,is_all_caps,char_density,ratio_of_verbs,ratio_capitalized,ends_with_colon,is_bold,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,font_size_diff,same_font,is_bold_A,is_italic_A,is_monospace_A,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,is_linea_hashed,is_lineb_hashed,both_hashed,neither_hashed,title_label
A Comprehensive Guide to Traditions and Culture in the South of France,"[0, 0, 100, 20]",1,12.0,12,0,0.0295,0.0,0.5833333333333334,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
Introduction,"[0, 0, 100, 20]",1,12.0,1,0,0.006,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"The South of France, with its picturesque landscapes, charming villages, and vibrant cities, is","[0, 0, 100, 20]",1,12.0,14,0,0.041,0.14285714285714285,0.21428571428571427,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
not only a feast for the eyes but also a treasure trove of cultural traditions and heritage. This,"[0, 0, 100, 20]",1,12.0,18,0,0.04,0.0,0.05555555555555555,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"region, known for its rich history and diverse influences, offers a unique blend of customs,","[0, 0, 100, 20]",1,12.0,15,0,0.039,0.13333333333333333,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
"festivals, and local practices that reflect its distinct identity. This guide will take you through","[0, 0, 100, 20]",1,12.0,15,0,0.0425,0.13333333333333333,0.06666666666666667,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"the various traditions and cultural aspects of the South of France, providing a deep","[0, 0, 100, 20]",1,12.0,14,0,0.0355,0.07142857142857142,0.14285714285714285,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
understanding of what makes this region so special.,"[0, 0, 100, 20]",1,12.0,8,0,0.022,0.125,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
Language and Literature,"[0, 0, 100, 20]",2,12.0,3,0,0.0105,0.0,0.6666666666666666,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
Provençal Language,"[0, 0, 100, 20]",2,12.0,2,0,0.0085,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"The Provençal language, also known as Occitan, has been a significant part of the cultural","[0, 0, 100, 20]",2,12.0,15,0,0.038,0.2,0.2,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"identity of the South of France. Although French is the dominant language today, Provençal","[0, 0, 100, 20]",2,12.0,14,0,0.0385,0.07142857142857142,0.35714285714285715,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"was widely spoken until the 19th century. It is still preserved in literature, music, and local","[0, 0, 100, 20]",2,12.0,16,0,0.04,0.25,0.0625,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"expressions. Efforts to revive and promote the language continue, with festivals and","[0, 0, 100, 20]",2,12.0,12,0,0.0365,0.16666666666666666,0.08333333333333333,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
educational programs dedicated to its preservation.,"[0, 0, 100, 20]",2,12.0,6,0,0.023,0.16666666666666666,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
Literature and Poetry,"[0, 0, 100, 20]",2,12.0,3,0,0.0095,0.0,0.6666666666666666,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
The South of France has inspired many writers and poets over the centuries. The troubadours,"[0, 0, 100, 20]",2,12.0,15,0,0.0385,0.13333333333333333,0.26666666666666666,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"of the medieval period, who composed and performed lyrical poetry, were particularly","[0, 0, 100, 20]",2,12.0,12,0,0.0365,0.25,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"influential. Their works often celebrated chivalry, love, and nature. The region's literary","[0, 0, 100, 20]",2,12.0,12,0,0.04,0.07692307692307693,0.15384615384615385,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"heritage also includes famous authors like Marcel Pagnol, whose novels and plays vividly","[0, 0, 100, 20]",2,12.0,13,0,0.038,0.07692307692307693,0.15384615384615385,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
depict Provençal life.,"[0, 0, 100, 20]",2,12.0,3,0,0.01,0.0,0.3333333333333333,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
Festivals and Celebrations,"[0, 0, 100, 20]",2,12.0,3,0,0.012,0.0,0.6666666666666666,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
Carnival of Nice,"[0, 0, 100, 20]",2,12.0,3,0,0.007,0.0,0.6666666666666666,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"Held in Nice from mid-February to early March, the Carnival of Nice is one of the most","[0, 0, 100, 20]",2,12.0,17,0,0.035,0.11764705882352941,0.3333333333333333,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"famous and oldest carnivals in the world. The festivities include parades with elaborate floats,","[0, 0, 100, 20]",2,12.0,14,0,0.0415,0.07142857142857142,0.07142857142857142,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
"street performances, and fireworks. The Battle of Flowers, where participants throw flowers","[0, 0, 100, 20]",2,12.0,12,0,0.04,0.08333333333333333,0.25,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
