text,bbox,page_number,avg_font_size,word_count,is_all_caps,char_density,ratio_of_verbs,ratio_capitalized,ends_with_colon,is_bold,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,font_size_diff,same_font,is_bold_A,is_italic_A,is_monospace_A,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,is_linea_hashed,is_lineb_hashed,both_hashed,neither_hashed,title_label
"Congressman Travis Childers Backs Investigation of Economic Crisis, Votes for Final Passage of Fraud","[0, 0, 100, 20]",1,12.0,14,0,0.0435,0.0,0.7857142857142857,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
Passage of Fraud Enforcement and Recovery Act,"[0, 0, 100, 20]",1,12.0,7,0,0.0195,0.0,0.7142857142857143,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"May 6, 2009","[0, 0, 100, 20]",1,12.0,3,0,0.0045,0.0,0.3333333333333333,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"Washington, DC - Congressman Travis Childers D-MS today joined a majority of his","[0, 0, 100, 20]",1,12.0,13,0,0.034,0.08333333333333333,0.5384615384615384,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"colleagues in supporting final passage of the Fraud Enforcement and Recovery Act of 2009,","[0, 0, 100, 20]",1,12.0,14,0,0.038,0.07142857142857142,0.2857142857142857,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
which won bipartisan House approval by a vote of 367 to 59. The legislation will provide critical,"[0, 0, 100, 20]",1,12.0,17,0,0.0405,0.11764705882352941,0.11764705882352941,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
funding and tools to help law enforcement pursue and prosecute the type of fraud many blame,"[0, 0, 100, 20]",1,12.0,16,0,0.038,0.125,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"for the worst financial crisis in decades, and establishes a bipartisan commission to investigate","[0, 0, 100, 20]",1,12.0,14,0,0.042,0.14285714285714285,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
the causes of the financial system's collapse and the ensuing recession.,"[0, 0, 100, 20]",1,12.0,11,0,0.031,0.08333333333333333,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
The bill passed in the Senate on April 28 by a vote of 92 to 4.,"[0, 0, 100, 20]",1,12.0,16,0,0.024,0.0625,0.1875,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
"&quot;In the face of today's economic crisis, hard working North Mississippians have lost their","[0, 0, 100, 20]",1,12.0,14,0,0.041,0.1875,0.1875,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"homes, their savings, and their jobs. This bill demands oversight and accountability from the","[0, 0, 100, 20]",1,12.0,14,0,0.04,0.07142857142857142,0.07142857142857142,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"fraudulent institutions that got us into this mess,&quot; said Congressman Childers.","[0, 0, 100, 20]",1,12.0,11,0,0.037,0.16666666666666666,0.16666666666666666,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
"&quot;When I voted twice against TARP authorization, I disapproved that it lacked adequate","[0, 0, 100, 20]",1,12.0,13,0,0.039,0.21428571428571427,0.2857142857142857,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
oversight and accountability when it came to spending billions of hard-earned taxpayer dollars.,"[0, 0, 100, 20]",1,12.0,13,0,0.0415,0.15384615384615385,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
"Today, I am proud to support the Fraud Enforcement and Recovery Act to help determine the","[0, 0, 100, 20]",1,12.0,16,0,0.037,0.25,0.375,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"causes of our current financial troubles, hold the responsible institutions accountable, and","[0, 0, 100, 20]",1,12.0,12,0,0.0405,0.08333333333333333,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
ensure that these problems do not happen again. This important legislation also calls for the,"[0, 0, 100, 20]",1,12.0,15,0,0.0395,0.26666666666666666,0.06666666666666667,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"diligent tracking of the funds it authorizes for these investigations, adding another level of","[0, 0, 100, 20]",1,12.0,14,0,0.0405,0.14285714285714285,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
transparency to the process.&quot;,"[0, 0, 100, 20]",1,12.0,4,0,0.0155,0.0,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
The Fraud Enforcement and Recovery Act is the latest in a series of consumer protection,"[0, 0, 100, 20]",1,12.0,15,0,0.0365,0.06666666666666667,0.3333333333333333,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"reforms recently passed by the House. Last week, the House passed the Credit Cardholders'","[0, 0, 100, 20]",1,12.0,14,0,0.038,0.14285714285714285,0.35714285714285715,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"Bill of Rights, which includes tough new protections for consumers facing excessive credit card","[0, 0, 100, 20]",1,12.0,14,0,0.041,0.14285714285714285,0.14285714285714285,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"fees, sky-high interest rates and unfair agreements that credit card companies revise at will.","[0, 0, 100, 20]",1,12.0,14,0,0.0405,0.07142857142857142,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
"Later this week, the House is expected to vote on the Mortgage Reform and Anti-Predatory","[0, 0, 100, 20]",1,12.0,15,0,0.037,0.2,0.375,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
Lending Act to curb abusive and predatory lending.,"[0, 0, 100, 20]",1,12.0,8,0,0.0215,0.25,0.25,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
1 / 2,"[0, 0, 100, 20]",1,8.0,3,0,0.0015,0.0,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
The following measures are included in the Fraud Enforcement and Recovery Act of 2009:,"[0, 0, 100, 20]",2,12.0,14,0,0.0365,0.14285714285714285,0.35714285714285715,1,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
Prohibits fraudulent activities involving the Troubled Assets Relief Program TARP or a,"[0, 0, 100, 20]",2,12.0,12,0,0.0375,0.08333333333333333,0.5,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"federal economic stimulus, recovery, or rescue plan.","[0, 0, 100, 20]",2,12.0,7,0,0.023,0.0,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
"Authorizes appropriations to the Attorney General for FY 2010-FY2011 for investigations,","[0, 0, 100, 20]",2,12.0,11,0,0.039,0.0,0.4166666666666667,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
"prosecutions, and civil proceedings involving federal assistance programs and financial","[0, 0, 100, 20]",2,12.0,10,0,0.039,0.1,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
institutions. Allocates such funds among various departments of the Department of Justice,"[0, 0, 100, 20]",2,12.0,12,0,0.039,0.0,0.25,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
DOJ.,"[0, 0, 100, 20]",2,12.0,1,1,0.002,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
"Requires the Attorney General, in consultation with the U.S. Postal Inspection Service, the","[0, 0, 100, 20]",2,12.0,13,0,0.0395,0.07692307692307693,0.5714285714285714,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"Inspector General for HUD, and the Secretary of Homeland Security, to submit a joint report to","[0, 0, 100, 20]",2,12.0,16,0,0.0395,0.0625,0.375,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"Congress identifying: 1 amounts spent for investigations, with a certification of compliance that","[0, 0, 100, 20]",2,12.0,13,0,0.0425,0.07692307692307693,0.07692307692307693,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"funds have been spent in accordance with this Act, and 2 amounts recovered from criminal or","[0, 0, 100, 20]",2,12.0,16,0,0.038,0.25,0.0625,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"civil restitution, fines, penalties, and other monetary recoveries.","[0, 0, 100, 20]",2,12.0,8,0,0.03,0.0,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
Authorizes appropriations to the Securities and Exchange Commission SEC for,"[0, 0, 100, 20]",2,12.0,10,0,0.033,0.0,0.5,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
FY2010-FY2011 for investigations and enforcement proceedings involving financial institutions,"[0, 0, 100, 20]",2,12.0,9,0,0.0425,0.1111111111111111,0.2,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
and for the SEC Office of the Inspector General.,"[0, 0, 100, 20]",2,12.0,9,0,0.02,0.0,0.4444444444444444,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
Establishes the bipartisan congressional Financial Markets Commission to examine the,"[0, 0, 100, 20]",2,12.0,10,0,0.0375,0.1,0.4,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"causes of the current U.S. financial and economic crisis, taking into account fraud and abuse in","[0, 0, 100, 20]",2,12.0,16,0,0.0405,0.0625,0.11764705882352941,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
the financial sector and other specified factors. Requires the Commission to submit a report on,"[0, 0, 100, 20]",2,12.0,15,0,0.0405,0.13333333333333333,0.13333333333333333,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"its finding to the President and Congress on December 15, 2010. Requires the Commission","[0, 0, 100, 20]",2,12.0,14,0,0.037,0.07142857142857142,0.35714285714285715,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
chairperson to appear before specified congressional committees within 120 days after the,"[0, 0, 100, 20]",2,12.0,12,0,0.039,0.08333333333333333,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
submission of the report.,"[0, 0, 100, 20]",2,12.0,4,0,0.011,0.0,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
Establishes a congressional Select Committee on Investigation of the Economic Crisis to,"[0, 0, 100, 20]",2,12.0,12,0,0.038,0.0,0.5,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
