text,bbox,page_number,avg_font_size,word_count,is_all_caps,char_density,ratio_of_verbs,ratio_capitalized,ends_with_colon,is_bold,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,font_size_diff,same_font,is_bold_A,is_italic_A,is_monospace_A,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,is_linea_hashed,is_lineb_hashed,both_hashed,neither_hashed,title_label
Table of Contents,"[0, 0, 100, 20]",1,15.96,3,0,0.0075,0.0,0.6666666666666666,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
Revision History .......................................................................................................................................... 3,"[0, 0, 100, 20]",1,9.96,4,0,0.077,0.3333333333333333,0.6666666666666666,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
Table of Contents ........................................................................................................................................ 4,"[0, 0, 100, 20]",1,9.96,5,0,0.076,0.25,0.5,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
1. Introduction to the Foundation Level Extensions ............................................................................ 6,"[0, 0, 100, 20]",1,9.96,9,0,0.0605,0.125,0.5,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
2. Introduction to Foundation Level Agile Tester Extension ............................................................... 7,"[0, 0, 100, 20]",1,9.96,10,0,0.0575,0.1111111111111111,0.6666666666666666,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
2.1 Intended Audience ..................................................................................................................... 7,"[0, 0, 100, 20]",1,9.96,5,0,0.0685,0.25,0.4,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
2.2 Career Paths for Testers ............................................................................................................ 7,"[0, 0, 100, 20]",1,9.96,7,0,0.0665,0.16666666666666666,0.42857142857142855,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
2.3 Learning Objectives ................................................................................................................... 7,"[0, 0, 100, 20]",1,9.96,5,0,0.0685,0.25,0.4,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
2.4 Entry Requirements ................................................................................................................... 8,"[0, 0, 100, 20]",1,9.96,5,0,0.068,0.25,0.4,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
2.5 Structure and Course Duration ................................................................................................... 8,"[0, 0, 100, 20]",1,9.96,7,0,0.0645,0.16666666666666666,0.42857142857142855,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
