text,bbox,page_number,avg_font_size,word_count,is_all_caps,char_density,ratio_of_verbs,ratio_capitalized,ends_with_colon,is_bold,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,font_size_diff,same_font,is_bold_A,is_italic_A,is_monospace_A,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,is_linea_hashed,is_lineb_hashed,both_hashed,neither_hashed,title_label
La Recette,"[0, 0, 100, 20]",1,14.0,2,0,0.0045,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
https://cuisinedaubery.com/recipe/crepes-parfaites/,"[0, 0, 100, 20]",1,12.0,1,0,0.0255,0.0,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
La recette ! Norbert nous donne une recette de crêpes juste parfaite ... et tellement facile !,"[0, 0, 100, 20]",1,12.0,17,0,0.039,0.0,0.14285714285714285,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
"Chef : Norbert Tarayre Temps de préparation : 15 Minutes Temps de cuisson : 15 Minutes Volume : 14 crêpes de 18 cm de diamètre Difficulté : Niveau Facile Cuisine : Cuisine Française Plats : Crêpe, Crêpe Et Gaufre, Dessert,","[0, 0, 100, 20]",1,12.0,40,0,0.0915,0.0,0.6060606060606061,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
Ingrédients,"[0, 0, 100, 20]",1,14.0,1,0,0.0055,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
Pour 14 crêpes de 18 cm de diamètreou 11 crêpes de 20 cm de diamètreou 9 crêpes de 22 cm de diamètre,"[0, 0, 100, 20]",1,12.0,22,0,0.0395,0.0,0.045454545454545456,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,
"250 grammes de Farine 500 grammes de Lait 48 Centilitres/480 Millilitres 4 Oeufs 200 grammes 20 grammes de Sucre 5 grammes de Grand Marnier 0,5 Centilitre/5 Millilitres 40 grammes de Beurre *option je recommande 50 grammes d'Eau 5 Centilitres/50 Millilitres","[0, 0, 100, 20]",1,12.0,40,0,0.109,0.0,0.3111111111111111,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
Avec 2 oeufs :Pour 7 crêpes de 18 cm de diamètre,"[0, 0, 100, 20]",1,12.0,11,0,0.019,0.0,0.18181818181818182,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"125 grammes de Farine 250 grammes de Lait 24 Centilitres/240 Millilitres 2 Oeufs 100 grammes 10 grammes de Sucre 2,5 grammes de Grand Marnier 0,25 Centilitre/2,5 Millilitres 20 grammes de Beurre *option je recommande 25 grammes d'Eau 2,5 Centilitres/25 Millilitres","[0, 0, 100, 20]",1,12.0,40,0,0.1125,0.0,0.2916666666666667,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
Avec 3 oeufs :Pour 10 crêpes de 18 cm de diamètre,"[0, 0, 100, 20]",1,12.0,11,0,0.0195,0.0,0.18181818181818182,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"187,5 grammes de Farine 375 grammes de Lait 36 Centilitres/360 Millilitres 3 Oeufs 150 grammes 15 grammes de Sucre 3,7 grammes de Grand Marnier 0,37 Centilitre/3,7 Millilitres 30 grammes de Beurre *option je recommande 37,5 grammes d'Eau 3,75 Centilitres/37,5 Millilitres","[0, 0, 100, 20]",2,12.0,40,0,0.116,0.0,0.27450980392156865,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
Avec 5 oeufs :Pour 17 crêpes de 18 cm de diamètre,"[0, 0, 100, 20]",2,12.0,11,0,0.0195,0.0,0.18181818181818182,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"312,5 grammes de Farine 625 grammes de Lait 60 Centilitres/600 Millilitres 5 Oeufs 250 grammes 25 grammes de Sucre 6,2 grammes de Grand Marnier 0,62 Centilitre/6,2 Millilitres 50 grammes de Beurre *option je recommande 62,5 grammes d'Eau 6,25 Centilitres/62,5 Millilitres","[0, 0, 100, 20]",2,12.0,40,0,0.116,0.0,0.27450980392156865,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
Avec 6 oeufs :Pour 21 crêpes de 18 cm de diamètre,"[0, 0, 100, 20]",2,12.0,11,0,0.0195,0.0,0.18181818181818182,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"375 grammes de Farine 750 grammes de Lait 72 Centilitres/720 Millilitres 6 Oeufs 300 grammes 30 grammes de Sucre 7,5 grammes de Grand Marnier 0,75 Centilitre/7,5 Millilitres 60 grammes de Beurre *option je recommande 75 grammes d'Eau 7,5 Centilitres/75 Millilitres","[0, 0, 100, 20]",2,12.0,40,0,0.1125,0.0,0.2916666666666667,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
Instructions,"[0, 0, 100, 20]",2,14.0,1,0,0.006,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
Mélange des ingrédients,"[0, 0, 100, 20]",2,12.0,3,0,0.0105,0.3333333333333333,0.3333333333333333,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"1. Commencer par faire fondre le Beurre 40 g au micro-ondes 30 secondes 2. Norbert utilise un mixeur plongeant parfois appelé 'giraffe'. J'utilise un blender plutôt, car : ainsi, on peut mettre le blender au frais et remixer facilement car au frais, la pâte se dissocie : il faut mixer avant la pâte après le passage au frais, et c'est plus pratique que le mixeur plongeant. 3. Au fond : Verser au fond, donc en premier: le Lait 500 g ou 48 Centilitres/480 Millilitres, les Oeufs 4, le Grand Marnier 5 g ou 0,5 Centilitre/5 Millilitres, l'Eau 50 g ou 5 Centilitres/50 Millilitres","[0, 0, 100, 20]",2,12.0,103,0,0.2385,0.06,0.1574074074074074,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"4. Au dessus : Verser les poudres : la Farine 250 g, le Sucre 20 g 5. Le Beurre 40 g est encore chaud et risque de cuire les Oeufs, et donc on doit eviter qu'ils rentrent en contact 6. Placer le Beurre sur la Farine 250 g : faire un puits dans la Farine 250 g 7. Verser le Beurre 40 g fondu 8. Les liquides au fond, pour permettre à la lame du blender de pouvoir mixer correctement, vous l'aurez compris !","[0, 0, 100, 20]",3,12.0,84,0,0.161,0.075,0.17073170731707318,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"9. Si vous mettez la farine au fond, la lame ne pourra pas mélanger... 10. Puis laisser le blender mixer 2 minutes 11. La pâte est prête ! Facile non ?","[0, 0, 100, 20]",3,12.0,31,0,0.0605,0.0,0.13793103448275862,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
Repos au frais ? ou pas,"[0, 0, 100, 20]",3,12.0,6,0,0.009,0.0,0.2,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"Après avoir mixé, vous avez le choix de mettre cette pâte au frais : Au frais : En laissant reposer au frais, la pâte ne sera que meilleure. Je fais ça le samedi soir en prévision du brunch du dimanche. A noter, si vous réservez au frais, la pâte va dissocier le gras du reste : il faudra remixer avant de cuire Cuisson sans mise au frais : La pâte est ""moins stable"", mais le résultat sera très bon également si vous cuisez aussitôt","[0, 0, 100, 20]",3,12.0,84,0,0.175,0.05,0.0875,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
Cuisson,"[0, 0, 100, 20]",3,12.0,1,0,0.0035,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"12. Pour la cuisson, j'utilise une poêle à fond épais. J'ai une autre crépière ""de buyer"" que j'aime moins... allez comprendre pourquoi cette poêle marche mieux ! 13. Il en existe des electriques : Pour acheter en ligne, c'est ICI 14. Huiler ou ne pas huiler ? Perso, je huile ma poêle avec une Bombe de Graisse Alimentaire spray... je vous montre plus bas la différence entre les crêpes si vous huilez ou non... regardez et choisissez ! 15. Verser...","[0, 0, 100, 20]",3,12.0,80,0,0.186,0.05263157894736842,0.1375,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,
"16. Attendre puis retourner. Avec une poêle anti-adhésive, je n'ai aucun problème de crêpe qui accroche 17. A gauche : Voila à quoi ressemble ma crêpe quand j'huile la poêle 18. A droite : Et si je n'huile pas, alors on obtient moins de ""motifs"" : C'est à votre choix de huiler ou non. Perso, je mets de l'huile toutes les deux crêpes, c'est juste une question de gout  et peut-être une question de poêle également...  !","[0, 0, 100, 20]",3,12.0,77,0,0.171,0.0547945205479452,0.09876543209876543,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,
