text,bbox,page_number,avg_font_size,word_count,is_all_caps,char_density,ratio_of_verbs,ratio_capitalized,ends_with_colon,is_bold,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,font_size_diff,same_font,is_bold_A,is_italic_A,is_monospace_A,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,is_linea_hashed,is_lineb_hashed,both_hashed,neither_hashed,title_label
1. Introduction,"[0, 0, 100, 20]",1,10.02,2,0,0.007,0.0,0.5,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"Due to their abuse potential, scientists using items identified by the US Department of Justice, Drug Enforcement Administration DEA or the Department of Veterans Affairs Health Administration VHA as controlled substances must adhere to extensive licensing, registration, storage, security, use, and disposal regulations.","[0, 0, 100, 20]",1,10.02,43,0,0.1395,0.09302325581395349,0.32558139534883723,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"2. ""Controlled Substance"" Defined","[0, 0, 100, 20]",1,10.02,4,0,0.015,0.5,0.75,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"Materials containing any quantity of a substance with a stimulant, depressant, or hallucinogenic effect on the higher functions of the central nervous system, and having the tendency to promote abuse or physiological or psychological dependence, as designated in federal controlled substance schedules and policies.","[0, 0, 100, 20]",1,10.02,44,0,0.136,0.11363636363636363,0.022727272727272728,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,
3. Applicability,"[0, 0, 100, 20]",1,10.02,2,0,0.0075,0.0,0.5,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"Principal Investigators PIs using controlled substances in their laboratory research including research animals are subject to federal regulatory requirements, as outlined in this Policy. Please note that these requirements including licensing/registration with regulatory agencies are separate from and in addition to any that apply to medical practitioners i.e., MDs and MD/PhDs conducting laboratory research must also obtain licensure/registration for laboratory use of controlled substances.","[0, 0, 100, 20]",1,10.02,64,0,0.2165,0.171875,0.11764705882352941,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,
4. Schedules,"[0, 0, 100, 20]",1,10.02,2,0,0.0055,0.0,0.5,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"Controlled substances are divided into five categories, known as Schedules. Schedules I drugs are the most highly regulated. They have a high potential for abuse, have no accepted medical use in the US and/or have a lack of accepted safety for human use. These include many widely known street drugs, including heroin and hallucinogenic drugs such as LSD and marijuana. Schedule II drugs also have a high potential for abuse but have an accepted medical use in the US and have an accepted safety profile. Examples of Schedule II drugs include morphine, methadone, cocaine and oxycodone. Schedule III compounds include many stimulants and depressants, pain-killers and cough suppressants, the veterinary anesthetic ketamine, and anabolic steroids. Schedule IV substances cover the balance of lower abuse potential stimulants and depressants, while Schedule V includes therapeutic drug mixtures containing very limited quantities of controlled substances. Attachment A contains examples of controlled substances in schedules I through V that are used in research at this medical center. Researchers planning work with controlled substances must be aware of and comply with federal statutes and regulations for these materials.","[0, 0, 100, 20]",1,10.02,183,0,0.521,0.15300546448087432,0.13513513513513514,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,
5. Responsibilities a. Medical Center Director,"[0, 0, 100, 20]",1,10.02,6,0,0.0205,0.0,0.6666666666666666,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,
The Medical Center Director is charged with the authorization of Principal Investigators to conduct research with controlled substances. Every Principal Investigator seeking to use a controlled substance in a research study must be authorized by the Medical Center Director. The Administrative Officer for Research & Development R&D Service will assist in aquiring authorization see below.,"[0, 0, 100, 20]",1,10.02,55,0,0.1675,0.16363636363636364,0.36363636363636365,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,
b. ACOS Research or the Administrative Officer Research designee,"[0, 0, 100, 20]",2,10.02,9,0,0.028,0.0,0.5555555555555556,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
The ACOS for Research is responsible for:,"[0, 0, 100, 20]",2,10.02,7,0,0.0175,0.14285714285714285,0.42857142857142855,1,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
1 Establishing policies and procedures for the use of controlled substances in research.,"[0, 0, 100, 20]",2,10.02,13,0,0.038,0.0,0.07692307692307693,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,
2 Authorizing DEA licenses for Principal Investigators by signing DEA form 225 to obtain a DEA license for research purposesAttachment B. The form can be obtained on line at http://www.deadiversion.usdoj.gov/drugreg/regapps/pdfapps.htm.,"[0, 0, 100, 20]",2,10.02,30,0,0.1035,0.16129032258064516,0.21052631578947367,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,
"3 Serving as the primary contact for the Controlled Substance Program Coordinator for the monitoring and reporting of the Controlled Substance Program within R&D 4 Preparing the authorization for the Medical Center Director’s concurrence 5 Reporting any loss, theft, unauthorized use or other violation of federal law pertaining to controlled substances within Research to the Director c. Principal Investigator","[0, 0, 100, 20]",2,10.02,59,0,0.1765,0.08064516129032258,0.3114754098360656,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,
"1 Since R&D Service cannot, by law, maintain ""blanket"" registration for controlled substances, it is the responsibility of individual Principal Investigators PI to obtain appropriate licenses and registration, and to adhere to federal regulatory requirements when working with controlled substances. Every Principal Investigator must be authorized by the Medical Center Director to conduct research with controlled substances. When a PI indicates that controlled substances will be used on a research project that is being reviewed by the Subcommittee on Research Safety Attachment C, a memo of authorization must be prepared by the Administrative Officer for R&D Service and sent to the Director for concurrence.","[0, 0, 100, 20]",2,10.02,104,0,0.305,0.16822429906542055,0.24528301886792453,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,
"2 Federal Registration: Principal Investigators are responsible for preparing a research laboratory registration Form DEA-225 Attachment B, obtaining the signature of the ACOS for R&D Service, and sending a copy of the registration certificate DEA 223 Attachment D to the Administrative Officer for R&D Service who will provide a copy to the Research Phamacist. If you work with both Schedule I substances and Schedule II through V substances you will need to send in two applications of Form DEA 225 to receive two registration certificates, Form DEA 223.","[0, 0, 100, 20]",2,10.02,88,0,0.2345,0.1,0.3516483516483517,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,
"For schedule 1 substances, you will need a separate application for a DEA registration. A protocol outline must accompany the application form. See http://www.deadiversion.usdoj.gov/drugreg/regapps/225/225instruct.htm#refer for a description of protocol requirements. Principal Investigators will receive a registration certificate, known as Form DEA-223 directly from the DEA. A copy must be forwarded to the Administrative Officer of R&D Service. DEA registrations for researchers remain active for a 1-year period, at which time a renewal notice will be mailed to you.","[0, 0, 100, 20]",2,10.02,78,0,0.247,0.12345679012345678,0.17582417582417584,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
"For schedule 2-5 substances, you are required to submit another application for a DEA registration Form DEA-225. Principal Investigators will receive a registration certificate, known as Form DEA-223 directly from the DEA. A copy must be forwarded to the Administrative Officer of R&D Service. DEA registrations remain active for a 1-year period, at which time a renewal notice will be mailed to you.","[0, 0, 100, 20]",2,10.02,63,0,0.169,0.15625,0.23529411764705882,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"Renewals: Renewals notices will be mailed to you by the DEA and will be processed in the same way as the initial registration. If registration lapses, controlled substances may not be used until the Form DEA 223 is received.","[0, 0, 100, 20]",3,10.02,39,0,0.093,0.23076923076923078,0.15384615384615385,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,
"3 Authorized Users: Principal Investigators may authorize members of their laboratory staff to work with controlled substances under their license/registration, provided staff have been listed on the Grant Approval Request form Attachment C and have passed the required background checks that are initiated by the Research administrative office and sent to Human Resource Management Service. Principal Investigators are responsible for submitting a list of authorized users in each lab to the Administrative Officer of R&D Service for verification of the background check. A copy will be sent to the Research Phamacist.","[0, 0, 100, 20]",3,10.02,91,0,0.2645,0.16304347826086957,0.25806451612903225,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,
"Principal Investigators, Research Assistants, Lab Technicians and any other person previously convicted of a felony offense relating to controlled substances or who, at any time, had an application for registration with the DEA denied, revoked, or surrendered may not be authorized for work with these materials. New employees will be screened and checked for offenses prior to being authorized access to controlled substances. Authorized staff must follow all of the rules and regulations outlined here, and are also obliged by law to immediately report any loss or diversion of controlled substances to their PI and ACOSResearch.","[0, 0, 100, 20]",3,10.02,96,0,0.268,0.19791666666666666,0.11458333333333333,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,
"Registrants seeking to modify, transfer, or terminate their research laboratory use license and/or registration must submit a written request to the Administrative Officer, R&D Service for processing with the regulatory agencies.","[0, 0, 100, 20]",3,10.02,31,0,0.0995,0.21875,0.18181818181818182,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,
d. Controlled Substance Program Coordinator,"[0, 0, 100, 20]",3,10.02,5,0,0.0195,0.2,0.8,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"The Medical Center Controlled Substance Program coordinator will review monthly inspections of the controlled substances. Entries from the QM Service on VA Form 10-2638 Attachment E will confirm compliance with the program and regulatory requirements. The ACOS Research or his/her representative will be immediately notified if discrepencies are found in controlled substance inventory. After one working day, unresolved discrepencies will be reported per medical center policy.","[0, 0, 100, 20]",3,10.02,66,0,0.2065,0.15151515151515152,0.25,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,
e. Research Pharmacist,"[0, 0, 100, 20]",3,10.02,3,0,0.01,0.0,0.6666666666666666,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"The Research Pharmacist serves as a consultant to the ACOS/R&D Service for establishing policies and procedures for controlled substance usage that conforms to federal regulations and policy to ensure the licensure, purchasing, storage, security, use, recordkeeping and disposal of controlled substances meet federal and VHA requirements. The Research Pharmacist will order, receive, distribute and arrange for destruction all Schedule I– V controlled substances used in Research. The Research Pharmacist will maintain records for five years as required by law. An inventory of the pharmacy stock will be completed at least every 72 hours within Pharmacy Service. The ACOS, Research & Development Service or his/her representative will be immediately notified if discrepencies are found in the controlled substance inventory of the pharmacy stock. After one working day, unresolved discrepencies will be reported per medical center policy.","[0, 0, 100, 20]",3,10.02,135,0,0.4025,0.13333333333333333,0.19708029197080293,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,
6. Purchasing/Ordering Controlled Substances a. All Controlled substances used in the Portland VA Medical Center must be coordinated by the,"[0, 0, 100, 20]",4,10.02,20,0,0.06,0.3,0.47619047619047616,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,
Pharmacy Service.,"[0, 0, 100, 20]",4,10.02,2,0,0.008,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
b. The Research Pharmacy will be responsible for ordering and purchasing all Schedule I through V controlled substances using standard Pharmacy purchasing procedures.,"[0, 0, 100, 20]",4,10.02,23,0,0.072,0.21739130434782608,0.30434782608695654,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,
c. The investigator or authorized designee will email a request for ordering to the Research,"[0, 0, 100, 20]",4,10.02,15,0,0.039,0.26666666666666666,0.13333333333333333,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"Pharmacy. Using the Order form on the following website which will be transmitted directly to the Research Phamacist: web site: http://www.va.gov/portlandrd. Attachment F. The request will include: date, laboratory, building and room, title of the grant to be charged and administrator of the grant, i.e. VA, PVARF or OHSU, manufacturer, drug, dosage form, strength and quantity requested, and the person requesting the order and a contact telephone number. The VMU may order drugs for the clinical care of animals by noting “Clinical Care” rather than the title of the grant.","[0, 0, 100, 20]",4,10.02,90,0,0.2435,0.10752688172043011,0.15789473684210525,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
d. The Research Pharmacy will order the drug by the close of business on the next business day after receipt of order request.,"[0, 0, 100, 20]",4,10.02,23,0,0.052,0.043478260869565216,0.13043478260869565,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,
e. Controlled substances in Schedules I through V will be delivered to the Research Pharmacy.,"[0, 0, 100, 20]",4,10.02,15,0,0.0395,0.2,0.4,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
The Research Pharmacy will notify the investigator when the controlled substances arrive and arrange for the investigator or authorized user to pick up the item. The Research Pharmacy will send a copy of the invoice for each item dispensed to the Budget Analyst in R&D Service who will arrange for payment.,"[0, 0, 100, 20]",4,10.02,51,0,0.128,0.1346153846153846,0.21153846153846154,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,
7. Scope of Use,"[0, 0, 100, 20]",4,10.02,4,0,0.006,0.0,0.5,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"Controlled substances may only be used for duly authorized, legitimate medical or scientific research purposes, to the extent permitted by a registrant's license and registration, and in conformity with federal statutes and regulations.","[0, 0, 100, 20]",4,10.02,33,0,0.102,0.14705882352941177,0.029411764705882353,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,
8. Storage and Security Controls,"[0, 0, 100, 20]",4,10.02,5,0,0.014,0.0,0.6,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"Controlled substances possessed, kept, or otherwise stored in a manner or location not in compliance with state or federal law are subject to seizure and forfeiture. Failure to comply with applicable requirements may also result in a suspension of purchasing privileges and a ban on the use of controlled substances in future experiments conducted at the Portland VA.","[0, 0, 100, 20]",4,10.02,58,0,0.155,0.15517241379310345,0.06896551724137931,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,
"In order to guard against theft or diversion, all controlled substances - regardless of schedule - must be kept under double lock, and accessible only to authorized personnel. The number of authorized staff must be kept to the minimum essential for efficient operation, and the stocks of controlled substances to the smallest quantity needed.","[0, 0, 100, 20]",4,10.02,54,0,0.1445,0.15384615384615385,0.038461538461538464,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,
"All controlled substances must be stored in a refrigerator or locked cabinet that has been approved by the Research Pharmacist. Regardless of schedule, all controlled substances must be kept locked in their storage location except for the actual time required for authorized staff to remove, legitimately work with, and replace them.","[0, 0, 100, 20]",4,10.02,51,0,0.1415,0.27450980392156865,0.0784313725490196,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
9. Recordkeeping,"[0, 0, 100, 20]",5,10.02,2,0,0.0075,0.5,0.5,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"PIs must maintain complete and accurate inventory records for all controlled substances on VA form 102638 For Research Attachment E. These records must be kept separate from all other records and documents, in or near the primary work area, and available for inspection during regular work hours. The use of codes, symbols, or foreign languages in identifying a controlled substance or person in the record is prohibited. In the event that any controlled substances are lost, destroyed, or stolen, the kind and quantity of the material and the date of discovery of such loss must be recorded in detail. A loss of VA form 10-2638 is considered a loss of a controlled substance . After use is completed, VA form 10-2638 must be returned to Research Pharmacy for review. All records will be maintained by Research Pharmacy for a period of at least five years from the date of return of the form.","[0, 0, 100, 20]",5,10.02,153,0,0.37,0.1513157894736842,0.11688311688311688,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,
"A. Receipt of Controlled Substance: Only those staff listed on the Grant Approval Request form may receive controlled substances from the Research pharmacy. The name of the PI, pharmacy dispensing number, location of the safe, aubstance & amount, lot number and weight of the vial released by pharmacy i.e., the weight of the container plus contents will be noted by the Research Pharmacy on VA Form 10-2638. Upon the receipt of controlled substances the investigator or other Authorized User will sign and date the bottom of VA Form 10-2638 and VA Form 10-2321 the Narcotic Dispensing/Receiving Form which is Attachment G. B. Use of Controlled Substances: All use of controlled substances will be noted on VA Form 102638 For Research as a perpetual inventory of each dispensed item. Each time an aliquot of a controlled substance is removed for an experiment, the PI must record the date, time, describe the use, and the weight or volume removed. Most importantly, the PI should then weigh the vial and enter the weight of the vial plus contents in the last column of form 10-2638. During the monthly controlled substance inspections, the surveyors will weigh each vial and comper it to the weight recorded on 10-2638.","[0, 0, 100, 20]",5,10.02,203,0,0.5085,0.10891089108910891,0.20095693779904306,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,
"C. Inventory of Controlled Substances: A complete and accurate inventory of the stock of controlled substances within each registrant's laboratory must be maintained in the controlled substance notebook. The Medical Center Controlled Substance Program coordinator, will perform monthly unannounced inspections of the controlled substances. If the investigator or designee is unavailable for the inspecton the Medical Center Controlled Substance Program Coordinator will contact the Administrative Officer of R&D Service to arrange for the inspection. Entries on Form 10-2638 will confirm compliance with the program and regulatory requirements. The ACOS Research or his/her designee will be immediately notified if descrepancies are found in the controlled substance inventory. After one working day, unresolved discrepencies will be reported per medical center policy.","[0, 0, 100, 20]",5,10.02,119,0,0.3755,0.1322314049586777,0.23577235772357724,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,
10. Disposal,"[0, 0, 100, 20]",5,10.02,2,0,0.0055,0.0,0.5,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"Expired material, unused product, or neat waste for all Schedules I through V must be returned to the Research Pharmacy along with a signed VA Form 10-2638 Attachment F. The Principal Investigator or authorized designee will contact the Research Pharmacy when drug is expired, there is product that must be wasted or when the drug is no longer needed. The controlled substances submitted for disposal must contain the following information to be received for processing and disposal: all units must be appropriately labeled with contents, strength, quantity, Principal Investigator, laboratory name and location. The Research Pharmacy will prepare a return receipt for signature by the authorized person Lab Technician, Research Assistant submitting the material. A copy of this form will be given to the person returning the material. This form should be kept until after the next Medical Center Controlled Substance Inspection for documentation of return. The Research Pharmacy will keep the original form for 5 years. The Research Pharmacy will use a certified contractor to dispose of Schedule I through V controlled substances. Drugs provided through the Pharmacy will use the Pharmacy DEA number to return the drug, Schedule I drugs will","[0, 0, 100, 20]",5,10.02,193,0,0.5255,0.16580310880829016,0.2422680412371134,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,
use the Investigator’s DEA number. A copy of the disposal/return form will be provided to the investigator for their records.,"[0, 0, 100, 20]",6,10.02,20,0,0.053,0.13636363636363635,0.13636363636363635,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,
"11. Reporting of Loss, Destruction, Theft, or Unauthorized Use","[0, 0, 100, 20]",6,10.02,9,0,0.027,0.1111111111111111,0.6666666666666666,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"Thefts, suspected thefts, unauthorized uses, or other losses of any controlled substance must be reported to the ACOS Research immediately upon discovery. Principal Investigators must also document the incident in writing for submittal to the DEA within 72 hours. The written statement must describe the kinds and quantities of controlled substances, and the specific circumstances involved. Where the controlled substances are stolen, lost, or destroyed in transit, the consignee will also be required to prepare a similar report and include documentary evidence that local authorities were notified. The registrant should retain a copy of the statement.","[0, 0, 100, 20]",6,10.02,96,0,0.28,0.20833333333333334,0.09375,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,
12. Accepting Controlled Substances from Collaborators,"[0, 0, 100, 20]",6,10.02,6,0,0.0245,0.3333333333333333,0.6666666666666666,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
Investigators wishing to accept controlled substances from collaborators must coordinate the transfer with the Research Pharmacist at the PVAMC. Advance notice of the transfer must be given. The controlled substances may not be delivered to the PIs laboratory. It must be delivered to the Research Pharmacist who will generate a VA form 10-2638 and call the PI’s laboratory for pick up. All other aspects of the policy described here will apply.,"[0, 0, 100, 20]",6,10.02,71,0,0.1875,0.1917808219178082,0.1780821917808219,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,
