"text_a","text_b","normalized_vertical_gap","indentation_change","font_size_a","font_size_b","font_size_diff","same_font","line_a_ends_punctuation","line_b_starts_lowercase","same_alignment","is_centered_A","is_centered_B","is_linea_in_rectangle","is_lineb_in_rectangle","both_in_table","neither_in_table","label"
"Application form for grant of LTC advance'","1.Name of the Government ServantCol3Col4Col5Col6'","-4.44","0","11.67","9.74","-1.93","0","0","0","1","1","1","0","1","0","0",""
"1.Name of the Government ServantCol3Col4Col5Col6'","2.DesignationDesignation'","-4.44","0","9.74","9.74","0.0","1","0","0","1","1","1","1","1","1","0",""
"2.DesignationDesignation'","3.Date of entering the Central Government ServiceDate of entering the Central Government Service'","0.22","25","9.74","9.74","0.0","1","0","0","0","1","0","1","1","1","0",""
"3.Date of entering the Central Government ServiceDate of entering the Central Government Service'","4.PAY + SI + NPAPAY + SI + NPA'","0.37","-25","9.74","9.74","0.0","1","0","0","0","0","0","1","1","1","0",""
"4.PAY + SI + NPAPAY + SI + NPA'","5.Whether permanent or temporaryWhether permanent or temporary'","-3.63","0","9.74","9.74","0.0","1","0","0","1","0","0","1","1","1","0",""
"5.Whether permanent or temporaryWhether permanent or temporary'","6.Home Town as recorded in the Service BookHome Town as recorded in the Service Book'","-3.63","0","9.74","9.74","0.0","1","0","0","1","0","0","1","1","1","0",""
"6.Home Town as recorded in the Service BookHome Town as recorded in the Service Book'","7.Whether wife / husband is employed and if so whether entitled to LTCWhether wife / husband is employed and if so whether entitled to LTC'","0.0","25","9.74","9.74","0.0","1","0","0","0","0","1","1","1","1","0",""
"7.Whether wife / husband is employed and if so whether entitled to LTCWhether wife / husband is employed and if so whether entitled to LTC'","8.Whether the concession is to be availed for visiting home town and if so block for which LTC is to be availed.Whether the concession is to be availed for visiting home town and if so block for which LTC is to be availed.'","-22.3","0","9.74","9.74","0.0","1","0","0","1","1","1","1","1","1","0",""
"8.Whether the concession is to be availed for visiting home town and if so block for which LTC is to be availed.Whether the concession is to be availed for visiting home town and if so block for which LTC is to be availed.'","9.a If the concession is to visit anywhere in India, the place to be visited. b Block for which to be availed.a If the concession is to visit anywhere in India, the place to be visited. b Block for which to be availed.'","-22.3","0","9.74","9.74","0.0","1","1","0","1","1","1","1","1","1","0",""
"9.a If the concession is to visit anywhere in India, the place to be visited. b Block for which to be availed.a If the concession is to visit anywhere in India, the place to be visited. b Block for which to be availed.'","10.Single rail fare/bus fare from the headquarters to home town/place of visit by shortest route.Single rail fare/bus fare from the headquarters to home town/place of visit by shortest route.'","-21.41","-25","9.74","9.74","0.0","0","1","0","0","1","0","1","1","1","0",""
"10.Single rail fare/bus fare from the headquarters to home town/place of visit by shortest route.Single rail fare/bus fare from the headquarters to home town/place of visit by shortest route.'","11.Persons in respect of whom LTC is proposed to be availed.Persons in respect of whom LTC is proposed to be availed.Persons in respect of whom LTC is proposed to be availed.Persons in respect of whom LTC is proposed to be availed.Persons in respect of whom LTC is proposed to be availed.'","-19.11","25","9.74","9.74","0.0","0","1","0","0","0","1","1","1","1","0",""
"11.Persons in respect of whom LTC is proposed to be availed.Persons in respect of whom LTC is proposed to be availed.Persons in respect of whom LTC is proposed to be availed.Persons in respect of whom LTC is proposed to be availed.Persons in respect of whom LTC is proposed to be availed.'","11.S.NoNameNameAgeRelationship'","-22.3","0","9.74","9.74","0.0","0","1","0","1","1","1","1","1","1","0",""
"11.S.NoNameNameAgeRelationship'","11.1.'","-21.41","-25","9.74","9.74","0.0","1","0","0","0","1","0","1","1","1","0",""
"11.1.'","12.Amount of advance required.Amount of advance required.Rs.Rs.Rs.'","3.7","0","9.74","9.74","0.0","1","1","0","1","0","1","1","1","1","0",""
"12.Amount of advance required.Amount of advance required.Rs.Rs.Rs.'","I declare that the particulars furnished above are true and correct to the best of my knowledge. I'","-7.04","0","9.74","9.74","0.0","0","1","0","1","1","1","1","0","0","0",""
"I declare that the particulars furnished above are true and correct to the best of my knowledge. I'","undertake to produce the tickets for the outward journey within ten days of receipt of the advance.'","-7.04","0","9.74","9.74","0.0","1","0","1","1","1","1","0","0","0","1",""
"undertake to produce the tickets for the outward journey within ten days of receipt of the advance.'","In the event of cancellation of the journey or if I fail to produce the tickets within ten days of receipt of'","-7.04","0","9.74","9.74","0.0","1","1","0","1","1","1","0","0","0","1",""
"In the event of cancellation of the journey or if I fail to produce the tickets within ten days of receipt of'","advance, I undertake to refund the entire advance in one lump sum.'","-7.04","0","9.74","9.74","0.0","1","0","1","1","1","1","0","0","0","1",""
"advance, I undertake to refund the entire advance in one lump sum.'","Date'","1.63","0","9.74","9.74","0.0","0","1","0","1","1","0","0","0","0","1",""
"Date'","Signature of Government Servant.'","-0.07","333","9.74","9.74","0.0","1","0","0","0","0","0","0","0","0","1",""
