"text_a","text_b","normalized_vertical_gap","indentation_change","font_size_diff","same_font","line_a_ends_punctuation","line_b_starts_lowercase","same_alignment","is_centered_A","is_centered_B","is_linea_in_rectangle","is_lineb_in_rectangle","both_in_table","neither_in_table","label"
"Alternative and Integrative Medicine'","El Sayed et al., Altern Integ Med 2013, 2:3'","-2.06","350","-10.0","0","0","0","0","0","0","0","0","0","1",""
"El Sayed et al., Altern Integ Med 2013, 2:3'","http://dx.doi.org/10.4172/2327-5162.1000111'","-1.56","0","0.0","1","0","1","1","0","0","0","0","0","1",""
"http://dx.doi.org/10.4172/2327-5162.1000111'","Review Article Open Access'","1.5","-392","1.0","0","0","0","0","0","1","0","0","0","1",""
"Review Article Open Access'","Methods of Wet Cupping Therapy Al-Hijamah: In Light of Modern Medicine and Prophetic Medicine'","-7.62","0","7.0","0","0","0","1","1","1","0","0","0","1",""
"Methods of Wet Cupping Therapy Al-Hijamah: In Light of Modern Medicine and Prophetic Medicine'","El Sayed SM 1 *, Mahmoud HS 2 and Nabo MMH 3,4'","-7.62","0","-8.0","0","0","0","1","1","1","0","0","0","1",""
"El Sayed SM 1 *, Mahmoud HS 2 and Nabo MMH 3,4'","1 Department of Medical Biochemistry, Sohag Faculty of Medicine, Sohag University, Egypt'","-7.62","0","-3.92","0","0","0","1","1","1","0","0","0","1",""
"1 Department of Medical Biochemistry, Sohag Faculty of Medicine, Sohag University, Egypt'","2 World Federation of Alternative and Complementary Medicine, Cairo Regional Headquarter, Cairo, Egypt'","-7.62","0","0.0","1","0","0","1","1","1","0","0","0","1",""
"2 World Federation of Alternative and Complementary Medicine, Cairo Regional Headquarter, Cairo, Egypt'","3 Department of Pediatrics, Sohag Teaching Hospital, Sohag, Egypt'","-7.62","0","0.0","1","0","0","1","1","1","0","0","0","1",""
"3 Department of Pediatrics, Sohag Teaching Hospital, Sohag, Egypt'","4 Division of Pediatric cardiology, Department of Pediatrics, Maternity and Children Hospital, King Abdullah Medical City, Al-Madinah Al-Munawwarah, Kingdom of Saudi'","-7.62","0","0.0","1","0","0","1","1","1","0","0","0","1",""
"4 Division of Pediatric cardiology, Department of Pediatrics, Maternity and Children Hospital, King Abdullah Medical City, Al-Madinah Al-Munawwarah, Kingdom of Saudi'","Arabia'","-7.62","0","2.92","1","0","0","1","1","1","0","0","0","1",""
"Arabia'","Abstract'","0.88","59","2.0","0","0","0","0","1","1","0","0","0","1",""
"Abstract'","Cupping therapy is a simple, effective and economic treatment. Cupping therapy is a formal treatment in Chinese'","-12.81","0","-1.0","0","0","0","1","1","1","0","0","0","1",""
"Cupping therapy is a simple, effective and economic treatment. Cupping therapy is a formal treatment in Chinese'","hospitals and in some European countries. Here, we review history of wet cupping therapy and its two distinct'","-12.81","0","0.0","1","0","1","1","1","1","0","0","0","1",""
"hospitals and in some European countries. Here, we review history of wet cupping therapy and its two distinct'","methodologies. First method is puncturing and cupping PC method that includes five steps: skin demarcation,'","-12.81","0","0.0","1","0","1","1","1","1","0","0","0","1",""
"methodologies. First method is puncturing and cupping PC method that includes five steps: skin demarcation,'","sterilization, puncturing, cupping and sterilization. Second method is cupping, puncturing and cupping CPC method'","-12.81","0","0.0","1","0","1","1","1","1","0","0","0","1",""
"sterilization, puncturing, cupping and sterilization. Second method is cupping, puncturing and cupping CPC method'","that includes six steps: skin demarcation, sterilization, first cupping, puncturing, second cupping and sterilization.'","-12.81","0","0.0","1","0","1","1","1","1","0","0","0","1",""
"that includes six steps: skin demarcation, sterilization, first cupping, puncturing, second cupping and sterilization.'","CPC method predominates in the Arabic world, while PC method has a worldwide distribution. We report here that'","-12.81","0","0.0","1","1","0","1","1","1","0","0","0","1",""
"CPC method predominates in the Arabic world, while PC method has a worldwide distribution. We report here that'","our detailed evidence-based analysis of both methods reveals many novel advantages in the CPC method over the'","-12.81","0","0.0","1","0","1","1","1","1","0","0","0","1",""
"our detailed evidence-based analysis of both methods reveals many novel advantages in the CPC method over the'","PC method. CPC method has a better analgesic effect and benefits more from the viscoelastic nature of the skin.'","-12.81","0","0.0","1","0","0","1","1","1","0","0","0","1",""
"PC method. CPC method has a better analgesic effect and benefits more from the viscoelastic nature of the skin.'","During the first cupping step in the CPC method not present in the PC method, a fluid mixture containing causative'","-12.81","0","0.0","1","1","0","1","1","1","0","0","0","1",""
"During the first cupping step in the CPC method not present in the PC method, a fluid mixture containing causative'","pathological substances CPS is collected inside skin uplifting due to the effect of negative pressure of sucking'","-12.81","0","0.0","1","0","1","1","1","1","0","0","0","1",""
"pathological substances CPS is collected inside skin uplifting due to the effect of negative pressure of sucking'","cups. CPS differs from disease to disease according to disease etiology and pathogenesis. That fluid mixture'","-12.81","0","0.0","1","0","1","1","1","1","0","0","0","1",""
"cups. CPS differs from disease to disease according to disease etiology and pathogenesis. That fluid mixture'","contains collected interstitial fluids with CPS, filtered fluids from blood capillaries with CPS, hemolyzed blood cells'","-12.81","0","0.0","1","0","1","1","1","1","0","0","0","1",""
"contains collected interstitial fluids with CPS, filtered fluids from blood capillaries with CPS, hemolyzed blood cells'","hemolysed RBCs, WBCs and platelets. That fluid mixture does not contain intact blood cells as their sizes are much'","-12.81","0","0.0","1","0","1","1","1","1","0","0","0","1",""
"hemolysed RBCs, WBCs and platelets. That fluid mixture does not contain intact blood cells as their sizes are much'","bigger than sizes of pores of skin capillaries and cannot be filtered. The fluid mixture is totally excreted in next steps.'","-12.81","0","0.0","1","0","1","1","1","1","0","0","0","1",""
"bigger than sizes of pores of skin capillaries and cannot be filtered. The fluid mixture is totally excreted in next steps.'","We review here that wet cupping therapy is a highly recommended treatment in prophetic medicine, medicine related'","-12.81","0","0.0","1","1","0","1","1","1","0","0","0","1",""
"We review here that wet cupping therapy is a highly recommended treatment in prophetic medicine, medicine related'","to Prophet Mohammad peace be upon him who said: “The best among what you use in therapy is Al-hijamah CPC'","-12.81","0","0.0","1","0","1","1","1","1","0","0","0","1",""
"to Prophet Mohammad peace be upon him who said: “The best among what you use in therapy is Al-hijamah CPC'","method of wet cupping therapy”.'","-12.81","0","0.0","1","0","1","1","1","1","0","0","0","1",""
"method of wet cupping therapy”.'","In conclusion, CPC method is better than PC method in clearing blood and interstitial spaces from CPS.'","-12.81","0","0.0","1","1","0","1","1","1","0","0","0","1",""
"In conclusion, CPC method is better than PC method in clearing blood and interstitial spaces from CPS.'","Standardization of methodologies of cupping therapy seems essential to gain optimal outcomes.'","-12.81","0","0.0","1","1","0","1","1","1","0","0","0","1",""
"Standardization of methodologies of cupping therapy seems essential to gain optimal outcomes.'","Keywords: Cupping therapy; Prophetic medicine; CPC method; PC'","0.81","-59","3.0","0","1","0","0","1","0","0","0","0","1",""
"Keywords: Cupping therapy; Prophetic medicine; CPC method; PC'","method; Boyle’s law; CPS'","-20.44","0","-2.0","0","0","1","1","0","0","0","0","0","1",""
"method; Boyle’s law; CPS'","Abbreviations: PC Method: Puncturing and Cupping Method; CPC'","-20.44","0","2.0","0","0","0","1","0","0","0","0","0","1",""
"Abbreviations: PC Method: Puncturing and Cupping Method; CPC'","Method: Cupping, puncturing And Cupping Method; CPS: Causative'","-20.44","0","-2.0","0","0","0","1","0","0","0","0","0","1",""
"Method: Cupping, puncturing And Cupping Method; CPS: Causative'","Pathological Substances; GIT: Gastrointestinal Tract; ITP: Idiopathic'","-20.44","0","0.0","1","0","0","1","0","0","0","0","0","1",""
"Pathological Substances; GIT: Gastrointestinal Tract; ITP: Idiopathic'","Thrombocytopenic Purpura; RBCs: Red Blood Cells; TCM: Traditional'","-20.44","0","0.0","1","0","0","1","0","0","0","0","0","1",""
"Thrombocytopenic Purpura; RBCs: Red Blood Cells; TCM: Traditional'","Chinese Medicine; WBCs: White Blood Cells'","-20.44","0","0.0","1","0","0","1","0","0","0","0","0","1",""
"Chinese Medicine; WBCs: White Blood Cells'","Introduction'","-20.44","0","2.0","0","0","0","1","0","0","0","0","0","1",""
"Introduction'","Cupping therapy is a simple procedure in which negative pressure'","-20.44","0","-2.0","0","0","0","1","0","0","0","0","0","1",""
"Cupping therapy is a simple procedure in which negative pressure'","is applied to the skin through sucking cups dry cupping therapy 1.'","-20.44","0","0.0","1","0","1","1","0","0","0","0","0","1",""
"is applied to the skin through sucking cups dry cupping therapy 1.'","Many types of cupping therapy are described in the literature including'","-20.44","0","0.0","1","1","0","1","0","0","0","0","0","1",""
"Many types of cupping therapy are described in the literature including'","dry cupping therapy, wet cupping therapy, medicinal cupping therapy,'","-20.44","0","0.0","1","0","1","1","0","0","0","0","0","1",""
"dry cupping therapy, wet cupping therapy, medicinal cupping therapy,'","moving cupping therapy and others 2. The most important type of'","-20.44","0","0.0","1","0","1","1","0","0","0","0","0","1",""
"moving cupping therapy and others 2. The most important type of'","wet cupping therapy seems to be Al-hijamah method of wet cupping'","-20.44","0","0.0","1","0","1","1","0","0","0","0","0","1",""
"wet cupping therapy seems to be Al-hijamah method of wet cupping'","therapy practiced in prophetic medicine. Unlike most conventional'","-20.44","0","0.0","1","0","1","1","0","0","0","0","0","1",""
"therapy practiced in prophetic medicine. Unlike most conventional'","treatment modalities, wet cupping therapy is an excretory form of'","-20.44","0","0.0","1","0","1","1","0","0","0","0","0","1",""
"treatment modalities, wet cupping therapy is an excretory form of'","therapy not an introductory one i.e. wet cupping therapy uses negative'","-20.44","0","0.0","1","0","1","1","0","0","0","0","0","1",""
"therapy not an introductory one i.e. wet cupping therapy uses negative'","pressure suctioning and skin pricking to open the skin barrier and'","-20.44","0","0.0","1","0","1","1","0","0","0","0","0","1",""
"pressure suctioning and skin pricking to open the skin barrier and'","excrete a bloody mixture of fluids with soluble wastes and causative'","-20.44","0","0.0","1","0","1","1","0","0","0","0","0","1",""
"excrete a bloody mixture of fluids with soluble wastes and causative'","pathological substances CPS. Second negative pressure suctioning'","-20.44","0","0.0","1","0","1","1","0","0","0","0","0","1",""
"pathological substances CPS. Second negative pressure suctioning'","completes the process of waste excretion. Unfortunately, medical'","-20.44","0","0.0","1","0","1","1","0","0","0","0","0","1",""
"completes the process of waste excretion. Unfortunately, medical'","research related to cupping therapy does not cover its importance.'","-20.44","0","0.0","1","0","1","1","0","0","0","0","0","1",""
"research related to cupping therapy does not cover its importance.'","Cupping therapy is practiced officially in hospitals in China 3 and'","-20.44","0","0.0","1","1","0","1","0","0","0","0","0","1",""
"Cupping therapy is practiced officially in hospitals in China 3 and'","is considered very familiar in some European countries 4,5. Current'","-20.44","0","0.0","1","0","1","1","0","0","0","0","0","1",""
"is considered very familiar in some European countries 4,5. Current'","methodologies used for cupping therapy differ according to the type'","-20.44","0","0.0","1","0","1","1","0","0","0","0","0","1",""
"methodologies used for cupping therapy differ according to the type'","of cupping therapy e.g. dry cupping method differs from medicinal'","-20.44","0","0.0","1","0","1","1","0","0","0","0","0","1",""
"of cupping therapy e.g. dry cupping method differs from medicinal'","cupping method 6. In this review article, we shed light on the two'","-20.44","0","0.0","1","0","1","1","0","0","0","0","0","1",""
"cupping method 6. In this review article, we shed light on the two'","methods of wet cupping therapy reported in the literature to discuss'","-20.38","271","0.0","1","0","1","0","0","0","0","0","0","1",""
"methods of wet cupping therapy reported in the literature to discuss'","which is more beneficial to be standardized in practicing cupping'","-20.31","0","0.0","1","0","1","1","0","0","0","0","0","1",""
"which is more beneficial to be standardized in practicing cupping'","therapy in treating so many diseases as we will mention later in this'","-20.31","0","0.0","1","0","1","1","0","0","0","0","0","1",""
"therapy in treating so many diseases as we will mention later in this'","article.'","-20.31","0","0.0","1","0","1","1","0","0","0","0","0","1",""
"article.'","History of cupping therapy'","-20.31","0","1.0","0","1","0","1","0","0","0","0","0","1",""
"History of cupping therapy'","Cupping therapy is being practiced nowadays in many countries all'","-20.31","0","-1.0","0","0","0","1","0","0","0","0","0","1",""
"Cupping therapy is being practiced nowadays in many countries all'","over the world including Germany, Norway, Denmark, Saudi Arabia,'","-20.31","0","0.0","1","0","1","1","0","0","0","0","0","1",""
"over the world including Germany, Norway, Denmark, Saudi Arabia,'","Egypt, India, China and other countries. German people are familiar'","-20.31","0","0.0","1","0","0","1","0","0","0","0","0","1",""
"Egypt, India, China and other countries. German people are familiar'","with cupping therapy 4 and so are Danish and Norwegian peoples'","-20.31","0","0.0","1","0","1","1","0","0","0","0","0","1",""
"with cupping therapy 4 and so are Danish and Norwegian peoples'","where those European societies already have a shift in attitude to'","-20.31","0","0.0","1","0","1","1","0","0","0","0","0","1",""
"where those European societies already have a shift in attitude to'","include complementary medicine within the conventional health care'","-20.31","0","0.0","1","0","1","1","0","0","0","0","0","1",""
"include complementary medicine within the conventional health care'","system 5.'","-20.31","0","0.0","1","0","1","1","0","0","0","0","0","1",""
"system 5.'","The exact origin of cupping therapy is a matter of controversy.'","-20.31","0","0.0","1","1","0","1","0","0","0","0","0","1",""
"The exact origin of cupping therapy is a matter of controversy.'","Chinese scientists report in their literature that cupping therapy is a'","-20.31","0","0.0","1","1","0","1","0","0","0","0","0","1",""
"Chinese scientists report in their literature that cupping therapy is a'","*Corresponding author: Salah Mohamed El Sayed, Department of Medical'","-20.31","0","-2.0","0","0","0","1","0","0","0","0","0","1",""
"*Corresponding author: Salah Mohamed El Sayed, Department of Medical'","Biochemistry, Sohag Faculty of Medicine, Sohag University, Egypt, Tel: +20934-602-963; Fax: +2-0934-602-963; E-mail: salahfazara@yahoo.com,'","-20.31","0","0.0","0","0","0","1","0","0","0","0","0","1",""
"Biochemistry, Sohag Faculty of Medicine, Sohag University, Egypt, Tel: +20934-602-963; Fax: +2-0934-602-963; E-mail: salahfazara@yahoo.com,'","drsalahpediatr@yahoo.com'","-20.31","0","0.0","1","0","1","1","0","0","0","0","0","1",""
"drsalahpediatr@yahoo.com'","Received March 19, 2013; Accepted April 12, 2013; Published April 15, 2013'","-20.31","0","0.0","0","0","0","1","0","0","0","0","0","1",""
"Received March 19, 2013; Accepted April 12, 2013; Published April 15, 2013'","Citation: El Sayed SM, Mahmoud HS, Nabo MMH 2013 Methods of Wet Cupping'","-20.31","0","0.0","1","0","0","1","0","0","0","0","0","1",""
"Citation: El Sayed SM, Mahmoud HS, Nabo MMH 2013 Methods of Wet Cupping'","Therapy Al-Hijamah: In Light of Modern Medicine and Prophetic Medicine. Altern'","-20.31","0","0.0","0","0","0","1","0","0","0","0","0","1",""
"Therapy Al-Hijamah: In Light of Modern Medicine and Prophetic Medicine. Altern'","Integ Med 2: 111. doi:10.4172/2327-5162.1000111http://dx.doi.org/10.4172/2327-5162.1000111'","-20.31","0","0.0","1","0","0","1","0","0","0","0","0","1",""
"Integ Med 2: 111. doi:10.4172/2327-5162.1000111http://dx.doi.org/10.4172/2327-5162.1000111'","Copyright: © 2013 El Sayed SM, et al. This is an open-access article distributed'","-20.31","0","0.0","0","0","0","1","0","0","0","0","0","1",""
"Copyright: © 2013 El Sayed SM, et al. This is an open-access article distributed'","under the terms of the Creative Commons Attribution License, which permits'","-20.31","0","0.0","0","0","1","1","0","0","0","0","0","1",""
"under the terms of the Creative Commons Attribution License, which permits'","unrestricted use, distribution, and reproduction in any medium, provided the'","-20.31","0","0.0","1","0","1","1","0","0","0","0","0","1",""
