"text_a","text_b","normalized_vertical_gap","indentation_change","font_size_a","font_size_b","same_font","line_a_ends_punctuation","line_b_starts_lowercase","same_alignment","is_centered_A","is_centered_B","is_linea_in_rectangle","is_lineb_in_rectangle","both_in_table","neither_in_table","label"
"Numerical Thermal Analysis of Six-Phase PMSMs With Single- and Double-Layer Fractional-Slot Concentrated Windings in Healthy and Faulty Cases'","Wessam E. Abdel-Azim 1,2, Alejandro G. Yepes 1, Ahmed Hemeida 3,4, Ayman S. Abdel-Khalik 5,'","-7.3","0","23.91","10.96","1","0","0","1","1","1","0","0","0","1",""
"Wessam E. Abdel-Azim 1,2, Alejandro G. Yepes 1, Ahmed Hemeida 3,4, Ayman S. Abdel-Khalik 5,'","Shehab Ahmed 6, and Jesús Doval-Gandoy 1'","-7.3","0","10.96","10.96","1","0","0","1","1","1","0","0","0","1",""
"Shehab Ahmed 6, and Jesús Doval-Gandoy 1'","1 CINTECX, Universidade de Vigo, APET, Vigo, Spain'","-7.3","0","10.96","6.97","1","0","0","1","1","1","0","0","0","1",""
"1 CINTECX, Universidade de Vigo, APET, Vigo, Spain'","Department of Electrical Engineering, Alexandria University, Alexandria, Egypt'","-7.3","0","6.97","6.97","1","0","0","1","1","1","0","0","0","1",""
"Department of Electrical Engineering, Alexandria University, Alexandria, Egypt'","Department of Electrical Engineering and Automation, Aalto University, Espoo, Finland'","-7.3","0","6.97","6.97","1","0","0","1","1","1","0","0","0","1",""
"Department of Electrical Engineering and Automation, Aalto University, Espoo, Finland'","Department of Electrical Engineering, Cairo University, Giza, Egypt'","-7.3","0","6.97","6.97","1","0","0","1","1","1","0","0","0","1",""
"Department of Electrical Engineering, Cairo University, Giza, Egypt'","Department of Electrical and Computer Engineering, Sultan Qaboos University, Muscat, Oman'","-7.3","0","6.97","6.97","1","0","0","1","1","1","0","0","0","1",""
"Department of Electrical and Computer Engineering, Sultan Qaboos University, Muscat, Oman'","6 CEMSE Division, KAUST, Thuwal, Saudi Arabia'","-7.3","0","6.97","6.97","1","0","0","1","1","1","0","0","0","1",""
"6 CEMSE Division, KAUST, Thuwal, Saudi Arabia'","Email: wessam.essam@uvigo.es, agyepes@uvigo.es, ahmed.hemeida@aalto.fi, a.abdelkhalik@squ.edu.om,'","-7.3","0","6.97","9.96","1","0","0","1","1","1","0","0","0","1",""
"Email: wessam.essam@uvigo.es, agyepes@uvigo.es, ahmed.hemeida@aalto.fi, a.abdelkhalik@squ.edu.om,'","shehab.ahmed@kaust.edu.sa, jdoval@uvigo.es'","-7.3","0","9.96","9.96","1","0","1","1","1","1","0","0","0","1",""
"shehab.ahmed@kaust.edu.sa, jdoval@uvigo.es'","Abstract —Multiphase permanent-magnet synchronous ma-'","1.0","0","9.96","9.96","1","0","0","1","1","0","0","0","0","1",""
"Abstract —Multiphase permanent-magnet synchronous ma-'","chines PMSMs with fractional-slot concentrated windings'","-13.87","0","9.96","8.97","0","0","1","1","0","0","0","0","0","1",""
"chines PMSMs with fractional-slot concentrated windings'","FSCWs are favored for many uninterruptible applications due'","-13.87","0","8.97","8.97","1","0","0","1","0","0","0","0","0","1",""
"FSCWs are favored for many uninterruptible applications due'","to their high fault tolerance and torque density. Two different'","-13.87","0","8.97","8.97","1","0","1","1","0","0","0","0","0","1",""
